# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
EPITHELIAL_MESENCHYMAL_TRANSITION	BRCA	ENAH|55740	-	SE	chr1:225688772-225692693:225692755-225695653	Observed	5.4426	-0.3961	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	BRCA	FGF1|2246	-	A3	chr5:141975049-141993524:141975046-141993524	Observed	4.259	0.4093	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	BRCA	FGFR1|2260	-	SE	chr8:38285953-38287200:38287466-38314874	Observed	4.1157	-0.4122	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	BRCA	FGFR1|2260	-	SE	chr8:38287466-38297824:38297891-38314874	Observed	2.7333	0.3237	50
EPITHELIAL_MESENCHYMAL_TRANSITION	BRCA	CTNND1|1500	+	SE	chr11:57529518-57556509:57556627-57558857	Observed	1.5618	0.3628	75
EPITHELIAL_MESENCHYMAL_TRANSITION	BRCA	CLK2|1196	-	SE	chr1:155238150-155238499:155238583-155239279	Observed	1.4588	0.2512	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	BRCA	FGFR1|2260	-	RI	chr8:38275746:38275889-38275890:38275891	Observed	1.3989	-0.2676	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	BRCA	MAP2K7|5609	+	SE	chr19:7968953-7969336:7969433-7970693	Observed	1.2573	-0.3676	75
EPITHELIAL_MESENCHYMAL_TRANSITION	BRCA	ZEB1|6935	+	A3	chr10:31750166-31784705:31750166-31784708	Observed	1.001	0.0872	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	BRCA	SYK|6850	+	SE	chr9:93627379-93629413:93629481-93636486	Observed	0.4196	0.0726	62.5
