# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
NFKB_PATHWAY	CESC	RGS12|6002	+	SE	chr4:3429896-3430285:3430438-3432134		5.2901	-0.4741	18.75
NFKB_PATHWAY	CESC	EPCAM|4072	+	A5	chr2:47596720-47600602:47596374-47600602		3.8611	0.3487	18.75
NFKB_PATHWAY	CESC	DSC3|1825	-	SE	chr18:28574338-28574420:28574462-28576757		3.7666	0.3888	31.25
NFKB_PATHWAY	CESC	PDLIM2|64236	+	A5	chr8:22437040-22438116:22436737-22438116		3.763	0.4347	18.75
NFKB_PATHWAY	CESC	CTNND1|1500	+	SE	chr11:57529518-57558966:57559145-57561482		3.5018	0.445	12.5
NFKB_PATHWAY	CESC	NIPAL4|348938	+	SE	chr5:156890341-156894057:156894113-156895730		3.4796	0.4161	50
NFKB_PATHWAY	CESC	DMKN|93099	-	SE	chr19:35996888-36000813:36000863-36001086		3.3387	0.4383	50
NFKB_PATHWAY	CESC	ESPN|83715	+	RI	chr1:6508701:6508862-6508953:6509151		3.3066	0.4149	56.25
NFKB_PATHWAY	CESC	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		3.2033	0.4411	75
NFKB_PATHWAY	CESC	FAM36A|116228	+	SE	chr1:244999058-245005246:245005360-245005497		3.1508	0.3356	37.5
NFKB_PATHWAY	CESC	EPOR|2057	-	A5	chr19:11492781-11493523:11492781-11493773		3.1104	-0.3738	37.5
NFKB_PATHWAY	CESC	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		3.008	0.3707	93.75
NFKB_PATHWAY	CESC	ADD3|120	+	SE	chr10:111890244-111892063:111892158-111893084		2.9966	-0.3836	62.5
NFKB_PATHWAY	CESC	RABGEF1|27342	+	RI	chr7:66273873:66274377-66274378:66276446		2.9832	-0.4554	56.25
NFKB_PATHWAY	CESC	ARHGAP17|55114	-	SE	chr16:24946960-24950685:24950918-24953308		2.9149	-0.2298	43.75
NFKB_PATHWAY	CESC	NIPSNAP3B|55335	+	SE	chr9:107533279-107533515:107533597-107535103		2.9078	0.3876	62.5
NFKB_PATHWAY	CESC	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		2.8861	-0.3841	93.75
NFKB_PATHWAY	CESC	ARAP1|116985	-	SE	chr11:72399582-72403798:72403830-72404370		2.8811	0.3101	31.25
NFKB_PATHWAY	CESC	CTTN|2017	+	SE	chr11:70266616-70267576:70267686-70269046		2.8547	-0.3236	37.5
NFKB_PATHWAY	CESC	DUOXA2|405753	+	A3	chr15:45406950-45407564:45406950-45407997		2.8517	-0.0497	18.75
NFKB_PATHWAY	CESC	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		2.8359	0.32	43.75
NFKB_PATHWAY	CESC	SLC37A2|219855	+	SE	chr11:124955914-124956100:124956156-124958015		2.8342	0.3539	62.5
NFKB_PATHWAY	CESC	CD8A|925	-	RI	chr2:87017900:87018218-87018633:87018837		2.8056	-0.123	37.5
NFKB_PATHWAY	CESC	NDUFV3|4731	+	SE	chr21:44317157-44323292:44324386-44328974		2.803	0.3357	62.5
NFKB_PATHWAY	CESC	PHF15|23338	+	A3	chr5:133909452-133912458:133909452-133914184		2.7936	-0.2929	43.75
NFKB_PATHWAY	CESC	GSDMB|55876	-	SE	chr17:38062524-38064429:38064467-38065211		2.7396	0.2637	50
NFKB_PATHWAY	CESC	CD44|960	+	SE	chr11:35211612-35227659:35227790-35229652		2.68	0.3602	50
NFKB_PATHWAY	CESC	PBX1|5087	+	SE	chr1:164781386-164789309:164789421-164790774		2.6753	-0.3214	62.5
NFKB_PATHWAY	CESC	CASP10|843	+	SE	chr2:202060671-202068453:202068489-202072798	Observed	2.6513	-0.3238	50
NFKB_PATHWAY	CESC	UPF3B|65109	-	SE	chrX:118972490-118974609:118974647-118975039		2.6226	0.3088	25
NFKB_PATHWAY	CESC	IL32|9235	+	A5	chr16:3115711-3115785:3115688-3115785		2.6083	0.2226	50
NFKB_PATHWAY	CESC	GSDMB|55876	-	MX	chr17:38062524-38063214:38063240-38065211:38062524-38064429:38064467-38065211		2.5956	-0.1673	25
NFKB_PATHWAY	CESC	GBP5|115362	-	SE	chr1:89735257-89736438:89736545-89738135		2.5728	0.0741	87.5
NFKB_PATHWAY	CESC	LIMA1|51474	-	A3	chr12:50586347-50589613:50586344-50589613		2.5635	0.3804	43.75
NFKB_PATHWAY	CESC	LAT2|7462	+	SE	chr7:73635064-73635967:73636022-73638054		2.5587	0.3251	75
NFKB_PATHWAY	CESC	ZBP1|81030	-	SE	chr20:56190636-56191300:56191524-56195318		2.5452	0.1272	50
NFKB_PATHWAY	CESC	PPFIA3|8541	+	RI	chr19:49653337:49653408-49653493:49654278		2.5406	-0.3829	62.5
NFKB_PATHWAY	CESC	RNF41|10193	-	A3	chr12:56606922-56607742:56606845-56607742		2.5234	0.2967	43.75
NFKB_PATHWAY	CESC	HUWE1|10075	-	A5	chrX:53569500-53570802:53569500-53570847		2.4834	-0.2842	31.25
NFKB_PATHWAY	CESC	SMARCD1|6602	+	SE	chr12:50480661-50481146:50481268-50482304		2.4436	-0.1426	50
NFKB_PATHWAY	CESC	CHI3L2|1117	+	SE	chr1:111781554-111783949:111784065-111784849		2.4365	0.1413	25
NFKB_PATHWAY	CESC	DOK2|9046	-	SE	chr8:21768368-21769740:21770021-21771050		2.4194	0.278	62.5
NFKB_PATHWAY	CESC	TBC1D10C|374403	+	SE	chr11:67174163-67174298:67174487-67176450		2.3797	0.1608	62.5
NFKB_PATHWAY	CESC	VLDLR|7436	+	SE	chr9:2650516-2651415:2651498-2651874		2.3744	0.2995	50
NFKB_PATHWAY	CESC	SERPINB13|5275	+	SE	chr18:61260205-61261260:61261472-61261589		2.3735	0.2489	6.25
NFKB_PATHWAY	CESC	LOC654433|654433	+	MX	chr2:113993147-113994090:113994190-114012967:113993147-113995667:113995789-114012967		2.3586	-0.0116	18.75
NFKB_PATHWAY	CESC	CTNND1|1500	+	A3	chr11:57529518-57558857:57529518-57558966		2.3527	-0.2544	50
NFKB_PATHWAY	CESC	SERPINB8|5271	+	A5	chr18:61637421-61645533:61637404-61645533		2.3477	0.0483	56.25
NFKB_PATHWAY	CESC	RABGEF1|27342	+	SE	chr7:66240380-66248662:66248828-66260498		2.3369	0.4071	62.5
NFKB_PATHWAY	CESC	PPARA|5465	+	SE	chr22:46614298-46615709:46615911-46627689		2.3157	0.1116	56.25
NFKB_PATHWAY	CESC	FGD3|89846	+	A3	chr9:95795155-95796823:95795155-95796826		2.3092	-0.3648	81.25
NFKB_PATHWAY	CESC	EFEMP2|30008	-	RI	chr11:65633913:65634183-65634316:65634550		2.2965	0.2085	56.25
NFKB_PATHWAY	CESC	DFFA|1676	-	RI	chr1:10520605:10521759-10523115:10523266		2.2932	0.0311	18.75
NFKB_PATHWAY	CESC	C13orf18|80183	-	A3	chr13:46946732-46952025:46946345-46952025		2.2931	0.2844	25
NFKB_PATHWAY	CESC	PRKG2|5593	-	A5	chr4:82061823-82063948:82061823-82064035		2.2676	0.1505	18.75
