# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
LYSOSOME	SKCM	LENG8|114823	+	SE	chr19:54963931-54964725:54964835-54965609		5.3537	0.5132	37.5
LYSOSOME	SKCM	ZNF720|124411	+	A3	chr16:31765221-31765776:31765221-31770678		5.1364	-0.5034	56.25
LYSOSOME	SKCM	UBXN11|91544	-	RI	chr1:26610853:26610973-26611955:26612032		5.0971	-0.5921	18.75
LYSOSOME	SKCM	NCRNA00171|80862	-	SE	chr6:30025967-30028518:30028772-30028856		4.9423	0.4531	62.5
LYSOSOME	SKCM	LENG8|114823	+	A5	chr19:54960488-54962467:54960484-54962467		4.9022	0.5132	37.5
LYSOSOME	SKCM	ACCS|84680	+	A5	chr11:44089465-44092806:44089328-44092806		4.7925	0.5051	18.75
LYSOSOME	SKCM	ZNF720|124411	+	A5	chr16:31724769-31733947:31724756-31733947		4.531	-0.5114	50
LYSOSOME	SKCM	UROD|7389	+	A5	chr1:45479026-45479266:45478887-45479266		4.4648	0.4734	37.5
LYSOSOME	SKCM	BMP1|649	+	A3	chr8:22054933-22058631:22054933-22059316		4.4054	-0.501	56.25
LYSOSOME	SKCM	PRPF39|55015	+	SE	chr14:45565431-45565627:45565961-45566090		4.3221	-0.3817	50
LYSOSOME	SKCM	RHOC|389	-	A3	chr1:113248874-113249700:113247790-113249700		4.2676	-0.5739	12.5
LYSOSOME	SKCM	BDH2|56898	-	A5	chr4:104006619-104006856:104006619-104007637		4.1893	-0.488	50
LYSOSOME	SKCM	DLGAP4|22839	+	SE	chr20:35127724-35127991:35128079-35128602		4.0965	-0.4908	43.75
LYSOSOME	SKCM	SDR39U1|56948	-	A5	chr14:24910132-24910880:24910132-24911304		3.9858	-0.4769	68.75
LYSOSOME	SKCM	CEP68|23177	+	SE	chr2:65301538-65305002:65305098-65309670		3.9839	-0.4181	37.5
LYSOSOME	SKCM	SNRNP70|6625	+	SE	chr19:49604728-49605371:49606844-49607891		3.9831	-0.4697	62.5
LYSOSOME	SKCM	CDK10|8558	+	A5	chr16:89755732-89756961:89755714-89756961		3.9258	0.5501	56.25
LYSOSOME	SKCM	BEST1|7439	+	RI	chr11:61722579:61722673-61723190:61723423		3.8133	-0.527	50
LYSOSOME	SKCM	SUPT7L|9913	-	RI	chr2:27883851:27884255-27885046:27885148		3.705	-0.4994	93.75
LYSOSOME	SKCM	SLC4A7|9497	-	SE	chr3:27446454-27450847:27451021-27453133		3.6959	0.3387	43.75
LYSOSOME	SKCM	AP1G2|8906	-	A5	chr14:24035628-24036320:24035628-24036446		3.649	-0.4315	62.5
LYSOSOME	SKCM	ADHFE1|137872	+	A3	chr8:67364340-67365945:67364340-67366294		3.6073	-0.4397	68.75
LYSOSOME	SKCM	SNCA|6622	-	A5	chr4:90756843-90757894:90756843-90758113		3.5984	0.3847	43.75
LYSOSOME	SKCM	CALCOCO1|57658	-	RI	chr12:54104903:54105905-54106884:54106990		3.5748	-0.4719	50
LYSOSOME	SKCM	CHD3|1107	+	SE	chr17:7810806-7810919:7811020-7811212		3.5168	-0.2949	50
LYSOSOME	SKCM	AP1G2|8906	-	SE	chr14:24035628-24035771:24035895-24036320		3.489	0.4819	62.5
LYSOSOME	SKCM	ACCS|84680	+	A3	chr11:44097142-44098829:44097142-44098873		3.4573	0.5051	18.75
LYSOSOME	SKCM	AP1G2|8906	-	A3	chr14:24033430-24033542:24033368-24033542		3.4538	-0.4715	37.5
LYSOSOME	SKCM	AP1G2|8906	-	SE	chr14:24034910-24035025:24035101-24035273		3.3189	0.4653	62.5
LYSOSOME	SKCM	OGFOD2|79676	+	SE	chr12:123459930-123460358:123460414-123461201		3.2959	0.4693	43.75
LYSOSOME	SKCM	HKR1|284459	+	SE	chr19:37825684-37826071:37826159-37838092		3.149	0.2341	50
LYSOSOME	SKCM	TTLL3|26140	+	A5	chr3:9860604-9862230:9859443-9862230		3.1294	-0.3897	43.75
LYSOSOME	SKCM	PI4KAP1|728233	-	A5	chr22:20385815-20386507:20385815-20386517		3.1261	0.5279	62.5
LYSOSOME	SKCM	NCRNA00171|80862	-	A5	chr6:30025967-30028518:30025967-30028856		3.1214	0.4872	56.25
LYSOSOME	SKCM	PI4KAP1|728233	-	A3	chr22:20388671-20389095:20388611-20389095		3.1092	0.504	56.25
LYSOSOME	SKCM	FCHSD1|89848	-	RI	chr5:141025654:141025758-141026170:141026289		3.0891	-0.4819	75
LYSOSOME	SKCM	LUC7L3|51747	+	RI	chr17:48827862:48828055-48829561:48830070		3.0811	-0.437	50
LYSOSOME	SKCM	TTYH3|80727	+	SE	chr7:2687272-2687593:2687688-2689201		3.0582	-0.2637	12.5
LYSOSOME	SKCM	C5orf13|9315	-	A5	chr5:111092876-111093017:111092876-111093026		3.0357	-0.2625	43.75
LYSOSOME	SKCM	TUBGCP6|85378	-	A5	chr22:50658444-50658621:50658444-50658680		3.0165	-0.5471	56.25
LYSOSOME	SKCM	POLH|5429	+	SE	chr6:43544177-43550053:43550193-43550744		3.0022	-0.4829	37.5
LYSOSOME	SKCM	PIGT|51604	+	SE	chr20:44044983-44045157:44045294-44047935		2.9661	0.3327	50
LYSOSOME	SKCM	AP1G2|8906	-	A5	chr14:24034910-24035025:24034910-24035273		2.9498	0.4022	75
LYSOSOME	SKCM	KIAA1432|57589	+	MX	chr9:5747505-5748585:5748714-5754841:5747505-5753200:5753238-5754841		2.9428	-0.3847	50
LYSOSOME	SKCM	LOC338799|338799	-	SE	chr12:122237862-122239478:122239514-122239613		2.9065	0.3157	50
LYSOSOME	SKCM	AGAP2|116986	-	SE	chr12:58121868-58122101:58122160-58123422		2.9021	-0.3379	31.25
LYSOSOME	SKCM	SH3PXD2A|9644	-	SE	chr10:105420872-105428366:105428410-105452786		2.8993	-0.2164	43.75
LYSOSOME	SKCM	TMEM205|374882	-	RI	chr19:11456196:11456413-11456803:11456981		2.8666	-0.5197	18.75
LYSOSOME	SKCM	TTLL3|26140	+	RI	chr3:9859329:9859443-9862230:9862425		2.7891	-0.48	68.75
LYSOSOME	SKCM	PPOX|5498	+	RI	chr1:161136890:161137024-161137161:161137276		2.7826	-0.4605	75
LYSOSOME	SKCM	CCDC130|81576	+	RI	chr19:13869682:13869824-13869914:13870086		2.7247	-0.4592	31.25
LYSOSOME	SKCM	SORCS2|57537	+	A5	chr4:7738941-7741927:7738899-7741927		2.7107	0.2979	56.25
LYSOSOME	SKCM	POLK|51426	+	SE	chr5:74886265-74892047:74893003-74893572		2.7054	-0.269	18.75
LYSOSOME	SKCM	MCOLN3|55283	-	SE	chr1:85511045-85513258:85513292-85514079		2.701	-0.3532	37.5
LYSOSOME	SKCM	TMEM175|84286	+	A5	chr4:942403-944209:941942-944209		2.6895	-0.4723	68.75
LYSOSOME	SKCM	RPN2|6185	+	SE	chr20:35812776-35827453:35827628-35832288		2.6602	0.3851	62.5
LYSOSOME	SKCM	SMARCC2|6601	-	SE	chr12:56566488-56566721:56566813-56567480		2.6585	-0.142	25
LYSOSOME	SKCM	ZHX3|23051	-	A5	chr20:39813841-39830697:39813841-39832885		2.647	0.272	37.5
LYSOSOME	SKCM	CAPRIN2|65981	-	SE	chr12:30864563-30864673:30864716-30866719		2.6397	0.3535	25
LYSOSOME	SKCM	ALG3|10195	-	SE	chr3:183963403-183963501:183963600-183966570		2.6392	0.421	62.5
LYSOSOME	SKCM	SFRS1|6426	-	RI	chr17:56078282:56082961-56083162:56083334		2.6269	-0.4358	31.25
LYSOSOME	SKCM	EDNRB|1910	-	A3	chr13:78472469-78473994:78470693-78473994		2.6243	-0.43	62.5
LYSOSOME	SKCM	FAM113A|64773	-	RI	chr20:2819490:2819728-2819838:2819917		2.6187	-0.4915	43.75
LYSOSOME	SKCM	NHSL1|57224	-	SE	chr6:138754817-138763120:138763251-138768138		2.6088	0.2464	18.75
LYSOSOME	SKCM	NSUN5P2|260294	-	A5	chr7:72419136-72419203:72419136-72419207		2.6026	-0.5003	56.25
LYSOSOME	SKCM	MIER1|57708	+	A3	chr1:67391925-67394570:67391925-67394573		2.5976	-0.2778	31.25
LYSOSOME	SKCM	SPSB3|90864	-	RI	chr16:1828135:1828322-1828436:1828613		2.5829	-0.4529	37.5
LYSOSOME	SKCM	MARCH6|10299	+	RI	chr5:10400896:10400954-10402171:10402251		2.5777	-0.4926	56.25
LYSOSOME	SKCM	IL16|3603	+	A3	chr15:81582881-81584265:81582881-81584897		2.5717	-0.1388	31.25
LYSOSOME	SKCM	PPHLN1|51535	+	A3	chr12:42836543-42838849:42836543-42839775		2.5468	-0.44	56.25
LYSOSOME	SKCM	FAM113A|64773	-	RI	chr20:2819490:2819575-2819838:2819917		2.5364	-0.471	100
LYSOSOME	SKCM	PBRM1|55193	-	MX	chr3:52584833-52588740:52588895-52595783:52584833-52592265:52592429-52595783		2.5059	0.2718	12.5
LYSOSOME	SKCM	MTRF1L|54516	-	A3	chr6:153316454-153319685:153316429-153319685		2.5024	0.3244	31.25
LYSOSOME	SKCM	HAGH|3029	-	SE	chr16:1873038-1876508:1876603-1876713		2.4751	0.1837	43.75
LYSOSOME	SKCM	KREMEN2|79412	+	A3	chr16:3016450-3016643:3016450-3016760		2.4685	0.1137	31.25
LYSOSOME	SKCM	RHOT2|89941	+	RI	chr16:720892:721000-721083:721203		2.4593	-0.3531	37.5
LYSOSOME	SKCM	HPS4|89781	-	RI	chr22:26861421:26861517-26862192:26862228		2.4584	-0.4171	62.5
LYSOSOME	SKCM	ALS2CR11|151254	-	SE	chr2:202352625-202355892:202359482-202360618		2.4477	-0.2861	18.75
LYSOSOME	SKCM	CDK5RAP3|80279	+	RI	chr17:46052880:46053019-46053235:46053379		2.435	-0.4709	37.5
LYSOSOME	SKCM	HSPB7|27129	-	A5	chr1:16342254-16343569:16342254-16343584		2.4149	-0.1539	37.5
LYSOSOME	SKCM	KIAA0907|22889	-	RI	chr1:155882836:155884111-155885664:155885755		2.407	-0.4617	50
LYSOSOME	SKCM	ABCC10|89845	+	RI	chr6:43410708:43410897-43411671:43411748		2.4057	-0.3522	18.75
LYSOSOME	SKCM	ZHX3|23051	-	A5	chr20:39813841-39830923:39813841-39832885		2.3963	0.141	31.25
LYSOSOME	SKCM	ANAPC5|51433	-	SE	chr12:121768475-121769150:121769231-121773336		2.3929	-0.3091	50
LYSOSOME	SKCM	FAM73B|84895	+	A5	chr9:131831254-131831355:131830611-131831355		2.3885	-0.4443	50
LYSOSOME	SKCM	FLJ43663|378805	-	SE	chr7:130668868-130791304:130791376-130791502		2.3874	0.436	56.25
LYSOSOME	SKCM	TROAP|10024	+	RI	chr12:49723928:49724726-49724997:49725190		2.3847	-0.4205	43.75
LYSOSOME	SKCM	GLIPR1|11010	+	SE	chr12:75875859-75881519:75881589-75884186		2.377	0.3648	81.25
LYSOSOME	SKCM	CAPN3|825	+	SE	chr15:42695975-42698124:42698141-42700409		2.3588	0.386	56.25
LYSOSOME	SKCM	SH3BP5|9467	-	A3	chr3:15345806-15372011:15345738-15372011		2.3453	0.2831	18.75
LYSOSOME	SKCM	ZNF498|221785	+	A5	chr7:99217620-99218996:99217616-99218996		2.3347	-0.1373	31.25
LYSOSOME	SKCM	CENPE|1062	-	A3	chr4:104059609-104061413:104059606-104061413		2.3175	0.2915	37.5
LYSOSOME	SKCM	MAF|4094	-	RI	chr16:79627746:79628450-79632682:79634622		2.2967	-0.3555	18.75
LYSOSOME	SKCM	NEK9|91754	-	RI	chr14:75572653:75572699-75573205:75573405		2.293	-0.3745	37.5
LYSOSOME	SKCM	WDR27|253769	-	SE	chr6:170034621-170036467:170036600-170038635		2.2831	0.1802	37.5
LYSOSOME	SKCM	FNBP1L|54874	+	RI	chr1:94016504:94016662-94017966:94020216		2.2815	0.3242	43.75
LYSOSOME	SKCM	CDK5RAP3|80279	+	RI	chr17:46051766:46051814-46052525:46052703		2.2807	-0.4725	75
LYSOSOME	SKCM	UCKL1|54963	-	A5	chr20:62572396-62572463:62572396-62572489		2.2745	0.4519	25
LYSOSOME	SKCM	CCDC64|92558	+	SE	chr12:120510533-120512247:120512390-120518691		2.2738	-0.0399	37.5
LYSOSOME	SKCM	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		2.2611	0.314	68.75
