# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
APOPTOSIS	LUSC	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088	Observed	5.0709	0.4382	93.75
APOPTOSIS	LUSC	CD8A|925	-	RI	chr2:87017900:87018218-87018633:87018837	Observed	4.0333	-0.3098	43.75
APOPTOSIS	LUSC	KAT5|10524	+	RI	chr11:65479489:65479750-65479850:65479916	Observed	3.4772	-0.2856	37.5
APOPTOSIS	LUSC	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583	Observed	3.2352	0.2284	62.5
APOPTOSIS	LUSC	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014	Observed	3.067	0.243	75
APOPTOSIS	LUSC	IRF5|3663	+	A3	chr7:128586616-128587284:128586616-128587332	Observed	2.3219	0.0055	18.75
APOPTOSIS	LUSC	CBS|875	-	A3	chr21:44493451-44495880:44493413-44495880	Observed	2.077	-0.2567	25
APOPTOSIS	LUSC	DLEC1|9940	+	RI	chr3:38136370:38136562-38137379:38137437	Observed	2.0595	-0.1954	18.75
APOPTOSIS	LUSC	FAS|355	+	SE	chr10:90770357-90770510:90770572-90771756	Observed	2.0037	0.0652	68.75
APOPTOSIS	LUSC	RPAIN|84268	+	MX	chr17:5326149-5329291:5329402-5331391:5326149-5329556:5329619-5331391	Observed	1.7491	-0.261	56.25
APOPTOSIS	LUSC	XAF1|54739	+	SE	chr17:6663920-6665474:6665559-6673962	Observed	1.6394	-0.0614	56.25
APOPTOSIS	LUSC	CUTC|51076	+	SE	chr10:101507147-101510126:101510153-101514286	Observed	1.6126	0.1133	62.5
APOPTOSIS	LUSC	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414	Observed	1.4247	-0.0673	56.25
APOPTOSIS	LUSC	XIAP|331	+	SE	chrX:122994143-123019481:123020389-123022469	Observed	1.4155	-0.0735	56.25
