# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
NFKB_PATHWAY	KIRP	ITGB7|3695	-	SE	chr12:53594230-53594856:53594978-53600986		4.0599	0.3777	75
NFKB_PATHWAY	KIRP	FGD3|89846	+	A3	chr9:95795155-95796823:95795155-95796826		3.6788	-0.4181	81.25
NFKB_PATHWAY	KIRP	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		3.5406	0.4929	75
NFKB_PATHWAY	KIRP	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		3.3269	-0.4673	93.75
NFKB_PATHWAY	KIRP	SP140|11262	+	SE	chr2:231113683-231115696:231115776-231120167		2.852	0.2386	43.75
NFKB_PATHWAY	KIRP	IL16|3603	+	A3	chr15:81589419-81591645:81589419-81591721		2.7637	0.3989	56.25
NFKB_PATHWAY	KIRP	ZNF185|7739	+	SE	chrX:152087625-152088872:152088955-152089251		2.7238	-0.25	31.25
NFKB_PATHWAY	KIRP	EPB41|2035	+	SE	chr1:29314417-29315868:29315947-29319842		2.6408	-0.1537	18.75
NFKB_PATHWAY	KIRP	TSPAN32|10077	+	A5	chr11:2334985-2335715:2334938-2335715		2.635	0.0625	43.75
NFKB_PATHWAY	KIRP	CDH23|64072	+	A5	chr10:73572119-73572237:73571772-73572237		2.6166	-0.2177	25
NFKB_PATHWAY	KIRP	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977		2.5544	-0.2564	75
NFKB_PATHWAY	KIRP	FNBP1|23048	-	SE	chr9:132671278-132686123:132686305-132687239		2.5	-0.3176	81.25
NFKB_PATHWAY	KIRP	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		2.4955	-0.3223	93.75
NFKB_PATHWAY	KIRP	ABI1|10006	-	SE	chr10:27040712-27047991:27048164-27054147		2.4954	-0.1916	68.75
NFKB_PATHWAY	KIRP	FOSB|2354	+	A3	chr19:45971970-45973887:45971970-45974004		2.4901	0.0051	37.5
NFKB_PATHWAY	KIRP	ACOX1|51	-	MX	chr17:73953647-73956296:73956456-73974615:73953647-73969706:73969866-73974615		2.4558	0.0222	31.25
NFKB_PATHWAY	KIRP	SYTL1|84958	+	A3	chr1:27674503-27675571:27674503-27675607		2.2975	0.1482	37.5
NFKB_PATHWAY	KIRP	ZNF271|10778	+	A5	chr18:32871196-32885940:32870355-32885940		2.2895	0.0505	62.5
NFKB_PATHWAY	KIRP	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		2.2866	-0.213	87.5
NFKB_PATHWAY	KIRP	LAT2|7462	+	SE	chr7:73624418-73629152:73629340-73630277		2.2702	0.3614	81.25
NFKB_PATHWAY	KIRP	ABI1|10006	-	SE	chr10:27040712-27047991:27048167-27054147		2.2433	-0.3621	62.5
NFKB_PATHWAY	KIRP	TMEM156|80008	-	A3	chr4:38972757-38987956:38972754-38987956		2.2395	0.2301	68.75
NFKB_PATHWAY	KIRP	GPR114|221188	+	SE	chr16:57602036-57604330:57604447-57608727		2.2314	0.2161	62.5
NFKB_PATHWAY	KIRP	ARHGAP30|257106	-	SE	chr1:161024495-161026178:161026322-161029404		2.2259	0.3401	93.75
NFKB_PATHWAY	KIRP	ARHGAP9|64333	-	MX	chr12:57866471-57867386:57867491-57868206:57866471-57867825:57867959-57868206		2.2231	-0.2852	62.5
NFKB_PATHWAY	KIRP	CTSL1|1514	+	A5	chr9:90341223-90342509:90341164-90342509		2.2221	-0.1836	37.5
NFKB_PATHWAY	KIRP	PIK3R5|23533	-	SE	chr17:8793443-8794055:8794229-8796903		2.2131	0.29	62.5
NFKB_PATHWAY	KIRP	NR1H3|10062	+	SE	chr11:47283000-47283098:47283277-47283470		2.1926	0.1913	31.25
NFKB_PATHWAY	KIRP	IMPDH1|3614	-	SE	chr7:128043808-128045821:128045919-128049343		2.1791	0.1058	31.25
NFKB_PATHWAY	KIRP	LILRB4|11006	+	A3	chr19:55178200-55179086:55178200-55179089		2.1668	-0.1054	75
NFKB_PATHWAY	KIRP	COL16A1|1307	-	SE	chr1:32134456-32136203:32136247-32137216		2.1579	0.2081	56.25
NFKB_PATHWAY	KIRP	REV1|51455	-	A3	chr2:100046410-100050794:100046407-100050794		2.137	-0.0359	37.5
NFKB_PATHWAY	KIRP	CDH23|64072	+	SE	chr10:73572647-73573001:73573105-73574709		2.1311	0.2583	37.5
NFKB_PATHWAY	KIRP	CSF2RA|1438	+	SE	chrX:1419519-1422816:1422912-1424339		2.131	0.1048	25
NFKB_PATHWAY	KIRP	GTF2IRD2|84163	-	SE	chr7:74216354-74217639:74217822-74219118		2.1013	0.1204	43.75
NFKB_PATHWAY	KIRP	OS9|10956	+	SE	chr12:58112965-58113882:58114046-58114189		2.0768	-0.1678	31.25
NFKB_PATHWAY	KIRP	RAC1|5879	+	SE	chr7:6431672-6438293:6438349-6439757		2.0755	0.1887	56.25
NFKB_PATHWAY	KIRP	FNBP1|23048	-	SE	chr9:132671278-132686123:132686275-132687239		2.0535	-0.2786	81.25
NFKB_PATHWAY	KIRP	PARP15|165631	+	SE	chr3:122340458-122345674:122345880-122350933		2.0449	0.1364	50
NFKB_PATHWAY	KIRP	C7orf49|78996	-	A5	chr7:134852559-134853538:134852559-134853721		2.0321	0.0346	25
NFKB_PATHWAY	KIRP	DGKH|160851	+	A5	chr13:42772731-42773702:42772729-42773702		2.0304	0.249	68.75
NFKB_PATHWAY	KIRP	MEMO1|51072	-	SE	chr2:32145979-32157136:32157204-32168371		2.0248	-0.2009	25
