# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSLATION	COAD	RPS6KA1|6195	+	SE	chr1:26863460-26873358:26873474-26873680	Observed	3.4492	-0.7101	62.5
TRANSLATION	COAD	EIF4G3|8672	-	SE	chr1:21231464-21267984:21268823-21276496	Observed	2.5296	-0.6669	81.25
TRANSLATION	COAD	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543	Observed	2.2003	0.6933	87.5
TRANSLATION	COAD	MSH2|4436	+	SE	chr2:47639699-47641408:47641557-47643435	Observed	1.9283	-0.6535	68.75
TRANSLATION	COAD	DSP|1832	+	A5	chr6:7581802-7582875:7580005-7582875	Observed	1.7511	-0.6485	62.5
TRANSLATION	COAD	ZNF2|7549	+	SE	chr2:95843354-95845904:95846017-95846848	Observed	1.7371	-0.234	37.5
TRANSLATION	COAD	ELN|2006	+	SE	chr7:73461097-73462005:73462046-73462472	Observed	1.7211	-0.5957	37.5
TRANSLATION	COAD	ILF3|3609	+	A3	chr19:10794646-10795092:10794646-10795535	Observed	1.6357	-0.6086	81.25
TRANSLATION	COAD	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977	Observed	1.5353	0.5043	62.5
TRANSLATION	COAD	NIPBL|25836	+	A5	chr5:37064121-37064629:37064080-37064629	Observed	1.5181	0.6487	81.25
TRANSLATION	COAD	EIF4G3|8672	-	MX	chr1:21231464-21267984:21268823-21295967:21231464-21276496:21276604-21295967	Observed	1.5089	-0.5686	56.25
TRANSLATION	COAD	FES|2242	+	SE	chr15:91428488-91428642:91428815-91430191	Observed	1.4166	-0.4167	68.75
TRANSLATION	COAD	POLDIP3|84271	-	SE	chr22:42995799-42997976:42998113-42998776	Observed	1.415	-0.1556	56.25
TRANSLATION	COAD	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061	Observed	1.4132	-0.5479	87.5
TRANSLATION	COAD	USP7|7874	-	A5	chr16:8989598-8990852:8989598-8990856	Observed	1.3814	0.6277	68.75
TRANSLATION	COAD	FN1|2335	-	RI	chr2:216236632:216236738-216236832:216237098	Observed	1.3812	0.6222	81.25
TRANSLATION	COAD	ERG|2078	-	SE	chr21:39795483-39817327:39817544-39947586	Observed	1.3441	-0.2661	56.25
TRANSLATION	COAD	NUP98|4928	-	A5	chr11:3722069-3723693:3722069-3724002	Observed	1.3384	-0.6337	56.25
TRANSLATION	COAD	EIF4G3|8672	-	SE	chr1:21268823-21276496:21276604-21295967	Observed	1.2553	-0.5947	62.5
TRANSLATION	COAD	TRAPPC2|6399	-	SE	chrX:13738101-13752169:13752304-13752644	Observed	1.2363	-0.221	75
TRANSLATION	COAD	ARHGEF15|22899	+	SE	chr17:8215958-8216240:8216572-8216819	Observed	1.001	-0.4507	62.5
TRANSLATION	COAD	CEACAM1|634	-	SE	chr19:43015072-43015728:43015780-43016502	Observed	1.001	-0.06	68.75
TRANSLATION	COAD	DHX9|1660	+	RI	chr1:182852274:182852351-182852455:182852503	Observed	1.001	-0.6542	81.25
TRANSLATION	COAD	DMPK|1760	-	A3	chr19:46274318-46274608:46274314-46274608	Observed	1.001	-0.3501	75
TRANSLATION	COAD	DYSF|8291	+	SE	chr2:71840540-71847677:71847739-71871095	Observed	1.001	0.4511	62.5
TRANSLATION	COAD	EDNRB|1910	-	A3	chr13:78472469-78473994:78470693-78473994	Observed	1.001	-0.3119	68.75
TRANSLATION	COAD	ELN|2006	+	SE	chr7:73471043-73471970:73472026-73474216	Observed	1.001	-0.3243	75
TRANSLATION	COAD	MEN1|4221	-	A5	chr11:64577604-64577986:64577604-64577998	Observed	1.001	0.1245	62.5
TRANSLATION	COAD	NFASC|23114	+	SE	chr1:204913534-204919685:204919702-204921139	Observed	1.001	-0.4429	56.25
TRANSLATION	COAD	NFAT5|10725	+	SE	chr16:69660431-69680420:69680481-69680931	Observed	1.001	-0.0635	62.5
TRANSLATION	COAD	NOS3|4846	+	SE	chr7:150688388-150690841:150691049-150692291	Observed	1.001	-0.5279	81.25
TRANSLATION	COAD	PKD2|5311	+	SE	chr4:88977419-88979135:88979255-88983058	Observed	1.001	-0.5733	68.75
TRANSLATION	COAD	PML|5371	+	A3	chr15:74317268-74325497:74317268-74326819	Observed	1.001	-0.0226	75
TRANSLATION	COAD	POMT1|10585	+	MX	chr9:134381840-134382755:134382901-134385130:134381840-134384298:134384409-134385130	Observed	1.001	-0.2423	68.75
TRANSLATION	COAD	POMT1|10585	+	SE	chr9:134378460-134381501:134381607-134381790	Observed	1.001	-0.2706	56.25
TRANSLATION	COAD	TRAPPC2|6399	-	A5	chrX:13738101-13752163:13738101-13752169	Observed	1.001	0.0289	56.25
TRANSLATION	COAD	SYNE1|23345	-	SE	chr6:152615262-152621776:152621916-152623004	Observed	0.8367	-0.0319	93.75
TRANSLATION	COAD	PNPLA8|50640	-	A3	chr7:108156018-108161920:108155891-108161920	Observed	0.7847	-0.3038	68.75
TRANSLATION	COAD	MKNK2|2872	-	A3	chr19:2039855-2040133:2037828-2040133	Observed	0.7065	-0.4116	75
TRANSLATION	COAD	SHC1|6464	-	A5	chr1:154936407-154938019:154936407-154938115	Observed	0.6731	-0.6313	62.5
TRANSLATION	COAD	AOX1|316	+	SE	chr2:201474137-201476107:201476216-201477332	Observed	0.5323	-0.4804	68.75
