# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
DNA_REPAIR_PATHWAY	LUAD	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026		7.3737	-0.5794	25
DNA_REPAIR_PATHWAY	LUAD	KLHDC5|57542	+	SE	chr12:27944834-27950180:27950282-27950648		5.3821	0.4689	37.5
DNA_REPAIR_PATHWAY	LUAD	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		5.2254	-0.4651	87.5
DNA_REPAIR_PATHWAY	LUAD	DNAH5|1767	-	A3	chr5:13919510-13920589:13919461-13920589		5.2046	0.5307	68.75
DNA_REPAIR_PATHWAY	LUAD	LOC92249|92249	-	A3	chrX:62648861-62652244:62646876-62652244		5.1665	-0.4647	75
DNA_REPAIR_PATHWAY	LUAD	ABI3BP|25890	-	SE	chr3:100513847-100515253:100515312-100523636		4.9535	-0.5029	93.75
DNA_REPAIR_PATHWAY	LUAD	RIPK2|8767	+	SE	chr8:90770461-90775057:90775210-90777569		4.9388	-0.3973	50
DNA_REPAIR_PATHWAY	LUAD	LTBP4|8425	+	SE	chr19:41116563-41117058:41117300-41117765		4.9008	-0.5004	56.25
DNA_REPAIR_PATHWAY	LUAD	PQBP1|10084	+	A3	chrX:48759319-48759510:48759319-48760009		4.7049	-0.4312	43.75
DNA_REPAIR_PATHWAY	LUAD	HMGN1|3150	-	A3	chr21:40719409-40720218:40719404-40720218		4.6985	-0.4613	68.75
DNA_REPAIR_PATHWAY	LUAD	HMGN1|3150	-	A3	chr21:40719218-40719305:40717884-40719305		4.5064	-0.4613	75
DNA_REPAIR_PATHWAY	LUAD	FANCA|2175	-	SE	chr16:89818630-89824985:89825113-89828357	Observed	4.4186	0.3781	43.75
DNA_REPAIR_PATHWAY	LUAD	ARMC6|93436	+	A5	chr19:19144822-19153520:19144739-19153520		4.2061	0.409	68.75
DNA_REPAIR_PATHWAY	LUAD	ABI3BP|25890	-	SE	chr3:100499053-100506572:100506646-100508298		4.1589	0.4894	75
DNA_REPAIR_PATHWAY	LUAD	NLRC5|84166	+	A3	chr16:57089006-57089345:57089006-57089348		4.1576	-0.4868	68.75
DNA_REPAIR_PATHWAY	LUAD	CDADC1|81602	+	A3	chr13:49830049-49833482:49830049-49833622		4.0213	-0.4284	31.25
DNA_REPAIR_PATHWAY	LUAD	FAM160A2|84067	-	A5	chr11:6239380-6239788:6239380-6239830		3.9398	0.2973	31.25
DNA_REPAIR_PATHWAY	LUAD	PQBP1|10084	+	SE	chrX:48759319-48759496:48759794-48760009		3.8944	-0.3483	68.75
DNA_REPAIR_PATHWAY	LUAD	HMGA1|3159	+	SE	chr6:34204740-34204981:34205094-34208514		3.8799	-0.3587	37.5
