# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
T_CELL_ACTIVATION	BLCA	LAG3|3902	+	RI	chr12:6886957:6887087-6887410:6887619		6.2807	-0.5779	81.25
T_CELL_ACTIVATION	BLCA	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		6.1053	-0.4273	100
T_CELL_ACTIVATION	BLCA	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088	Observed	5.5224	0.5939	87.5
T_CELL_ACTIVATION	BLCA	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		5.2363	-0.5762	100
T_CELL_ACTIVATION	BLCA	TRIM22|10346	+	RI	chr11:5718478:5718573-5719557:5719775		5.1598	0.5167	43.75
T_CELL_ACTIVATION	BLCA	CYBASC3|220002	-	A3	chr11:61117894-61118463:61117115-61118463		5.1086	0.5981	56.25
T_CELL_ACTIVATION	BLCA	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		5.0163	-0.587	100
T_CELL_ACTIVATION	BLCA	LAT2|7462	+	SE	chr7:73635064-73635967:73636022-73638054		4.7348	0.5432	87.5
T_CELL_ACTIVATION	BLCA	TRIM22|10346	+	A3	chr11:5718573-5719545:5718573-5719557		4.7164	0.5245	62.5
T_CELL_ACTIVATION	BLCA	SLAMF1|6504	-	SE	chr1:160582370-160589566:160589639-160593886		4.6765	0.432	93.75
T_CELL_ACTIVATION	BLCA	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		4.628	-0.5946	100
T_CELL_ACTIVATION	BLCA	TTN|7273	-	SE	chr2:179392034-179392173:179392475-179393001		4.5426	-0.5549	93.75
T_CELL_ACTIVATION	BLCA	SIGLEC1|6614	-	SE	chr20:3669266-3669802:3669874-3670247		4.4292	0.2559	56.25
T_CELL_ACTIVATION	BLCA	ITGB7|3695	-	SE	chr12:53594230-53594856:53594978-53600986		4.3728	0.5384	100
T_CELL_ACTIVATION	BLCA	FMNL3|91010	-	SE	chr12:50050973-50052225:50052377-50055749		4.3182	-0.5536	93.75
T_CELL_ACTIVATION	BLCA	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		4.2018	0.6366	100
T_CELL_ACTIVATION	BLCA	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		4.1713	0.6213	93.75
T_CELL_ACTIVATION	BLCA	IDO1|3620	+	A5	chr8:39781109-39782240:39781105-39782240		4.1306	-0.2608	75
T_CELL_ACTIVATION	BLCA	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785		4.0882	0.5011	93.75
T_CELL_ACTIVATION	BLCA	SEPT1|1731	-	SE	chr16:30392794-30393081:30393204-30393414		4.0872	0.3502	100
T_CELL_ACTIVATION	BLCA	LILRB2|10288	-	A3	chr19:54781454-54781743:54781451-54781743		3.9852	-0.2347	81.25
T_CELL_ACTIVATION	BLCA	GLIPR1|11010	+	SE	chr12:75875859-75881519:75881589-75884186		3.901	0.5518	68.75
T_CELL_ACTIVATION	BLCA	PDCD1LG2|80380	+	A3	chr9:5549604-5557618:5549604-5557623		3.8456	0.5053	81.25
T_CELL_ACTIVATION	BLCA	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		3.836	0.5854	93.75
T_CELL_ACTIVATION	BLCA	LAIR1|3903	-	A3	chr19:54872816-54875902:54872813-54875902		3.826	0.2404	87.5
T_CELL_ACTIVATION	BLCA	PSTPIP1|9051	+	SE	chr15:77324735-77325203:77325293-77327849		3.8211	0.2309	81.25
T_CELL_ACTIVATION	BLCA	CD8A|925	-	SE	chr2:87015683-87016446:87016556-87016763	Observed	3.7234	-0.0134	25
T_CELL_ACTIVATION	BLCA	HLA-DMB|3109	-	SE	chr6:32903154-32903313:32903429-32904949		3.6894	-0.2302	25
T_CELL_ACTIVATION	BLCA	FYN|2534	-	SE	chr6:112017659-112020718:112020873-112024088	Observed	3.6668	0.4677	87.5
T_CELL_ACTIVATION	BLCA	VSIG4|11326	-	A3	chrX:65242342-65242683:65242008-65242683		3.6458	-0.2632	12.5
T_CELL_ACTIVATION	BLCA	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		3.5813	0.3654	87.5
T_CELL_ACTIVATION	BLCA	PLEK|5341	+	A3	chr2:68620377-68621239:68620377-68621243		3.5804	0.5156	31.25
