# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PROTEIN_SECRETION	ESCA	RABGEF1|27342	+	RI	chr7:66273873:66274377-66274378:66276446		3.2958	-0.4254	68.75
PROTEIN_SECRETION	ESCA	SMPDL3A|10924	+	SE	chr6:123110603-123116822:123117035-123117969		3.1955	0.3663	62.5
PROTEIN_SECRETION	ESCA	PRPF4B|8899	+	A5	chr6:4060920-4061249:4060878-4061249		2.8087	0.4178	93.75
PROTEIN_SECRETION	ESCA	GCOM1|145781	+	SE	chr15:57953731-57967166:57967266-57976600		2.7254	-0.1983	43.75
PROTEIN_SECRETION	ESCA	PAM|5066	+	SE	chr5:102296933-102309820:102310140-102325976		2.7199	-0.3405	50
PROTEIN_SECRETION	ESCA	C18orf45|85019	-	SE	chr18:20948714-20950180:20950225-20951386		2.47	0.2499	6.25
PROTEIN_SECRETION	ESCA	MBNL1|4154	+	SE	chr3:152165562-152173331:152173366-152174056		2.4257	-0.423	56.25
PROTEIN_SECRETION	ESCA	CTNND1|1500	+	SE	chr11:57582972-57583387:57583473-57583769		2.4019	0.2679	56.25
PROTEIN_SECRETION	ESCA	PEX11A|8800	-	SE	chr15:90227179-90229662:90229777-90233808		2.2889	0.1734	56.25
PROTEIN_SECRETION	ESCA	TNK2|10188	-	A3	chr3:195594135-195594232:195594129-195594232		2.2594	0.2195	75
PROTEIN_SECRETION	ESCA	FAM86A|196483	-	SE	chr16:5140566-5141795:5141896-5143485		2.254	0.2662	18.75
PROTEIN_SECRETION	ESCA	TCF7L2|6934	+	MX	chr10:114918476-114919679:114919751-114925314:114918476-114920378:114920450-114925314		2.2533	-0.3336	25
PROTEIN_SECRETION	ESCA	PDGFA|5154	-	SE	chr7:538211-540068:540136-540753		2.193	0.3869	50
PROTEIN_SECRETION	ESCA	RNMT|8731	+	SE	chr18:13726728-13730626:13730754-13731475		2.1583	0.4276	75
PROTEIN_SECRETION	ESCA	DNM1L|10059	+	SE	chr12:32890876-32891198:32891230-32892998		2.1474	0.0192	56.25
PROTEIN_SECRETION	ESCA	ZDHHC5|25921	+	SE	chr11:57435659-57439493:57440666-57449894		2.1394	0.3961	87.5
PROTEIN_SECRETION	ESCA	TRMU|55687	+	A3	chr22:46742441-46746188:46742441-46746243		2.1362	0.3146	81.25
PROTEIN_SECRETION	ESCA	ADAM15|8751	+	MX	chr1:155033308-155033891:155033965-155034721:155033308-155034380:155034451-155034721		2.1299	-0.2489	43.75
PROTEIN_SECRETION	ESCA	ZNF720|124411	+	A5	chr16:31724769-31733947:31724756-31733947		2.1244	0.3239	43.75
PROTEIN_SECRETION	ESCA	STX3|6809	+	MX	chr11:59560987-59562845:59562955-59568328:59560987-59563075:59563185-59568328		2.1154	-0.3267	18.75
PROTEIN_SECRETION	ESCA	ABCA13|154664	+	A3	chr7:48494883-48506550:48494883-48506553		2.1012	-0.188	18.75
PROTEIN_SECRETION	ESCA	RANGRF|29098	+	RI	chr17:8192576:8192732-8193131:8193403		2.0915	-0.0073	37.5
PROTEIN_SECRETION	ESCA	DIAPH1|1729	-	SE	chr5:140896575-140898511:140898563-140903710		2.0788	-0.3956	56.25
PROTEIN_SECRETION	ESCA	TBC1D23|55773	+	SE	chr3:100029386-100030677:100030721-100034943		2.0774	-0.3548	62.5
PROTEIN_SECRETION	ESCA	SARM1|23098	+	A3	chr17:26715295-26715369:26715295-26715379		2.0175	0.3336	12.5
PROTEIN_SECRETION	ESCA	ATP7B|540	-	SE	chr13:52532680-52534284:52534458-52535973		2.0007	0.368	50
PROTEIN_SECRETION	ESCA	FLNB|2317	+	SE	chr3:58124256-58127585:58127656-58128377		1.9975	0.4068	56.25
PROTEIN_SECRETION	ESCA	PLEKHA6|22874	-	SE	chr1:204219742-204225930:204226016-204226481		1.9912	0.2762	12.5
PROTEIN_SECRETION	ESCA	RBMX|27316	-	SE	chrX:135958814-135960074:135960245-135961176		1.9721	0.23	18.75
PROTEIN_SECRETION	ESCA	NFIX|4784	+	A5	chr19:13135498-13135835:13135494-13135835		1.9707	0.3321	37.5
PROTEIN_SECRETION	ESCA	NGLY1|55768	-	SE	chr3:25761126-25761505:25761682-25770624		1.962	-0.1529	6.25
PROTEIN_SECRETION	ESCA	SLC4A3|6508	+	A3	chr2:220494417-220494794:220494417-220494875		1.9572	0.075	43.75
PROTEIN_SECRETION	ESCA	ZDHHC14|79683	+	A3	chr6:158074659-158093756:158074659-158093801		1.957	-0.1687	56.25
PROTEIN_SECRETION	ESCA	STOML1|9399	-	SE	chr15:74281143-74281449:74281598-74282692		1.9508	0.0764	31.25
PROTEIN_SECRETION	ESCA	QKI|9444	+	RI	chr6:163984452:163984751-163986978:163991169		1.9241	-0.1348	25
PROTEIN_SECRETION	ESCA	DENND1A|57706	-	MX	chr9:126520101-126531793:126531842-126641230:126520101-126554866:126554909-126641230		1.9096	0.0485	31.25
PROTEIN_SECRETION	ESCA	MUC1|4582	-	MX	chr1:155159850-155159931:155160052-155160484:155159850-155160198:155160334-155160484		1.8899	-0.0828	31.25
PROTEIN_SECRETION	ESCA	WASH7P|653635	-	SE	chr1:18366-18913:19139-24738		1.8825	-0.0093	37.5
PROTEIN_SECRETION	ESCA	GCOM1|145781	+	SE	chr15:57931743-57938335:57938867-57953648		1.8749	0.2001	31.25
PROTEIN_SECRETION	ESCA	DNM1L|10059	+	MX	chr12:32890095-32890799:32890876-32892998:32890095-32891198:32891230-32892998		1.8576	-0.3031	43.75
PROTEIN_SECRETION	ESCA	RALGPS2|55103	+	SE	chr1:178858831-178861365:178861442-178863054		1.8521	0.3975	68.75
PROTEIN_SECRETION	ESCA	SYNRG|11276	-	SE	chr17:35936516-35937478:35937711-35944756		1.8291	0.2699	62.5
PROTEIN_SECRETION	ESCA	SLC47A1|55244	+	RI	chr17:19459109:19459222-19459308:19459375		1.8268	-0.1405	25
PROTEIN_SECRETION	ESCA	SLC43A3|29015	-	A5	chr11:57194125-57194535:57194125-57194539		1.8255	-0.1125	25
PROTEIN_SECRETION	ESCA	TLR4|7099	+	SE	chr9:120466843-120470841:120471007-120474667		1.8207	0.1247	56.25
PROTEIN_SECRETION	ESCA	HDAC6|10013	+	RI	chrX:48673082:48673147-48673241:48673300		1.799	-0.3098	81.25
PROTEIN_SECRETION	ESCA	ANK3|288	-	SE	chr10:61898845-61926349:61926411-61926582		1.7976	0.2278	31.25
PROTEIN_SECRETION	ESCA	PCBP4|57060	-	A5	chr3:51993667-51993911:51993667-51994205		1.7946	0.1486	25
PROTEIN_SECRETION	ESCA	FXYD6|53826	-	RI	chr11:117707693:117708354-117708355:117708992		1.7877	0.2131	56.25
