# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
LYSOSOME	CESC	SERPINA1|5265	-	SE	chr14:94849578-94854897:94855000-94856794		2.4558	0.3141	37.5
LYSOSOME	CESC	SIGLEC1|6614	-	SE	chr20:3669266-3669802:3669874-3670247		2.2532	0.1543	43.75
LYSOSOME	CESC	PDCL|5082	-	A3	chr9:125583098-125585295:125582915-125585295		2.1573	0.2306	31.25
LYSOSOME	CESC	QKI|9444	+	RI	chr6:163984452:163984751-163986978:163991169		2.1368	-0.2999	37.5
LYSOSOME	CESC	MYO5A|4644	-	SE	chr15:52718171-52720595:52720766-52725372		2.0782	0.3161	37.5
LYSOSOME	CESC	CXorf40A|91966	+	A5	chrX:148623630-148626914:148623611-148626914		2.0025	0.0924	18.75
LYSOSOME	CESC	ZNF512|84450	+	A3	chr2:27806009-27820934:27806009-27820937		1.9908	-0.2331	31.25
LYSOSOME	CESC	MTMR10|54893	-	A3	chr15:31235275-31239333:31235194-31239333		1.9662	-0.2559	31.25
LYSOSOME	CESC	CLEC2D|29121	+	SE	chr12:9840682-9845424:9845527-9847356		1.9388	0.2161	37.5
LYSOSOME	CESC	RIPK2|8767	+	SE	chr8:90770461-90775057:90775210-90777569		1.9375	-2e-04	18.75
LYSOSOME	CESC	GPBAR1|151306	+	A3	chr2:219125939-219126782:219125939-219127403		1.8915	-0.1364	43.75
LYSOSOME	CESC	AKNA|80709	-	SE	chr9:117139812-117143340:117143726-117156637		1.7874	-0.0697	43.75
LYSOSOME	CESC	IRF7|3665	-	MX	chr11:613865-613951:614037-614476:613865-614174:614399-614476		1.7455	0.1226	31.25
LYSOSOME	CESC	HAT1|8520	+	SE	chr2:172803303-172809399:172809519-172821859		1.7367	0.0666	18.75
LYSOSOME	CESC	RPAIN|84268	+	MX	chr17:5329402-5329556:5329619-5335862:5329402-5331391:5331531-5335862		1.7366	0.2231	62.5
LYSOSOME	CESC	GIYD2|79008	+	SE	chr16:29466770-29466865:29467206-29468953		1.7365	0.1242	37.5
LYSOSOME	CESC	MMP11|4320	+	A3	chr22:24123596-24123975:24123596-24124555		1.7365	0.079	37.5
LYSOSOME	CESC	PTPRB|5787	-	SE	chr12:70965867-70970162:70970425-70974816		1.7362	-0.0224	18.75
LYSOSOME	CESC	QKI|9444	+	A3	chr6:163984751-163985699:163984751-163986978		1.7318	-0.0136	12.5
LYSOSOME	CESC	NUP214|8021	+	A3	chr9:134020141-134021516:134020141-134021549		1.7311	-0.0675	25
LYSOSOME	CESC	TSGA14|95681	-	SE	chr7:130038880-130039880:130040095-130040548		1.7256	-0.0801	31.25
LYSOSOME	CESC	HAP1|9001	-	SE	chr17:39883396-39884014:39884088-39884453		1.7061	-0.0885	31.25
LYSOSOME	CESC	CDK20|23552	-	SE	chr9:90584834-90585483:90585545-90585691		1.6895	0.0617	37.5
LYSOSOME	CESC	TOE1|114034	+	A3	chr1:45808315-45808407:45808315-45808515		1.684	-0.0675	31.25
LYSOSOME	CESC	BHLHB9|80823	+	A3	chrX:101976019-102002745:101976019-102002761		1.6793	-0.1282	43.75
LYSOSOME	CESC	HPGD|3248	-	SE	chr4:175413245-175414302:175414465-175416699		1.6792	0.1483	31.25
LYSOSOME	CESC	RBM19|9904	-	RI	chr12:114259860:114260451-114261014:114261126		1.671	-0.1029	37.5
