# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PROTEASOME_DEGRADATION	LUSC	KIAA0895L|653319	-	SE	chr16:67210878-67211913:67212000-67212102		4.9181	-0.5649	81.25
PROTEASOME_DEGRADATION	LUSC	PLCG1|5335	+	RI	chr20:39802060:39802174-39802292:39802453		4.3627	0.5544	81.25
PROTEASOME_DEGRADATION	LUSC	HAT1|8520	+	MX	chr2:172782151-172803228:172803303-172821859:172782151-172809399:172809519-172821859		4.1215	-0.463	68.75
PROTEASOME_DEGRADATION	LUSC	KIAA0895L|653319	-	SE	chr16:67210878-67211913:67212010-67212102		4.0121	-0.5425	68.75
PROTEASOME_DEGRADATION	LUSC	WSB1|26118	+	A3	chr17:25633908-25634770:25633908-25636126		3.9047	-0.4435	68.75
PROTEASOME_DEGRADATION	LUSC	NUMA1|4926	-	A5	chr11:71780957-71791366:71780957-71791504		3.8119	0.569	81.25
PROTEASOME_DEGRADATION	LUSC	TRIM22|10346	+	RI	chr11:5718478:5718573-5719545:5719775		3.6086	-0.3826	62.5
PROTEASOME_DEGRADATION	LUSC	NOTCH4|4855	-	SE	chr6:32163927-32164101:32164198-32164702		3.5639	-0.4969	87.5
PROTEASOME_DEGRADATION	LUSC	RPL15|6138	+	A5	chr3:23958786-23959341:23958730-23959341		3.523	0.4586	12.5
PROTEASOME_DEGRADATION	LUSC	COASY|80347	+	RI	chr17:40714092:40714237-40714951:40715340		3.5085	-0.5157	56.25
PROTEASOME_DEGRADATION	LUSC	PSMA4|5685	+	A5	chr15:78834987-78836532:78834561-78836532		3.4954	-0.5186	62.5
PROTEASOME_DEGRADATION	LUSC	HAX1|10456	+	RI	chr1:154245812:154246074-154246226:154246437		3.4686	-0.4237	68.75
PROTEASOME_DEGRADATION	LUSC	SIVA1|10572	+	A3	chr14:105219656-105221967:105219656-105222941		3.4571	-0.4591	50
PROTEASOME_DEGRADATION	LUSC	MRPL35|51318	+	RI	chr2:86437603:86437736-86439549:86440476		3.4396	-0.5301	68.75
PROTEASOME_DEGRADATION	LUSC	PFAS|5198	+	RI	chr17:8171851:8172174-8172272:8173808		3.4264	0.5554	68.75
PROTEASOME_DEGRADATION	LUSC	COL6A6|131873	+	SE	chr3:130363846-130367913:130368406-130377520		3.4034	-0.4371	37.5
PROTEASOME_DEGRADATION	LUSC	C10orf2|56652	+	A5	chr10:102749210-102749401:102747370-102749401		3.3934	-0.5359	62.5
PROTEASOME_DEGRADATION	LUSC	SFRS7|6432	-	SE	chr2:38975795-38976040:38976488-38976671		3.2914	-0.384	62.5
