# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026		4.8875	-0.6317	25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	XRCC3|7517	-	SE	chr14:104177904-104179212:104179305-104181761		3.5789	0.4112	62.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	CHEK1|1111	+	A5	chr11:125496537-125496644:125496470-125496644		3.3686	-0.3264	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	CIT|11113	-	A3	chr12:120156666-120158283:120156621-120158283		3.2009	0.3784	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	CIT|11113	-	A3	chr12:120128259-120135464:120128256-120135464		3.1981	0.3784	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	MKNK2|2872	-	A3	chr19:2039855-2040133:2037828-2040133		2.959	-0.498	75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	XRCC3|7517	-	SE	chr14:104177904-104179212:104179268-104181761		2.7972	0.3828	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	AURKB|9212	-	SE	chr17:8111158-8113495:8113567-8113848		2.6668	0.2353	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	LTBP4|8425	+	SE	chr19:41116563-41117058:41117300-41117765		2.6534	-0.4522	62.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	KIAA1274|27143	+	A3	chr10:72301290-72307062:72301290-72307066		2.55	-0.3528	62.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	HMGN1|3150	-	A3	chr21:40719409-40720218:40719404-40720218		2.5187	-0.4724	62.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061		2.5158	-0.3202	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	DEF8|54849	+	SE	chr16:90015222-90015825:90015921-90020651		2.5117	-0.3223	75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	SCUBE2|57758	-	SE	chr11:9052472-9055173:9055343-9068903		2.5054	0.179	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	EHMT2|10919	-	SE	chr6:31856524-31856746:31856847-31857005		2.4897	-0.2783	12.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	PQBP1|10084	+	A5	chrX:48755376-48755775:48755297-48755775		2.4574	-0.3739	68.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	SLCO4A1|28231	+	SE	chr20:61299262-61299364:61299536-61299829		2.4499	-0.2518	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	CIT|11113	-	A5	chr12:120221855-120221993:120221855-120222764		2.434	-0.3792	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	SACS|26278	-	A3	chr13:23915829-23927924:23903623-23927924		2.4279	-0.2707	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	KLHDC5|57542	+	SE	chr12:27944834-27950180:27950282-27950648		2.4126	0.4345	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	HMGN1|3150	-	A3	chr21:40719218-40719305:40717884-40719305		2.3988	-0.4724	62.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	ZNF720|124411	+	A5	chr16:31724769-31733947:31724756-31733947		2.3159	-0.29	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	COL6A3|1293	-	SE	chr2:238296827-238303230:238303847-238305370		2.3125	-0.4206	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	PLXNB3|5365	+	SE	chrX:153031035-153032328:153033368-153033704		2.2914	-0.3668	68.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	ENPP2|5168	-	A5	chr8:120592407-120594658:120592407-120594670		2.2829	-0.2895	81.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	PAFAH1B1|5048	+	SE	chr17:2577582-2579799:2579900-2583458		2.2801	0.3673	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	RIPK2|8767	+	SE	chr8:90770461-90775057:90775210-90777569		2.27	-0.3356	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		2.2559	-0.3481	75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	PLSCR3|57048	-	SE	chr17:7296271-7296463:7296683-7296786		2.2241	-0.3548	68.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		2.2158	-0.2464	62.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	ELN|2006	+	SE	chr7:73471043-73471970:73472026-73474216		2.2077	-0.4008	87.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	RAD54L|8438	+	RI	chr1:46713367:46713418-46714016:46714080		2.1887	-0.2435	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	C12orf48|55010	+	SE	chr12:102576405-102589090:102589225-102589729		2.1855	-0.2002	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	FRMD8|83786	+	SE	chr11:65156999-65161044:65161145-65161512		2.1821	-0.3642	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	MRPL33|9553	+	SE	chr2:27995559-27997291:27997397-28002300		2.1735	0.2451	25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	NLRP12|91662	-	SE	chr19:54299283-54301497:54301667-54304481		2.1521	-0.1276	6.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	PQBP1|10084	+	SE	chrX:48759319-48759496:48759794-48760009		2.1475	-0.3334	62.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	ROBO2|6092	+	SE	chr3:77572053-77576554:77576565-77595489		2.1404	-0.3391	18.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	FBLN2|2199	+	SE	chr3:13661331-13663275:13663415-13667945		2.1259	-0.4564	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	DNAH5|1767	-	A3	chr5:13919510-13920589:13919461-13920589		2.1188	0.4538	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	CHEK1|1111	+	SE	chr11:125496728-125497502:125497725-125499127		2.1156	0.3124	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	SUPT3H|8464	-	SE	chr6:44971529-44982538:44982628-44988283		2.1051	0.3979	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	C16orf13|84326	-	SE	chr16:684797-685281:685340-685612		2.0987	-0.3569	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	MEGF6|1953	-	SE	chr1:3413347-3413552:3413683-3413797		2.0885	-0.3756	62.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	NTAN1|123803	-	SE	chr16:15141777-15141854:15141956-15149748		2.0616	0.3212	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	TGM2|7052	-	SE	chr20:36779459-36784249:36784491-36789822		2.0497	-0.3664	62.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	SLC15A2|6565	+	SE	chr3:121616376-121630421:121630513-121631868		2.0388	-0.2768	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	SVEP1|79987	-	SE	chr9:113190038-113191091:113191182-113191423		2.0204	0.3045	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	CENPK|64105	-	A5	chr5:64850773-64857290:64850773-64857324		2.0076	0.0125	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	SLC25A35|399512	-	RI	chr17:8191082:8191750-8192892:8192961		2.0075	-0.1179	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	SELP|6403	-	A3	chr1:169558803-169559385:169558699-169559385		2.0068	0.0945	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	CBFA2T3|863	-	SE	chr16:88958893-88964486:88964560-88967912		2.0065	-0.0706	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	BCHE|590	-	SE	chr3:165504099-165547305:165548829-165555102		1.9867	-0.1604	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	SERPING1|710	+	SE	chr11:57365794-57367352:57367850-57369508		1.9845	-0.2136	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	SNRNP70|6625	+	SE	chr19:49604728-49605371:49606844-49607891		1.9838	-0.4014	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	MCM10|55388	+	A3	chr10:13214480-13214625:13214480-13214628		1.9815	0.2174	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	CUTA|51596	-	A5	chr6:33385472-33385736:33385472-33385864		1.9772	-0.3612	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	AKAP8|10270	-	SE	chr19:15479133-15479878:15480035-15480957		1.9738	-0.2221	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	CTNNB1|1499	+	RI	chr3:41280625:41280845-41281151:41281939		1.9722	-0.4075	25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	USF2|7392	+	SE	chr19:35760602-35760706:35760906-35761350		1.9671	-0.4239	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	PTK6|5753	-	A3	chr20:62166412-62168438:62165668-62168438		1.9636	-0.3239	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	NLRC5|84166	+	A3	chr16:57089006-57089345:57089006-57089348		1.9604	-0.3956	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	WIPI2|26100	+	SE	chr7:5230124-5232749:5232802-5239207		1.9461	0.2223	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	C2orf67|151050	-	SE	chr2:210894642-210896145:210896270-210905144		1.9444	-0.3332	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	GAS2L1|10634	+	A3	chr22:29706988-29707452:29706988-29708132		1.9385	-0.3118	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	PQBP1|10084	+	A3	chrX:48759319-48759510:48759319-48760009		1.9311	-0.432	75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	NCOR1|9611	-	A3	chr17:15938258-15942747:15938255-15942747		1.931	-0.2415	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	PTPRZ1|5803	+	SE	chr7:121671613-121674149:121674169-121674336		1.9291	0.1107	18.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	CIT|11113	-	SE	chr12:120204986-120208589:120208714-120210574		1.9226	0.3583	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUAD	ARFGEF1|10565	-	A5	chr8:68123850-68128825:68123850-68128843		1.9212	-0.2161	25
