# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PROTEIN_LOCALIZATION	STAD	FLNA|2316	-	A3	chrX:153578235-153578399:153578226-153578399		4.3832	-0.5761	50
PROTEIN_LOCALIZATION	STAD	C20orf112|140688	-	A3	chr20:31052937-31062404:31052920-31062404		4.2711	-0.5511	62.5
PROTEIN_LOCALIZATION	STAD	ATP5C1|509	+	SE	chr10:7844817-7848937:7848973-7849622		4.1789	0.5278	18.75
PROTEIN_LOCALIZATION	STAD	NUMA1|4926	-	A5	chr11:71780957-71791366:71780957-71791504		4.1462	0.5583	93.75
PROTEIN_LOCALIZATION	STAD	DTX3L|151636	+	SE	chr3:122284917-122287336:122288871-122289302		4.137	-0.4783	81.25
PROTEIN_LOCALIZATION	STAD	DST|667	-	SE	chr6:56325052-56327844:56327954-56328363		4.0148	-0.5386	12.5
PROTEIN_LOCALIZATION	STAD	MYO15B|80022	+	A3	chr17:73607739-73607967:73607739-73608076		3.9255	-0.4846	62.5
PROTEIN_LOCALIZATION	STAD	ATP11C|286410	-	SE	chrX:138811121-138819890:138819955-138820075		3.8349	0.5059	37.5
PROTEIN_LOCALIZATION	STAD	ESYT2|57488	-	SE	chr7:158542414-158545472:158545534-158552177		3.8324	0.5242	56.25
PROTEIN_LOCALIZATION	STAD	SLMAP|7871	+	SE	chr3:57908750-57911572:57911661-57913023		3.6828	-0.458	56.25
PROTEIN_LOCALIZATION	STAD	DST|667	-	SE	chr6:56330993-56333780:56333797-56334681		3.6784	-0.5177	50
PROTEIN_LOCALIZATION	STAD	SFRS11|9295	+	A3	chr1:70671463-70687295:70671463-70687298		3.6363	0.4429	68.75
PROTEIN_LOCALIZATION	STAD	LAMA2|3908	+	SE	chr6:129794497-129796535:129796546-129799838		3.4963	-0.2123	31.25
PROTEIN_LOCALIZATION	STAD	PRDM2|7799	+	SE	chr1:14057612-14059274:14059377-14068500		3.492	-0.4588	87.5
PROTEIN_LOCALIZATION	STAD	OCRL|4952	+	SE	chrX:128722990-128723822:128723933-128724123		3.4813	-0.525	56.25
PROTEIN_LOCALIZATION	STAD	DNMBP|23268	-	SE	chr10:101648710-101654318:101654418-101654703		3.4633	0.472	56.25
PROTEIN_LOCALIZATION	STAD	NIN|51199	-	SE	chr14:51196441-51197641:51197701-51202234		3.4623	0.4707	93.75
PROTEIN_LOCALIZATION	STAD	NCOA1|8648	+	SE	chr2:24981025-24985556:24985645-24990948		3.4539	-0.5128	62.5
PROTEIN_LOCALIZATION	STAD	DNMBP|23268	-	SE	chr10:101654807-101656024:101656154-101657843		3.4493	-0.472	75
PROTEIN_LOCALIZATION	STAD	ZNF720|124411	+	A3	chr16:31765221-31765776:31765221-31770678		3.4362	-0.507	87.5
PROTEIN_LOCALIZATION	STAD	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		3.4176	0.5192	68.75
