# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
COMPLEMENT_ACTIVATION	ESCA	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		4.1509	0.5371	62.5
COMPLEMENT_ACTIVATION	ESCA	CYBASC3|220002	-	A3	chr11:61117894-61118463:61117115-61118463		3.5025	0.589	75
COMPLEMENT_ACTIVATION	ESCA	PRMT2|3275	+	SE	chr21:48055675-48056351:48056459-48056808		2.8226	0.5862	43.75
COMPLEMENT_ACTIVATION	ESCA	FOLR2|2350	+	A5	chr11:71927969-71929605:71927963-71929605		2.802	0.3666	68.75
COMPLEMENT_ACTIVATION	ESCA	NF2|4771	+	SE	chr22:30077590-30079009:30079053-30090741		2.5513	-0.4444	75
COMPLEMENT_ACTIVATION	ESCA	LAG3|3902	+	RI	chr12:6886957:6887087-6887410:6887619		2.4643	-0.4508	81.25
COMPLEMENT_ACTIVATION	ESCA	RINL|126432	-	RI	chr19:39358474:39359806-39359887:39360050		2.4133	-0.3478	75
COMPLEMENT_ACTIVATION	ESCA	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		2.4013	-0.2463	81.25
COMPLEMENT_ACTIVATION	ESCA	LILRB3|11025	-	A3	chr19:54721346-54722230:54721343-54722230		2.3346	0.4357	87.5
COMPLEMENT_ACTIVATION	ESCA	TMC8|147138	+	A5	chr17:76128295-76128440:76128111-76128440		2.3196	-0.474	25
COMPLEMENT_ACTIVATION	ESCA	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		2.2826	0.4945	50
COMPLEMENT_ACTIVATION	ESCA	TLR4|7099	+	SE	chr9:120466843-120470477:120470596-120470841		2.2119	0.1588	50
COMPLEMENT_ACTIVATION	ESCA	IL10RA|3587	+	SE	chr11:117857249-117857399:117857528-117859097		2.1635	0.3232	43.75
COMPLEMENT_ACTIVATION	ESCA	SCG5|6447	+	A3	chr15:32972116-32976758:32972116-32976761		2.0711	0.142	50
COMPLEMENT_ACTIVATION	ESCA	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		2.0686	0.4308	93.75
COMPLEMENT_ACTIVATION	ESCA	MRVI1|10335	-	MX	chr11:10655618-10673572:10673729-10715083:10655618-10711812:10711916-10715083		1.9889	-0.403	25
COMPLEMENT_ACTIVATION	ESCA	FCHO1|23149	+	SE	chr19:17889693-17892040:17892152-17892261		1.9493	0.049	31.25
COMPLEMENT_ACTIVATION	ESCA	AFG3L1|172	+	A3	chr16:90039173-90044013:90039173-90044047		1.9379	-0.0365	31.25
COMPLEMENT_ACTIVATION	ESCA	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		1.9346	0.5221	50
COMPLEMENT_ACTIVATION	ESCA	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		1.9277	0.2531	87.5
COMPLEMENT_ACTIVATION	ESCA	PDCD1|5133	-	SE	chr2:242794135-242794350:242794505-242794773		1.9263	0.3743	43.75
COMPLEMENT_ACTIVATION	ESCA	SLC24A1|9187	+	SE	chr15:65943280-65944008:65944097-65944980		1.9162	-0.0064	56.25
COMPLEMENT_ACTIVATION	ESCA	CCL4|6351	+	SE	chr17:34431374-34431921:34432035-34432618		1.9152	0.0542	12.5
COMPLEMENT_ACTIVATION	ESCA	CEACAM21|90273	+	A3	chr19:42085981-42090700:42085981-42090703		1.9131	0.1722	37.5
COMPLEMENT_ACTIVATION	ESCA	SIGLEC10|89790	-	RI	chr19:51919152:51919421-51919564:51919611		1.9061	-0.2024	87.5
COMPLEMENT_ACTIVATION	ESCA	FGFR3|2261	+	MX	chr4:1803752-1804641:1804791-1806057:1803752-1805419:1805563-1806057		1.8944	-0.285	37.5
COMPLEMENT_ACTIVATION	ESCA	AOX1|316	+	SE	chr2:201474137-201476107:201476216-201477332		1.8928	0.4328	56.25
COMPLEMENT_ACTIVATION	ESCA	ENAH|55740	-	SE	chr1:225688772-225692693:225692755-225695653		1.8921	-0.2296	81.25
COMPLEMENT_ACTIVATION	ESCA	MRVI1|10335	-	MX	chr11:10653608-10655515:10655618-10711812:10653608-10673572:10673729-10711812		1.876	0.319	43.75
COMPLEMENT_ACTIVATION	ESCA	CD300LF|146722	-	A3	chr17:72699282-72700617:72699237-72700617		1.8748	0.2865	75
COMPLEMENT_ACTIVATION	ESCA	AOX1|316	+	SE	chr2:201480786-201485373:201485542-201485843		1.8097	0.3512	43.75
COMPLEMENT_ACTIVATION	ESCA	SIGLEC10|89790	-	SE	chr19:51917769-51918078:51918362-51918435		1.8089	0.2655	68.75
COMPLEMENT_ACTIVATION	ESCA	TNFSF13B|10673	+	SE	chr13:108922772-108939151:108939207-108955601		1.799	-0.0643	43.75
COMPLEMENT_ACTIVATION	ESCA	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977		1.7924	-0.1727	62.5
COMPLEMENT_ACTIVATION	ESCA	TRAT1|50852	+	SE	chr3:108541781-108549517:108549627-108557781		1.7836	0.447	56.25
COMPLEMENT_ACTIVATION	ESCA	SMTN|6525	+	SE	chr22:31495882-31496871:31497035-31500302		1.783	-0.3855	12.5
COMPLEMENT_ACTIVATION	ESCA	ZNF43|7594	-	SE	chr19:22000788-22001897:22002023-22018838		1.7783	0.2451	50
COMPLEMENT_ACTIVATION	ESCA	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		1.767	-0.5133	100
COMPLEMENT_ACTIVATION	ESCA	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		1.7496	-0.3295	93.75
COMPLEMENT_ACTIVATION	ESCA	RABL2A|11159	+	A3	chr2:114384977-114386127:114384977-114386131		1.7461	-0.1473	18.75
COMPLEMENT_ACTIVATION	ESCA	FNIP1|96459	-	SE	chr5:131044965-131046271:131046354-131052258		1.7453	-0.2779	75
COMPLEMENT_ACTIVATION	ESCA	LST1|7940	+	SE	chr6:31555510-31555726:31555743-31556295		1.7371	-0.2457	68.75
COMPLEMENT_ACTIVATION	ESCA	HSD11B1L|374875	+	SE	chr19:5681282-5684830:5684916-5686911		1.7369	0.0908	31.25
COMPLEMENT_ACTIVATION	ESCA	IDO1|3620	+	A5	chr8:39781109-39782240:39781105-39782240		1.7353	-0.071	37.5
COMPLEMENT_ACTIVATION	ESCA	SIGLEC7|27036	+	SE	chr19:51646059-51647663:51647941-51648169		1.7349	0.0743	62.5
COMPLEMENT_ACTIVATION	ESCA	ACP5|54	-	SE	chr19:11688494-11689400:11689472-11689659		1.702	0.0923	50
COMPLEMENT_ACTIVATION	ESCA	PDE4DIP|9659	-	A5	chr1:144881622-144882446:144881622-144882776		1.6997	-0.34	56.25
COMPLEMENT_ACTIVATION	ESCA	FLNA|2316	-	SE	chrX:153583440-153585619:153585642-153585802		1.6947	-0.4439	31.25
COMPLEMENT_ACTIVATION	ESCA	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		1.6947	0.4474	93.75
COMPLEMENT_ACTIVATION	ESCA	ERBB2IP|55914	+	SE	chr5:65350779-65370852:65371058-65372144		1.6886	-0.3879	56.25
COMPLEMENT_ACTIVATION	ESCA	PDZD4|57595	-	A5	chrX:153072824-153073797:153072824-153073815		1.6789	-0.2831	31.25
COMPLEMENT_ACTIVATION	ESCA	ADD3|120	+	A5	chr10:111765909-111860383:111765905-111860383		1.6741	0.3631	62.5
COMPLEMENT_ACTIVATION	ESCA	ANK2|287	+	SE	chr4:114290961-114293689:114293781-114294246		1.6684	0.0347	43.75
COMPLEMENT_ACTIVATION	ESCA	CCDC125|202243	-	A3	chr5:68609873-68616064:68609870-68616064		1.6528	-0.0791	43.75
