# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
FOCAL_ADHESION_PATHWAY	COAD	BOC|91653	+	RI	chr3:113005522:113005583-113005869:113006303		4.3179	0.7381	75
FOCAL_ADHESION_PATHWAY	COAD	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		4.201	0.6883	75
FOCAL_ADHESION_PATHWAY	COAD	NIN|51199	-	A5	chr14:51221350-51221460:51221350-51221463		4.0956	0.682	75
FOCAL_ADHESION_PATHWAY	COAD	SVEP1|79987	-	SE	chr9:113190038-113191091:113191182-113191423		3.5352	-0.6663	68.75
FOCAL_ADHESION_PATHWAY	COAD	DMD|1756	-	SE	chrX:31140047-31144759:31144790-31152219		3.4191	0.5981	50
FOCAL_ADHESION_PATHWAY	COAD	NIN|51199	-	SE	chr14:51196441-51197641:51197701-51202234		3.3938	-0.6903	87.5
FOCAL_ADHESION_PATHWAY	COAD	NOTCH4|4855	-	SE	chr6:32163927-32164101:32164198-32164702		3.3719	0.6892	68.75
FOCAL_ADHESION_PATHWAY	COAD	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		3.316	-0.6289	50
FOCAL_ADHESION_PATHWAY	COAD	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		3.215	0.6322	50
FOCAL_ADHESION_PATHWAY	COAD	ABI3BP|25890	-	SE	chr3:100513847-100515253:100515312-100523636		3.1073	0.6504	81.25
FOCAL_ADHESION_PATHWAY	COAD	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001	Observed	3.027	-0.6618	100
FOCAL_ADHESION_PATHWAY	COAD	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		2.9305	0.5449	62.5
FOCAL_ADHESION_PATHWAY	COAD	OSMR|9180	+	SE	chr5:38925473-38931985:38932066-38932565		2.8826	0.5779	50
FOCAL_ADHESION_PATHWAY	COAD	RNF123|63891	+	A5	chr3:49750325-49750946:49750089-49750946		2.766	-0.6298	50
FOCAL_ADHESION_PATHWAY	COAD	SMC2|10592	+	SE	chr9:106896856-106898149:106898341-106900299		2.75	-0.6634	56.25
FOCAL_ADHESION_PATHWAY	COAD	ARHGEF10|9639	+	SE	chr8:1873570-1874543:1874629-1876593		2.7462	0.6241	81.25
FOCAL_ADHESION_PATHWAY	COAD	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977		2.6422	-0.6128	68.75
FOCAL_ADHESION_PATHWAY	COAD	SYNC|81493	-	SE	chr1:33147461-33149611:33149690-33149859		2.6374	0.4503	62.5
FOCAL_ADHESION_PATHWAY	COAD	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225		2.6246	0.7274	75
FOCAL_ADHESION_PATHWAY	COAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		2.5525	0.6979	68.75
FOCAL_ADHESION_PATHWAY	COAD	ATP13A1|57130	-	A3	chr19:19764953-19765352:19764883-19765352		2.5271	0.5783	31.25
