# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
CELL_CYCLE_PATHWAY	LIHC	CDC25C|995	-	SE	chr5:137664218-137665242:137665336-137666676	Observed	2.4936	0.2171	68.75
CELL_CYCLE_PATHWAY	LIHC	MYBL2|4605	+	SE	chr20:42302539-42310424:42310495-42311434	Observed	1.7434	0.376	62.5
CELL_CYCLE_PATHWAY	LIHC	CDC25C|995	-	A3	chr5:137666907-137667284:137666903-137667284	Observed	1.2933	-0.1442	87.5
CELL_CYCLE_PATHWAY	LIHC	FARP2|9855	+	A3	chr2:242403395-242404875:242403395-242405089	Observed	1.1699	-0.0431	56.25
CELL_CYCLE_PATHWAY	LIHC	AURKA|6790	-	A5	chr20:54963258-54967210:54963258-54967224	Observed	1.001	0.1733	62.5
CELL_CYCLE_PATHWAY	LIHC	AURKA|6790	-	A5	chr20:54965721-54966999:54965721-54967210	Observed	1.001	0.1045	56.25
CELL_CYCLE_PATHWAY	LIHC	BRCA1|672	-	A3	chr17:41251897-41256139:41251894-41256139	Observed	1.001	0.1584	56.25
CELL_CYCLE_PATHWAY	LIHC	BRCA1|672	-	A5	chr17:41243049-41243452:41243049-41246761	Observed	1.001	0.0121	62.5
CELL_CYCLE_PATHWAY	LIHC	C2|717	+	MX	chr6:31901560-31901644:31901742-31905096:31901560-31903700:31903838-31905096	Observed	1.001	0.0997	68.75
CELL_CYCLE_PATHWAY	LIHC	IFI27|3429	+	SE	chr14:94577143-94577971:94578119-94581197	Observed	1.001	-0.0058	56.25
CELL_CYCLE_PATHWAY	LIHC	AURKA|6790	-	A5	chr20:54965721-54966999:54965721-54967224	Observed	0.4118	0.2075	62.5
