# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MISMATCH_REPAIR_PATHWAY	BLCA	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026		5.8937	-0.6464	25
MISMATCH_REPAIR_PATHWAY	BLCA	C17orf56|146705	-	SE	chr17:79205821-79206115:79206318-79207232		4.4417	-0.506	62.5
MISMATCH_REPAIR_PATHWAY	BLCA	HMGB1|3146	-	SE	chr13:31035670-31035776:31035825-31036675		4.2328	-0.4573	31.25
MISMATCH_REPAIR_PATHWAY	BLCA	NUP62|23636	-	SE	chr19:50413141-50430951:50431072-50432583		3.7188	-0.3278	43.75
MISMATCH_REPAIR_PATHWAY	BLCA	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		3.7008	-0.4067	37.5
MISMATCH_REPAIR_PATHWAY	BLCA	ILK|3611	+	A3	chr11:6625052-6625410:6625052-6625456		3.6692	0.3711	6.25
MISMATCH_REPAIR_PATHWAY	BLCA	TMEM205|374882	-	RI	chr19:11456196:11456413-11456803:11456981		3.5265	-0.412	25
MISMATCH_REPAIR_PATHWAY	BLCA	CHEK1|1111	+	SE	chr11:125496728-125497502:125497725-125499127		3.4342	0.3655	50
MISMATCH_REPAIR_PATHWAY	BLCA	SMARCC2|6601	-	SE	chr12:56566488-56566721:56566813-56567480		3.2158	-0.3353	43.75
MISMATCH_REPAIR_PATHWAY	BLCA	FDPS|2224	+	A5	chr1:155278867-155279855:155278756-155279855		3.1451	0.3397	56.25
