# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
HISTONE_MODIFICATIONS	LUAD	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		4.7835	0.395	62.5
HISTONE_MODIFICATIONS	LUAD	GTF3C1|2975	-	A5	chr16:27474913-27475641:27474913-27475716		4.3851	-0.3395	37.5
HISTONE_MODIFICATIONS	LUAD	FN1|2335	-	SE	chr2:216236738-216236832:216237098-216238045	Observed	4.3348	0.3695	50
HISTONE_MODIFICATIONS	LUAD	TRAPPC6A|79090	-	A5	chr19:45668452-45681351:45668452-45681393		3.7278	0.3603	43.75
HISTONE_MODIFICATIONS	LUAD	OBSCN|84033	+	A3	chr1:228526727-228527643:228526727-228527646		3.3491	-0.3334	56.25
HISTONE_MODIFICATIONS	LUAD	BRCA1|672	-	A3	chr17:41228631-41234421:41228628-41234421		3.2697	-0.2262	31.25
HISTONE_MODIFICATIONS	LUAD	CCDC17|149483	-	A5	chr1:46086105-46086200:46086105-46086395		3.238	0.3109	37.5
HISTONE_MODIFICATIONS	LUAD	CCDC50|152137	+	SE	chr3:191087825-191092851:191093378-191097948		3.1941	0.2625	62.5
HISTONE_MODIFICATIONS	LUAD	FMNL3|91010	-	SE	chr12:50050973-50052225:50052377-50055749		3.0905	0.259	50
HISTONE_MODIFICATIONS	LUAD	UACA|55075	-	SE	chr15:70968930-70969447:70969479-70970438		3.0904	-0.3249	37.5
HISTONE_MODIFICATIONS	LUAD	KMO|8564	+	A3	chr1:241752132-241753314:241752132-241753353		3.065	0.3448	50
HISTONE_MODIFICATIONS	LUAD	PFKM|5213	+	A5	chr12:48529166-48531504:48528821-48531504		2.9977	0.3629	68.75
