# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
AR_PATHWAY	KIRP	NBR1|4077	+	SE	chr17:41327918-41329953:41330015-41331411		4.4566	0.6279	12.5
AR_PATHWAY	KIRP	TSNARE1|203062	-	A3	chr8:143396453-143399905:143396450-143399905		4.158	0.6315	25
AR_PATHWAY	KIRP	SNED1|25992	+	SE	chr2:242021779-242026807:242026890-242027780		3.3331	0.5703	37.5
AR_PATHWAY	KIRP	ABCC10|89845	+	RI	chr6:43405672:43405751-43406362:43406533		3.2791	-0.6507	62.5
AR_PATHWAY	KIRP	USP36|57602	-	A3	chr17:76793984-76794482:76793961-76794482		3.1437	-0.6841	43.75
AR_PATHWAY	KIRP	PRPF3|9129	+	SE	chr1:150298339-150300779:150300925-150305155		3.0877	0.6189	50
AR_PATHWAY	KIRP	NFIA|4774	+	SE	chr1:61872399-61905123:61905190-61920975		2.9841	-0.6614	62.5
AR_PATHWAY	KIRP	TSC1|7248	-	SE	chr9:135798879-135800974:135801126-135802588		2.9548	0.6337	62.5
AR_PATHWAY	KIRP	SUV39H1|6839	+	RI	chrX:48558482:48558690-48558960:48559144		2.9416	0.5998	43.75
AR_PATHWAY	KIRP	DCAF8|50717	-	A5	chr1:160231148-160231907:160231148-160232239		2.9318	0.607	56.25
AR_PATHWAY	KIRP	CBLB|868	-	SE	chr3:105397415-105400323:105400454-105400568		2.9279	0.6491	56.25
AR_PATHWAY	KIRP	ARL6|84100	+	SE	chr3:97483821-97484835:97484933-97486925		2.848	-0.6795	37.5
AR_PATHWAY	KIRP	RBPMS|11030	+	SE	chr8:30361953-30395095:30395240-30402011		2.8467	-0.5459	6.25
AR_PATHWAY	KIRP	TTC18|118491	-	A5	chr10:75038095-75050984:75038095-75051108		2.8435	0.5858	37.5
AR_PATHWAY	KIRP	SNED1|25992	+	SE	chr2:242011293-242012681:242012779-242021092		2.798	0.5745	56.25
AR_PATHWAY	KIRP	KIAA0195|9772	+	RI	chr17:73494525:73494619-73494710:73494803		2.7843	-0.6302	31.25
AR_PATHWAY	KIRP	SEMA4G|57715	+	A3	chr10:102740986-102743062:102740986-102744247		2.7732	0.6192	37.5
AR_PATHWAY	KIRP	ABCC10|89845	+	RI	chr6:43410708:43410897-43411671:43411748		2.7403	-0.6507	62.5
