# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PROTEASOME_DEGRADATION	BLCA	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026		7.2221	-0.6443	18.75
PROTEASOME_DEGRADATION	BLCA	SNRNP70|6625	+	SE	chr19:49604728-49605371:49606844-49607891		5.8244	-0.6342	68.75
PROTEASOME_DEGRADATION	BLCA	NXF1|10482	-	RI	chr11:62566011:62566047-62567849:62567958		5.5243	-0.6084	43.75
PROTEASOME_DEGRADATION	BLCA	MSTO1|55154	+	RI	chr1:155581480:155581618-155581774:155581891		5.3733	-0.5664	25
PROTEASOME_DEGRADATION	BLCA	METT11D1|64745	+	A3	chr14:21458757-21460251:21458757-21460283		4.8739	-0.4575	43.75
PROTEASOME_DEGRADATION	BLCA	C17orf56|146705	-	SE	chr17:79205821-79206115:79206318-79207232		4.6423	-0.5122	75
PROTEASOME_DEGRADATION	BLCA	TTLL3|26140	+	SE	chr3:9859443-9860239:9860604-9862230		4.5903	-0.5183	68.75
PROTEASOME_DEGRADATION	BLCA	SFRS6|6431	+	SE	chr20:42087149-42087793:42088060-42088411		4.4927	-0.4826	62.5
PROTEASOME_DEGRADATION	BLCA	ACAA1|30	-	MX	chr3:38169357-38170781:38170879-38173417:38169357-38173087:38173129-38173417		4.454	-0.4646	75
PROTEASOME_DEGRADATION	BLCA	SFRS7|6432	-	SE	chr2:38975795-38976040:38976488-38976671		4.3938	-0.4701	62.5
PROTEASOME_DEGRADATION	BLCA	HLA-F|3134	+	SE	chr6:29693340-29693788:29693820-29694660		4.3497	0.4515	12.5
PROTEASOME_DEGRADATION	BLCA	LOC339290|339290	+	A3	chr18:5239048-5240186:5239048-5241698		4.308	-0.565	50
PROTEASOME_DEGRADATION	BLCA	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		4.2733	0.4414	81.25
