# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		5.2429	0.521	87.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		5.0066	-0.5343	100
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		4.8208	0.5203	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		4.7075	0.4794	93.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		4.3761	0.521	75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	PCOLCE|5118	+	SE	chr7:100201161-100201582:100201840-100202714		4.2654	0.5374	18.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		4.0021	-0.5435	100
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		3.6008	0.4171	87.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		3.2743	-0.3191	100
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	ABI1|10006	-	SE	chr10:27040712-27047991:27048167-27054147		3.2708	-0.3171	56.25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		3.1541	-0.4033	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	EPOR|2057	-	SE	chr19:11492781-11493523:11493625-11493773		3.1322	-0.4197	31.25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	ACTN1|87	-	A3	chr14:69345786-69346679:69345240-69346679		2.9742	-0.394	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	AKAP8L|26993	-	SE	chr19:15508666-15509441:15509577-15510113		2.898	-0.3191	12.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	CSF1|1435	+	A3	chr1:110464616-110465788:110464616-110466682		2.84	0.3862	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	PIK3R6|146850	-	A5	chr17:8741188-8741613:8741188-8741881		2.7768	-0.1674	12.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	SPIB|6689	+	RI	chr19:50931295:50931797-50931798:50932249		2.7076	-0.3073	31.25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	AP1G2|8906	-	A3	chr14:24033430-24033542:24033368-24033542		2.6749	-0.4128	25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	GPX8|493869	+	SE	chr5:54456224-54456822:54457083-54459883		2.6688	0.2634	18.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	AP1G2|8906	-	A5	chr14:24035628-24036320:24035628-24036446		2.6614	-0.3945	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	PDLIM4|8572	+	RI	chr5:131606996:131607159-131607484:131607601		2.6553	-0.2675	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	PDLIM7|9260	-	A3	chr5:176917594-176917871:176916833-176917871		2.5883	-0.4412	12.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	SERPINA3|12	+	A3	chr14:95078780-95079684:95078780-95080771		2.5709	0.3296	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	ITGBL1|9358	+	SE	chr13:102105282-102106234:102106451-102220050		2.5544	0.4137	93.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	WNK4|65266	+	SE	chr17:40939560-40939796:40939917-40940148		2.5201	0.3452	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	PRELP|5549	+	A5	chr1:203445066-203452297:203445056-203452297		2.4943	0.0673	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	NTM|50863	+	SE	chr11:132184597-132200047:132200079-132204940		2.4824	0.3273	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	ABI1|10006	-	SE	chr10:27040712-27047991:27048164-27054147		2.4432	-0.1306	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	MFAP4|4239	-	A5	chr17:19290151-19290354:19290151-19290463		2.4384	0.2801	18.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	POM121|9883	+	SE	chr7:72361649-72384302:72384365-72396800		2.3992	-0.4507	6.25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	PAMR1|25891	-	SE	chr11:35463241-35473436:35473486-35489549		2.3848	0.1906	25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	FAM113A|64773	-	RI	chr20:2819490:2819575-2819838:2819917		2.3675	-0.4589	75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	POSTN|10631	-	SE	chr13:38143958-38144717:38144806-38151890		2.3533	-0.3428	18.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	MYL5|4636	+	A3	chr4:669998-672447:669998-672455		2.3147	0.3047	25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	HAPLN3|145864	-	SE	chr15:89422500-89422649:89423841-89424588		2.3041	-0.4131	18.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	TCEA2|6919	+	RI	chr20:62701118:62701154-62701590:62701767		2.2967	-0.3557	56.25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	TMX3|54495	-	SE	chr18:66365268-66367642:66367722-66368982		2.2745	0.1842	6.25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	EFEMP1|2202	-	SE	chr2:56149582-56150034:56150074-56150846		2.2702	0.3466	75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	AP1G2|8906	-	A5	chr14:24034910-24035025:24034910-24035273		2.2433	0.423	50
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	RAB37|326624	+	SE	chr17:72733504-72736907:72737017-72738393		2.2225	0.1841	18.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	C22orf25|128989	+	SE	chr22:20040107-20043466:20043536-20049053		2.217	-0.2827	50
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	EPOR|2057	-	A5	chr19:11492781-11493523:11492781-11493773		2.2002	-0.4081	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	CLCNKA|1187	+	SE	chr1:16350423-16351258:16351386-16352603		2.1816	-0.2087	18.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	C19orf60|55049	+	RI	chr19:18699805:18699887-18700289:18700493		2.1801	-0.3068	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	NFASC|23114	+	SE	chr1:204913534-204919685:204919702-204921139	Observed	2.1744	0.3825	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	FREM1|158326	-	A3	chr9:14746481-14746921:14746466-14746921		2.1534	0.0224	25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	CREB1|1385	+	SE	chr2:208425096-208425843:208425884-208432187		2.1437	0.1374	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	PIK3R6|146850	-	RI	chr17:8725164:8725215-8725218:8725253		2.1207	-0.1674	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	NOMO2|283820	-	RI	chr16:18511183:18511366-18511698:18511825		2.1045	-0.0763	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	PGF|5228	-	SE	chr14:75409436-75412916:75412978-75413082		2.0983	0.1761	50
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	ZNF334|55713	-	MX	chr20:45133379-45134946:45135097-45140721:45133379-45138244:45138390-45140721		2.0932	-0.0141	18.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	ITGBL1|9358	+	SE	chr13:102106451-102220050:102220196-102227775		2.0745	0.3947	75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	ATP7B|540	-	SE	chr13:52518427-52520420:52520614-52523798		2.0682	-0.0498	50
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	PSRC1|84722	-	RI	chr1:109823399:109823668-109823759:109823873		2.0657	-0.2854	25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	TBC1D23|55773	+	SE	chr3:100029386-100030677:100030721-100034943		2.0625	0.3241	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	LAMA4|3910	-	A5	chr6:112575493-112575644:112575493-112575661		2.0513	0.0865	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	SLC22A11|55867	+	SE	chr11:64329907-64331780:64331900-64332694		2.0435	-0.169	6.25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	NDUFV3|4731	+	SE	chr21:44317157-44323292:44324386-44328974		2.0347	0.1166	75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		2.0268	0.3661	50
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	C19orf60|55049	+	RI	chr19:18699805:18699887-18700223:18700493		2.0189	-0.35	31.25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	CLEC18B|497190	-	SE	chr16:74447574-74451957:74452196-74454399		2.014	0.3192	12.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	KIAA1217|56243	+	SE	chr10:24822166-24825703:24825822-24833910		2.0082	0.2927	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	OSBPL3|26031	-	SE	chr7:24901388-24902819:24902911-24903115		2.0037	-0.1282	31.25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	MST1P2|11209	+	A3	chr1:16973204-16973282:16973204-16973475		2.0031	0.0242	25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	PAMR1|25891	-	RI	chr11:35453378:35453796-35453798:35454440		1.9979	-0.2685	50
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	IFNAR2|3455	+	A3	chr21:34602521-34614145:34602521-34614191		1.9964	-0.0798	25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	RUSC1|23623	+	A5	chr1:155294378-155294636:155294335-155294636		1.9845	0.3336	12.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	ABCC5|10057	-	SE	chr3:183702682-183703092:183703166-183705558		1.9617	0.2793	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	SLC35A2|7355	-	A5	chrX:48767273-48768784:48767273-48768823		1.9608	0.053	56.25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	TMEM205|374882	-	RI	chr19:11456196:11456413-11456803:11456981		1.9597	-0.3541	25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	SMARCC2|6601	-	SE	chr12:56557549-56558087:56558152-56558432		1.9504	-0.2339	75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	WIPI2|26100	+	SE	chr7:5230124-5232749:5232802-5239207		1.9381	0.1149	31.25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	PACRGL|133015	+	SE	chr4:20706437-20714411:20714545-20715055		1.9361	-0.0019	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	CCNDBP1|23582	+	SE	chr15:43485001-43486279:43486335-43486613		1.931	-0.2714	25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	TNFRSF25|8718	-	A5	chr1:6523030-6523125:6523030-6523132		1.9154	-0.1838	25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	TMEM91|641649	+	RI	chr19:41888677:41888826-41889791:41889985		1.9088	-0.2752	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	FBXO38|81545	+	A5	chr5:147807510-147812987:147807285-147812987		1.9059	-0.0671	18.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	TRAF3IP3|80342	+	SE	chr1:209949081-209950697:209950832-209951456		1.9054	0.2487	25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRP	EMILIN1|11117	+	A5	chr2:27306894-27307283:27306879-27307283		1.8979	-0.3248	62.5
