# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
COMPLEMENT_ACTIVATION	CESC	DERL3|91319	-	RI	chr22:24176691:24179149-24179251:24179341		6.496	-0.5094	68.75
COMPLEMENT_ACTIVATION	CESC	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		4.6419	0.4757	93.75
COMPLEMENT_ACTIVATION	CESC	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		4.5961	0.4989	93.75
COMPLEMENT_ACTIVATION	CESC	LOC96610|96610	+	A3	chr22:22658479-22661155:22658479-22661198		4.5297	0.4748	75
COMPLEMENT_ACTIVATION	CESC	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		3.8084	-0.4961	100
COMPLEMENT_ACTIVATION	CESC	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		3.7668	-0.4823	100
COMPLEMENT_ACTIVATION	CESC	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		3.7351	0.4757	81.25
COMPLEMENT_ACTIVATION	CESC	QKI|9444	+	RI	chr6:163984452:163984751-163986978:163991169		3.6234	-0.3661	37.5
COMPLEMENT_ACTIVATION	CESC	DNM2|1785	+	SE	chr19:10916643-10919245:10919256-10922940		3.3361	-0.2986	56.25
COMPLEMENT_ACTIVATION	CESC	TTN|7273	-	SE	chr2:179392034-179392173:179392475-179393001		3.282	-0.4196	87.5
COMPLEMENT_ACTIVATION	CESC	CCDC88B|283234	+	A5	chr11:64110802-64110979:64110797-64110979		3.1248	-0.4242	93.75
COMPLEMENT_ACTIVATION	CESC	LILRB1|10859	+	A3	chr19:55147060-55147945:55147060-55147948		3.0886	0.2246	93.75
COMPLEMENT_ACTIVATION	CESC	ATXN2L|11273	+	SE	chr16:28847497-28847647:28847811-28848049		3.0843	0.3318	50
COMPLEMENT_ACTIVATION	CESC	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785		2.9343	0.426	87.5
COMPLEMENT_ACTIVATION	CESC	ZNF512|84450	+	A3	chr2:27806009-27820934:27806009-27820937		2.8548	-0.2536	25
COMPLEMENT_ACTIVATION	CESC	SLC46A3|283537	-	RI	chr13:29274220:29275093-29275638:29275718		2.8519	-0.2171	18.75
COMPLEMENT_ACTIVATION	CESC	QKI|9444	+	RI	chr6:163984452:163984751-163985699:163991169		2.6972	-0.2897	50
COMPLEMENT_ACTIVATION	CESC	LST1|7940	+	A3	chr6:31555743-31556295:31555743-31556340		2.6272	-0.2394	56.25
COMPLEMENT_ACTIVATION	CESC	LILRB1|10859	+	A3	chr19:55145139-55145422:55145139-55145425		2.5757	0.2197	93.75
COMPLEMENT_ACTIVATION	CESC	LILRB2|10288	-	A3	chr19:54781454-54781743:54781451-54781743		2.5753	0.0291	87.5
COMPLEMENT_ACTIVATION	CESC	POLM|27434	-	A3	chr7:44113029-44113224:44112976-44113224		2.567	0.2697	31.25
COMPLEMENT_ACTIVATION	CESC	ENTPD1|953	+	SE	chr10:97515523-97582994:97583121-97599448		2.4992	0.3345	50
COMPLEMENT_ACTIVATION	CESC	OVGP1|5016	-	A3	chr1:111968127-111969059:111968061-111969059		2.4837	-0.2182	56.25
COMPLEMENT_ACTIVATION	CESC	CLEC2D|29121	+	SE	chr12:9845527-9845630:9845711-9847356		2.4797	0.3007	37.5
COMPLEMENT_ACTIVATION	CESC	FAM20A|54757	-	SE	chr17:66551884-66586265:66586490-66596404		2.466	0.1415	56.25
COMPLEMENT_ACTIVATION	CESC	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		2.4199	0.3512	68.75
COMPLEMENT_ACTIVATION	CESC	FMNL3|91010	-	SE	chr12:50050973-50052225:50052377-50055749		2.4176	-0.2916	75
COMPLEMENT_ACTIVATION	CESC	ZNF512|84450	+	SE	chr2:27806009-27806293:27806583-27820937		2.3978	-0.296	25
COMPLEMENT_ACTIVATION	CESC	SERPINA1|5265	-	A3	chr14:94855000-94856794:94854997-94856794		2.3586	0.1967	50
COMPLEMENT_ACTIVATION	CESC	FAM53A|152877	-	A5	chr4:1670632-1685421:1670632-1685685		2.3462	-0.1324	43.75
COMPLEMENT_ACTIVATION	CESC	SIGLEC1|6614	-	SE	chr20:3669266-3669802:3669874-3670247		2.2985	0.1311	81.25
COMPLEMENT_ACTIVATION	CESC	SCYL1|57410	+	A3	chr11:65305653-65305741:65305653-65305913		2.2976	-0.2969	50
COMPLEMENT_ACTIVATION	CESC	TMEM91|641649	+	RI	chr19:41888677:41888826-41889791:41889985		2.2852	-0.1784	56.25
COMPLEMENT_ACTIVATION	CESC	TTLL3|26140	+	RI	chr3:9859329:9859443-9862230:9862425		2.2232	-0.2276	56.25
COMPLEMENT_ACTIVATION	CESC	CCM2|83605	+	SE	chr7:45067396-45077852:45078025-45103517		2.2186	0.3435	75
COMPLEMENT_ACTIVATION	CESC	ARHGAP25|9938	+	A3	chr2:69015088-69034405:69015088-69034408		2.2153	0.1629	50
COMPLEMENT_ACTIVATION	CESC	ARHGAP33|115703	+	A3	chr19:36276385-36277315:36276385-36277798		2.2099	0.2559	31.25
COMPLEMENT_ACTIVATION	CESC	PACSIN2|11252	-	A5	chr22:43308163-43355769:43308163-43355805		2.2048	0.3026	25
COMPLEMENT_ACTIVATION	CESC	LILRB2|10288	-	A3	chr19:54780833-54781404:54780783-54781404		2.1791	0.0421	56.25
COMPLEMENT_ACTIVATION	CESC	RDH16|8608	-	A3	chr12:57348989-57350934:57348948-57350934		2.1592	-0.1199	6.25
COMPLEMENT_ACTIVATION	CESC	TSC2|7249	+	SE	chr16:2126586-2127599:2127727-2129033		2.1545	-0.2699	56.25
COMPLEMENT_ACTIVATION	CESC	MYB|4602	+	SE	chr6:135515056-135515494:135515598-135516886		2.1527	0.0085	43.75
COMPLEMENT_ACTIVATION	CESC	FCGR2B|2213	+	SE	chr1:161643863-161645047:161645103-161647118		2.1492	0.2173	81.25
COMPLEMENT_ACTIVATION	CESC	TXNRD2|10587	-	A3	chr22:19918621-19929224:19918618-19929224		2.1364	-0.0029	43.75
COMPLEMENT_ACTIVATION	CESC	CCDC88B|283234	+	A5	chr11:64121642-64122666:64121500-64122666		2.1261	0.2153	31.25
COMPLEMENT_ACTIVATION	CESC	RHCG|51458	-	A3	chr15:90015086-90015942:90014953-90015942		2.0542	-0.0164	12.5
COMPLEMENT_ACTIVATION	CESC	IL16|3603	+	A3	chr15:81589419-81591645:81589419-81591721		2.0528	0.3984	75
COMPLEMENT_ACTIVATION	CESC	ACTL6A|86	+	A5	chr3:179280905-179287612:179280761-179287612		2.0501	0.0723	31.25
COMPLEMENT_ACTIVATION	CESC	CCDC150|284992	+	RI	chr2:197593917:197594111-197594517:197594585		2.0318	-0.1915	62.5
COMPLEMENT_ACTIVATION	CESC	TRIM31|11074	-	RI	chr6:30070674:30071022-30071249:30071566		2.0314	-0.1775	25
COMPLEMENT_ACTIVATION	CESC	WLS|79971	-	A3	chr1:68659910-68697877:68659904-68697877		2.0296	-0.2592	18.75
COMPLEMENT_ACTIVATION	CESC	ADRBK2|157	+	SE	chr22:25961120-26000344:26000420-26040559		2.0278	-0.1308	31.25
COMPLEMENT_ACTIVATION	CESC	TRAF3IP3|80342	+	A3	chr1:209951518-209952660:209951518-209952776		2.0073	-0.3686	62.5
COMPLEMENT_ACTIVATION	CESC	CSF3R|1441	-	SE	chr1:36933822-36934757:36934858-36935253		2.0068	-0.0993	43.75
COMPLEMENT_ACTIVATION	CESC	THBS3|7059	-	A5	chr1:155175107-155175984:155175107-155175991		2.0028	-0.0399	31.25
COMPLEMENT_ACTIVATION	CESC	GSDMB|55876	-	SE	chr17:38062524-38063214:38063240-38065211		1.999	0.3352	43.75
COMPLEMENT_ACTIVATION	CESC	HSH2D|84941	+	A5	chr19:16264018-16265209:16264014-16265209		1.9952	-0.2067	56.25
COMPLEMENT_ACTIVATION	CESC	PODNL1|79883	-	SE	chr19:14046643-14046793:14046857-14047180		1.9925	-0.2241	31.25
COMPLEMENT_ACTIVATION	CESC	EPCAM|4072	+	A5	chr2:47596720-47600602:47596374-47600602		1.9861	0.0989	25
COMPLEMENT_ACTIVATION	CESC	TNIK|23043	-	SE	chr3:170819422-170824972:170824995-170825854		1.9671	-0.126	25
COMPLEMENT_ACTIVATION	CESC	CD40|958	+	SE	chr20:44751858-44755279:44755380-44756777		1.9669	0.1787	43.75
COMPLEMENT_ACTIVATION	CESC	LILRB3|11025	-	A3	chr19:54721346-54722230:54721343-54722230		1.9618	0.3211	87.5
COMPLEMENT_ACTIVATION	CESC	SPDYA|245711	+	SE	chr2:29033813-29037479:29037552-29038863		1.9529	-0.0981	12.5
COMPLEMENT_ACTIVATION	CESC	BID|637	-	SE	chr22:18226779-18232871:18232940-18257147		1.9506	0.1448	12.5
COMPLEMENT_ACTIVATION	CESC	SERPINA1|5265	-	SE	chr14:94849578-94854897:94855000-94856794		1.9503	0.2757	50
COMPLEMENT_ACTIVATION	CESC	ITGA7|3679	-	MX	chr12:56092701-56093654:56093773-56094683:56092701-56094046:56094177-56094683		1.9478	-0.1681	62.5
COMPLEMENT_ACTIVATION	CESC	TNK2|10188	-	SE	chr3:195595580-195596368:195596412-195596985		1.9471	0.232	31.25
COMPLEMENT_ACTIVATION	CESC	OBFC2A|64859	+	A3	chr2:192547321-192548016:192547321-192548455		1.9406	-0.2157	31.25
COMPLEMENT_ACTIVATION	CESC	ZNF35|7584	+	SE	chr3:44692751-44694049:44694193-44700193		1.9339	-0.2027	43.75
COMPLEMENT_ACTIVATION	CESC	FCRL5|83416	-	SE	chr1:157514872-157515978:157516070-157516733		1.9168	0.2472	25
COMPLEMENT_ACTIVATION	CESC	FAM156A|29057	-	SE	chrX:52977913-52984352:52984444-52985471		1.9163	0.0282	37.5
COMPLEMENT_ACTIVATION	CESC	HCST|10870	+	A3	chr19:36394805-36395022:36394805-36395025		1.9057	-0.0493	75
COMPLEMENT_ACTIVATION	CESC	NLRP7|199713	-	SE	chr19:55435240-55438973:55439143-55441867		1.9042	0.1599	12.5
COMPLEMENT_ACTIVATION	CESC	ZNF211|10520	+	SE	chr19:58146123-58151280:58151435-58152072		1.9038	0.0164	56.25
COMPLEMENT_ACTIVATION	CESC	FAM108A1|81926	-	RI	chr19:1876976:1877424-1877507:1877686		1.9028	-0.2375	37.5
COMPLEMENT_ACTIVATION	CESC	WHAMML2|440253	+	SE	chr15:28993021-28995052:28995173-28996634		1.9012	-0.0897	37.5
COMPLEMENT_ACTIVATION	CESC	PLEKHN1|84069	+	A3	chr1:906386-906457:906386-906493		1.8991	-0.2034	31.25
COMPLEMENT_ACTIVATION	CESC	PACRGL|133015	+	A5	chr4:20702410-20706089:20702201-20706089		1.8964	-0.1348	37.5
COMPLEMENT_ACTIVATION	CESC	GLB1L2|89944	+	SE	chr11:134234292-134236949:134237033-134237151		1.8962	0.2207	6.25
COMPLEMENT_ACTIVATION	CESC	MYO15B|80022	+	A3	chr17:73587327-73587682:73587327-73587697		1.8952	-0.0091	31.25
COMPLEMENT_ACTIVATION	CESC	LAT2|7462	+	SE	chr7:73635064-73635967:73636022-73638054		1.895	0.1112	68.75
COMPLEMENT_ACTIVATION	CESC	STAB1|23166	+	RI	chr3:52554658:52554714-52554820:52555021		1.8932	-0.3072	18.75
COMPLEMENT_ACTIVATION	CESC	INPP5D|3635	+	A3	chr2:233986967-233990455:233986967-233990458		1.8905	0.1385	62.5
COMPLEMENT_ACTIVATION	CESC	ZNF568|374900	+	SE	chr19:37408550-37413488:37413748-37416102		1.8893	0.1542	43.75
COMPLEMENT_ACTIVATION	CESC	PRRT2|112476	+	A5	chr16:29823672-29824311:29823644-29824311		1.8887	0.0645	25
COMPLEMENT_ACTIVATION	CESC	MTMR10|54893	-	A3	chr15:31235275-31239333:31235194-31239333		1.8886	-0.3004	37.5
COMPLEMENT_ACTIVATION	CESC	MTMR9L|339483	-	SE	chr1:32697785-32700305:32700415-32700553		1.8822	0.2434	50
COMPLEMENT_ACTIVATION	CESC	PRPF3|9129	+	SE	chr1:150298339-150300779:150300925-150305155		1.8751	-0.234	25
