# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
NONSENSE_MEDIATED_DECAY_NMD	PRAD	NAP1L1|4673	-	RI	chr12:76438672:76441498-76442201:76442244		3.6491	-0.6987	31.25
NONSENSE_MEDIATED_DECAY_NMD	PRAD	PLCG1|5335	+	RI	chr20:39802060:39802174-39802292:39802453		3.3847	0.6839	81.25
NONSENSE_MEDIATED_DECAY_NMD	PRAD	C14orf135|64430	+	SE	chr14:60592541-60600374:60600503-60600688		3.312	0.688	81.25
NONSENSE_MEDIATED_DECAY_NMD	PRAD	PKN1|5585	+	RI	chr19:14578377:14578453-14578530:14578605		3.2479	0.6382	56.25
NONSENSE_MEDIATED_DECAY_NMD	PRAD	PPRC1|23082	+	SE	chr10:103902855-103904007:103904064-103908129		3.1984	-0.6192	62.5
NONSENSE_MEDIATED_DECAY_NMD	PRAD	MYO9A|4649	-	SE	chr15:72122652-72139756:72139809-72141186		3.0784	0.6458	75
NONSENSE_MEDIATED_DECAY_NMD	PRAD	SMO|6608	+	RI	chr7:128851477:128851611-128851865:128853383		2.9996	0.7052	68.75
NONSENSE_MEDIATED_DECAY_NMD	PRAD	CROCC|9696	+	RI	chr1:17294698:17294913-17295611:17295835		2.9877	0.571	50
NONSENSE_MEDIATED_DECAY_NMD	PRAD	PLXNB1|5364	-	RI	chr3:48454478:48454578-48455079:48455227		2.9677	0.6565	56.25
NONSENSE_MEDIATED_DECAY_NMD	PRAD	DAB2IP|153090	+	A3	chr9:124533003-124534886:124533003-124534952		2.95	-0.67	37.5
