# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
NFKB_PATHWAY	PRAD	SHF|90525	-	SE	chr15:45464516-45465774:45465914-45467417		4.1484	-0.3404	37.5
NFKB_PATHWAY	PRAD	FHL2|2274	-	SE	chr2:105984196-106001322:106001398-106002818		3.695	0.3835	43.75
NFKB_PATHWAY	PRAD	SPIB|6689	+	RI	chr19:50931295:50931797-50931798:50932249		3.4568	-0.3684	62.5
NFKB_PATHWAY	PRAD	SH2D2A|9047	-	A3	chr1:156785886-156786467:156785855-156786467		3.4366	0.2318	43.75
NFKB_PATHWAY	PRAD	CCDC88B|283234	+	A5	chr11:64110802-64110979:64110797-64110979		3.4245	-0.2103	75
NFKB_PATHWAY	PRAD	GIT2|9815	-	SE	chr12:110377052-110383065:110383154-110385061		3.4202	0.4076	50
NFKB_PATHWAY	PRAD	INSR|3643	-	SE	chr19:7143101-7150508:7150543-7152737		3.3079	0.4296	50
NFKB_PATHWAY	PRAD	DMD|1756	-	SE	chrX:31140047-31144759:31144790-31152219		3.2924	0.2869	37.5
NFKB_PATHWAY	PRAD	NFATC4|4776	+	RI	chr14:24845500:24846084-24846844:24848808		3.1612	-0.3176	81.25
NFKB_PATHWAY	PRAD	OSBPL5|114879	-	A5	chr11:3140861-3141651:3140861-3141774		2.9936	0.4072	43.75
NFKB_PATHWAY	PRAD	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		2.9386	-0.2866	31.25
NFKB_PATHWAY	PRAD	BCL11A|53335	-	A5	chr2:60679801-60687817:60679801-60689417		2.9178	0.2899	56.25
NFKB_PATHWAY	PRAD	ICAM4|3386	+	A3	chr19:10398082-10398212:10398082-10398289		2.9134	0.1853	43.75
NFKB_PATHWAY	PRAD	CTSB|1508	-	MX	chr8:11710988-11715367:11715449-11725510:11710988-11718915:11718988-11725510		2.8883	0.265	43.75
NFKB_PATHWAY	PRAD	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		2.835	0.3607	81.25
NFKB_PATHWAY	PRAD	FAM49B|51571	-	SE	chr8:130915596-130916745:130916831-130983189		2.8049	-0.3479	12.5
NFKB_PATHWAY	PRAD	MUC5B|727897	+	RI	chr11:1275322:1275493-1275494:1275581		2.7937	0.0586	25
