# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
T_CELL_ACTIVATION	LIHC	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		7.936	0.6412	93.75
T_CELL_ACTIVATION	LIHC	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		7.3866	0.6412	93.75
T_CELL_ACTIVATION	LIHC	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		7.2234	0.6775	100
T_CELL_ACTIVATION	LIHC	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		7.0254	-0.5866	100
T_CELL_ACTIVATION	LIHC	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		6.9409	-0.554	100
T_CELL_ACTIVATION	LIHC	STK32C|282974	-	A3	chr10:134041693-134059404:134041632-134059404		5.663	-0.4755	37.5
T_CELL_ACTIVATION	LIHC	TRAF3IP3|80342	+	SE	chr1:209949081-209950697:209950832-209951456		5.2116	0.3049	68.75
T_CELL_ACTIVATION	LIHC	CD96|10225	+	A3	chr3:111343251-111356043:111343251-111356046		4.9768	-0.4303	81.25
T_CELL_ACTIVATION	LIHC	PSTPIP1|9051	+	SE	chr15:77324735-77325203:77325293-77327849		4.8977	0.345	81.25
T_CELL_ACTIVATION	LIHC	WDFY4|57705	+	A3	chr10:50174718-50177109:50174718-50177130		4.7755	0.1041	12.5
T_CELL_ACTIVATION	LIHC	TRAF3IP3|80342	+	A3	chr1:209951518-209952660:209951518-209952776		4.7242	-0.4765	81.25
T_CELL_ACTIVATION	LIHC	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		4.705	-0.4097	100
T_CELL_ACTIVATION	LIHC	LOC96610|96610	+	A3	chr22:22658479-22661155:22658479-22661198		4.4259	0.4461	81.25
T_CELL_ACTIVATION	LIHC	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		4.3954	-0.4471	100
T_CELL_ACTIVATION	LIHC	PRKCQ|5588	-	SE	chr10:6472900-6483855:6484043-6498636		4.2387	0.3003	56.25
T_CELL_ACTIVATION	LIHC	LY9|4063	+	SE	chr1:160793586-160793971:160794039-160797538		4.0076	0.4122	87.5
T_CELL_ACTIVATION	LIHC	LPXN|9404	-	SE	chr11:58322413-58331628:58331674-58338029		3.9415	0.3542	6.25
T_CELL_ACTIVATION	LIHC	LAG3|3902	+	RI	chr12:6886957:6887087-6887410:6887619		3.8141	-0.436	81.25
T_CELL_ACTIVATION	LIHC	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785		3.7895	0.4127	93.75
T_CELL_ACTIVATION	LIHC	ZBP1|81030	-	SE	chr20:56190636-56191300:56191524-56195318		3.7846	0.2748	81.25
T_CELL_ACTIVATION	LIHC	ITGAL|3683	+	A3	chr16:30515585-30516565:30515585-30516568		3.767	0.3469	93.75
T_CELL_ACTIVATION	LIHC	C17orf87|388325	-	A5	chr17:5124645-5126628:5124645-5126649		3.741	0.3572	87.5
T_CELL_ACTIVATION	LIHC	SLAMF6|114836	-	RI	chr1:160458878:160458960-160459988:160460026		3.7386	0.311	75
T_CELL_ACTIVATION	LIHC	GBP5|115362	-	SE	chr1:89735257-89736438:89736545-89738135		3.635	0.3815	93.75
T_CELL_ACTIVATION	LIHC	C18orf1|753	+	A5	chr18:13612773-13621116:13612063-13621116		3.5803	0.3716	50
T_CELL_ACTIVATION	LIHC	CARD9|64170	-	A3	chr9:139266546-139267984:139266422-139267984		3.5521	0.2197	43.75
T_CELL_ACTIVATION	LIHC	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		3.5165	-0.3636	93.75
T_CELL_ACTIVATION	LIHC	PYHIN1|149628	+	SE	chr1:158914832-158943437:158943561-158946491		3.5144	0.1814	81.25
T_CELL_ACTIVATION	LIHC	ARHGAP30|257106	-	SE	chr1:161024495-161026178:161026322-161029404		3.5077	0.4335	100
T_CELL_ACTIVATION	LIHC	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088	Observed	3.5017	0.4484	87.5
T_CELL_ACTIVATION	LIHC	ARHGAP30|257106	-	RI	chr1:161016733:161018145-161018779:161019124		3.4727	-0.2501	18.75
T_CELL_ACTIVATION	LIHC	TRIM22|10346	+	RI	chr11:5718478:5718573-5719557:5719775		3.447	0.3681	43.75
T_CELL_ACTIVATION	LIHC	CD37|951	+	A5	chr19:49838866-49838971:49838832-49838971		3.4444	0.3796	50
T_CELL_ACTIVATION	LIHC	FAM113A|64773	-	A3	chr20:2819728-2819838:2819575-2819838		3.4389	-0.2602	31.25
T_CELL_ACTIVATION	LIHC	TRIM22|10346	+	A3	chr11:5718573-5719545:5718573-5719557		3.3988	0.3705	62.5
T_CELL_ACTIVATION	LIHC	HSH2D|84941	+	A3	chr19:16263451-16263842:16263451-16263853		3.3464	0.4453	87.5
T_CELL_ACTIVATION	LIHC	TFEC|22797	-	SE	chr7:115596847-115614224:115614310-115624316		3.3113	0.426	100
T_CELL_ACTIVATION	LIHC	FYN|2534	-	SE	chr6:112017659-112020718:112020873-112024088	Observed	3.2914	0.4886	87.5
T_CELL_ACTIVATION	LIHC	CD79A|973	+	A5	chr19:42383359-42383605:42383245-42383605		3.1901	0.1367	68.75
T_CELL_ACTIVATION	LIHC	TBC1D10C|374403	+	A5	chr11:67174209-67174298:67174163-67174298		3.1786	-0.0984	68.75
T_CELL_ACTIVATION	LIHC	ARHGAP17|55114	-	SE	chr16:24946960-24950685:24950918-24953308		3.0925	-0.2779	62.5
T_CELL_ACTIVATION	LIHC	RLTPR|146206	+	RI	chr16:67681955:67682032-67682141:67682217		3.0783	0.1916	62.5
T_CELL_ACTIVATION	LIHC	SLC11A1|6556	+	RI	chr2:219251358:219251464-219251883:219251953		3.0378	-0.3596	50
T_CELL_ACTIVATION	LIHC	ARID5A|10865	+	SE	chr2:97213254-97215058:97215196-97215490		3.002	0.3939	50
T_CELL_ACTIVATION	LIHC	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		2.9954	0.4301	68.75
T_CELL_ACTIVATION	LIHC	DERL3|91319	-	RI	chr22:24176691:24179149-24179251:24179341		2.9516	-0.3255	62.5
T_CELL_ACTIVATION	LIHC	ARHGAP25|9938	+	A3	chr2:69015088-69034405:69015088-69034408		2.9292	0.2527	56.25
T_CELL_ACTIVATION	LIHC	SLC22A18AS|5003	-	SE	chr11:2909865-2920626:2921020-2923814		2.8828	0.1982	68.75
T_CELL_ACTIVATION	LIHC	IKZF1|10320	+	A5	chr7:50459561-50467616:50459531-50467616		2.8796	0.2908	81.25
T_CELL_ACTIVATION	LIHC	P2RX5|5026	-	SE	chr17:3593974-3594250:3594321-3594938		2.8615	-0.3697	68.75
T_CELL_ACTIVATION	LIHC	TNFRSF8|943	+	SE	chr1:12195670-12198289:12198493-12202344		2.8152	0.4318	25
T_CELL_ACTIVATION	LIHC	FGD3|89846	+	A3	chr9:95795155-95796823:95795155-95796826		2.7305	-0.3699	100
T_CELL_ACTIVATION	LIHC	SSPO|23145	+	A3	chr7:149522213-149522364:149522213-149522369		2.6137	-0.0409	31.25
T_CELL_ACTIVATION	LIHC	FCHO1|23149	+	SE	chr19:17889693-17892040:17892152-17892261		2.6057	0.2069	43.75
T_CELL_ACTIVATION	LIHC	MYO1G|64005	-	RI	chr7:45011714:45011824-45014773:45014826		2.5828	0.1295	12.5
T_CELL_ACTIVATION	LIHC	CCDC88B|283234	+	A3	chr11:64108224-64108379:64108224-64108388		2.5772	0.3317	50
T_CELL_ACTIVATION	LIHC	LST1|7940	+	A3	chr6:31555743-31556274:31555743-31556295		2.5696	0.3215	75
T_CELL_ACTIVATION	LIHC	CELF2|10659	+	SE	chr10:11299835-11308561:11308640-11312629		2.5425	-0.0738	6.25
T_CELL_ACTIVATION	LIHC	ARHGAP9|64333	-	SE	chr12:57866471-57867386:57867491-57867825		2.5371	-0.0479	56.25
T_CELL_ACTIVATION	LIHC	TTN|7273	-	SE	chr2:179392034-179392173:179392475-179393001		2.5245	-0.2613	93.75
T_CELL_ACTIVATION	LIHC	ENTPD1|953	+	SE	chr10:97515523-97582994:97583121-97599448		2.524	0.4753	62.5
T_CELL_ACTIVATION	LIHC	LST1|7940	+	A3	chr6:31555510-31555721:31555510-31555726		2.515	0.2997	68.75
T_CELL_ACTIVATION	LIHC	CD8A|925	-	RI	chr2:87017900:87018218-87018633:87018837	Observed	2.5084	0.186	50
T_CELL_ACTIVATION	LIHC	HCST|10870	+	A3	chr19:36394805-36395022:36394805-36395025		2.4958	-0.144	75
T_CELL_ACTIVATION	LIHC	LST1|7940	+	A3	chr6:31555743-31556295:31555743-31556296		2.4935	-0.2376	62.5
T_CELL_ACTIVATION	LIHC	COTL1|23406	-	SE	chr16:84623868-84651107:84651189-84651444		2.4905	0.2951	56.25
T_CELL_ACTIVATION	LIHC	CLEC7A|64581	-	SE	chr12:10271189-10275844:10275962-10277896		2.4873	0.2219	81.25
T_CELL_ACTIVATION	LIHC	LTB|4050	-	SE	chr6:31549407-31549591:31549636-31550033		2.4828	-0.0521	75
T_CELL_ACTIVATION	LIHC	BTK|695	-	A5	chrX:100604944-100608182:100604944-100608215		2.4815	-0.2222	43.75
T_CELL_ACTIVATION	LIHC	IL2RA|3559	-	SE	chr10:6061904-6063441:6063656-6066207	Observed	2.4791	0.2217	87.5
T_CELL_ACTIVATION	LIHC	RNF14|9604	+	SE	chr5:141354520-141357868:141358395-141359688		2.4546	-0.0828	6.25
