# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PRIMARY_IMMUNODEFICIENCY	KIRP	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		5.5116	-0.6297	100
PRIMARY_IMMUNODEFICIENCY	KIRP	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		5.1981	-0.6906	100
PRIMARY_IMMUNODEFICIENCY	KIRP	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		4.6003	0.6382	93.75
PRIMARY_IMMUNODEFICIENCY	KIRP	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		4.4019	0.6778	100
PRIMARY_IMMUNODEFICIENCY	KIRP	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		4.352	0.5653	93.75
PRIMARY_IMMUNODEFICIENCY	KIRP	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		4.0672	0.6382	93.75
PRIMARY_IMMUNODEFICIENCY	KIRP	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		3.8499	-0.5644	100
PRIMARY_IMMUNODEFICIENCY	KIRP	FGD3|89846	+	A3	chr9:95795155-95796823:95795155-95796826		3.1659	-0.3439	100
PRIMARY_IMMUNODEFICIENCY	KIRP	HLA-DMB|3109	-	MX	chr6:32902764-32903119:32903154-32904949:32902764-32903313:32903429-32904949		3.1368	0.3731	56.25
PRIMARY_IMMUNODEFICIENCY	KIRP	FAIM3|9214	-	SE	chr1:207086387-207087104:207087439-207095163		3.0464	0.1705	100
PRIMARY_IMMUNODEFICIENCY	KIRP	MBNL1|4154	+	SE	chr3:152165562-152173331:152173366-152174056		3.036	0.428	75
PRIMARY_IMMUNODEFICIENCY	KIRP	RLTPR|146206	+	RI	chr16:67681955:67682032-67682141:67682217		3.0164	0.2784	93.75
PRIMARY_IMMUNODEFICIENCY	KIRP	SLAMF1|6504	-	SE	chr1:160582370-160589566:160589639-160593886		3.0081	0.4201	93.75
PRIMARY_IMMUNODEFICIENCY	KIRP	LY9|4063	+	SE	chr1:160793586-160793971:160794039-160797538		2.9499	0.254	87.5
PRIMARY_IMMUNODEFICIENCY	KIRP	ABI1|10006	-	SE	chr10:27040712-27047991:27048164-27054147		2.8863	-0.4894	50
PRIMARY_IMMUNODEFICIENCY	KIRP	LAG3|3902	+	RI	chr12:6886957:6887087-6887410:6887619		2.8116	-0.3951	75
PRIMARY_IMMUNODEFICIENCY	KIRP	PSTPIP1|9051	+	A3	chr15:77317945-77320141:77317945-77320193		2.7969	-0.171	62.5
PRIMARY_IMMUNODEFICIENCY	KIRP	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		2.4953	0.2811	62.5
PRIMARY_IMMUNODEFICIENCY	KIRP	SLAMF7|57823	+	A5	chr1:160719922-160720094:160719883-160720094		2.4896	0.2625	56.25
PRIMARY_IMMUNODEFICIENCY	KIRP	SYK|6850	+	SE	chr9:93627379-93629413:93629481-93636486		2.4813	0.2951	62.5
PRIMARY_IMMUNODEFICIENCY	KIRP	PYHIN1|149628	+	A3	chr1:158906965-158908187:158906965-158908214		2.4593	0.3338	93.75
PRIMARY_IMMUNODEFICIENCY	KIRP	P2RX5|5026	-	SE	chr17:3593974-3594250:3594321-3594938		2.4477	-0.4689	75
PRIMARY_IMMUNODEFICIENCY	KIRP	FNBP1|23048	-	SE	chr9:132671278-132686123:132686305-132687239		2.4167	-0.2418	100
PRIMARY_IMMUNODEFICIENCY	KIRP	TRAF3IP3|80342	+	A3	chr1:209951518-209952660:209951518-209952776		2.3667	-0.4284	81.25
PRIMARY_IMMUNODEFICIENCY	KIRP	AMICA1|120425	-	SE	chr11:118083276-118085539:118085601-118095656		2.35	-0.1263	93.75
PRIMARY_IMMUNODEFICIENCY	KIRP	HLA-DMB|3109	-	SE	chr6:32902764-32903119:32903154-32904949		2.3379	0.2826	93.75
PRIMARY_IMMUNODEFICIENCY	KIRP	TRAF3IP3|80342	+	SE	chr1:209949081-209950697:209950832-209951456		2.2212	0.3945	75
PRIMARY_IMMUNODEFICIENCY	KIRP	CXCR3|2833	-	A3	chrX:70837553-70838288:70837309-70838288		2.1945	0.3256	62.5
PRIMARY_IMMUNODEFICIENCY	KIRP	NUMB|8650	-	SE	chr14:73763993-73783098:73783130-73789838		2.1944	-0.2842	56.25
PRIMARY_IMMUNODEFICIENCY	KIRP	SIT1|27240	-	SE	chr9:35650412-35650499:35650634-35650751		2.1743	0.2235	93.75
PRIMARY_IMMUNODEFICIENCY	KIRP	ARHGAP30|257106	-	RI	chr1:161016733:161018145-161018779:161019124		2.1659	-0.3388	50
PRIMARY_IMMUNODEFICIENCY	KIRP	UBR4|23352	-	SE	chr1:19423774-19426091:19426171-19426870		2.1616	-0.3573	31.25
PRIMARY_IMMUNODEFICIENCY	KIRP	ABI1|10006	-	SE	chr10:27040712-27047991:27048167-27054147		2.139	-0.4328	68.75
PRIMARY_IMMUNODEFICIENCY	KIRP	RLTPR|146206	+	SE	chr16:67690548-67690704:67690784-67691142		2.1314	0.2901	87.5
PRIMARY_IMMUNODEFICIENCY	KIRP	TMEM156|80008	-	A3	chr4:38972757-38987956:38972754-38987956		2.1078	0.2449	75
PRIMARY_IMMUNODEFICIENCY	KIRP	LILRB1|10859	+	A3	chr19:55145139-55145422:55145139-55145425		2.0638	0.103	87.5
PRIMARY_IMMUNODEFICIENCY	KIRP	BZRAP1|9256	-	SE	chr17:56402363-56402895:56403074-56403654		2.0557	0.1202	31.25
PRIMARY_IMMUNODEFICIENCY	KIRP	PDE6G|5148	-	SE	chr17:79618715-79620190:79620394-79623523		2.0396	0.3166	81.25
PRIMARY_IMMUNODEFICIENCY	KIRP	CFD|1675	+	A5	chr19:859765-860617:859744-860617		2.0313	-0.138	43.75
PRIMARY_IMMUNODEFICIENCY	KIRP	TRERF1|55809	-	SE	chr6:42227461-42230998:42231306-42232442		2.0292	-0.2314	62.5
PRIMARY_IMMUNODEFICIENCY	KIRP	PARVG|64098	+	SE	chr22:44569071-44577622:44577797-44579198		2.0167	-0.1742	31.25
PRIMARY_IMMUNODEFICIENCY	KIRP	CLEC10A|10462	-	A5	chr17:6979204-6979295:6979204-6979304		2.0148	0.2883	87.5
PRIMARY_IMMUNODEFICIENCY	KIRP	TRAT1|50852	+	SE	chr3:108541781-108549517:108549627-108557781		2.01	0.3951	75
PRIMARY_IMMUNODEFICIENCY	KIRP	KCNMA1|3778	-	A3	chr10:79396327-79397023:79396273-79397023		2.0062	-0.0503	62.5
PRIMARY_IMMUNODEFICIENCY	KIRP	SPIB|6689	+	RI	chr19:50931295:50931797-50931798:50932249		1.972	-0.3364	93.75
PRIMARY_IMMUNODEFICIENCY	KIRP	FMNL3|91010	-	SE	chr12:50039686-50040422:50040536-50040669		1.9713	-0.306	87.5
PRIMARY_IMMUNODEFICIENCY	KIRP	MGC29506|51237	-	SE	chr5:138723820-138724150:138724274-138725369		1.9693	0.2676	50
PRIMARY_IMMUNODEFICIENCY	KIRP	CIITA|4261	+	A3	chr16:10992589-10992779:10992589-10992782		1.962	0.035	81.25
PRIMARY_IMMUNODEFICIENCY	KIRP	LCK|3932	+	SE	chr1:32741664-32741938:32742090-32742208		1.9614	-0.0365	62.5
PRIMARY_IMMUNODEFICIENCY	KIRP	IL16|3603	+	A3	chr15:81589419-81591645:81589419-81591721		1.9607	0.3656	100
PRIMARY_IMMUNODEFICIENCY	KIRP	FAM126A|84668	-	SE	chr7:22985782-22986571:22986866-22999875		1.942	-0.3707	62.5
PRIMARY_IMMUNODEFICIENCY	KIRP	C2|717	+	SE	chr6:31912630-31912757:31912806-31912955		1.9393	-0.2305	12.5
PRIMARY_IMMUNODEFICIENCY	KIRP	MIAT|440823	+	SE	chr22:27062900-27063148:27063273-27064121		1.937	0.2908	81.25
PRIMARY_IMMUNODEFICIENCY	KIRP	CELF2|10659	+	RI	chr10:11370889:11371060-11372419:11373419		1.9343	0.3995	87.5
PRIMARY_IMMUNODEFICIENCY	KIRP	PLA2G2D|26279	-	SE	chr1:20440752-20442000:20442106-20442826		1.9292	0.3014	56.25
PRIMARY_IMMUNODEFICIENCY	KIRP	PLCB2|5330	-	SE	chr15:40583688-40583807:40583851-40584050		1.8928	0.1457	81.25
PRIMARY_IMMUNODEFICIENCY	KIRP	NCOR2|9612	-	SE	chr12:124857156-124858959:124859009-124862783		1.8765	-0.0884	31.25
PRIMARY_IMMUNODEFICIENCY	KIRP	ARHGAP17|55114	-	SE	chr16:24946960-24950685:24950918-24953308		1.8725	-0.407	75
