# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
INFLAMMATORY_RESPONSE_PATHWAY	HNSC	ITGAE|3682	-	SE	chr17:3623696-3626582:3626677-3626982		6.613	0.5777	12.5
INFLAMMATORY_RESPONSE_PATHWAY	HNSC	HSH2D|84941	+	A5	chr19:16264018-16265209:16264014-16265209		5.7852	-0.4108	62.5
INFLAMMATORY_RESPONSE_PATHWAY	HNSC	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		5.7264	0.4617	93.75
INFLAMMATORY_RESPONSE_PATHWAY	HNSC	RINL|126432	-	RI	chr19:39358474:39359806-39359887:39360050		5.6933	-0.4055	50
INFLAMMATORY_RESPONSE_PATHWAY	HNSC	HSH2D|84941	+	RI	chr19:16268020:16268208-16268210:16269375		5.1565	0.4007	50
INFLAMMATORY_RESPONSE_PATHWAY	HNSC	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		4.8316	-0.5044	100
INFLAMMATORY_RESPONSE_PATHWAY	HNSC	HSH2D|84941	+	A3	chr19:16263451-16263842:16263451-16263853		4.4701	0.4113	56.25
INFLAMMATORY_RESPONSE_PATHWAY	HNSC	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		4.3802	-0.3344	100
INFLAMMATORY_RESPONSE_PATHWAY	HNSC	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266	Observed	4.0526	-0.3691	100
INFLAMMATORY_RESPONSE_PATHWAY	HNSC	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785	Observed	3.9686	0.4191	87.5
INFLAMMATORY_RESPONSE_PATHWAY	HNSC	IDO1|3620	+	A5	chr8:39781109-39782240:39781105-39782240		3.8394	-0.1026	62.5
INFLAMMATORY_RESPONSE_PATHWAY	HNSC	CYBASC3|220002	-	A5	chr11:61118619-61120428:61118619-61120457		3.791	-0.3337	18.75
INFLAMMATORY_RESPONSE_PATHWAY	HNSC	NPHP3|27031	-	SE	chr3:132435753-132436799:132436961-132437838		3.5789	-0.2626	37.5
