# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
EUKARYOTIC_TRANSLATION_INITIATION	BRCA	NAP1L1|4673	-	RI	chr12:76438672:76441498-76442173:76442244		7.7189	-0.5908	50
EUKARYOTIC_TRANSLATION_INITIATION	BRCA	EPN2|22905	+	A3	chr17:19235381-19237269:19235381-19238718		5.6999	-0.5575	62.5
EUKARYOTIC_TRANSLATION_INITIATION	BRCA	POLL|27343	-	SE	chr10:103345913-103347003:103347163-103347961		5.6412	0.3152	62.5
EUKARYOTIC_TRANSLATION_INITIATION	BRCA	FAM189B|10712	-	A3	chr1:155220720-155220886:155220612-155220886		5.4926	0.5565	43.75
EUKARYOTIC_TRANSLATION_INITIATION	BRCA	FLII|2314	-	A3	chr17:18155130-18155313:18155127-18155313		5.2347	-0.5785	75
EUKARYOTIC_TRANSLATION_INITIATION	BRCA	POLL|27343	-	MX	chr10:103344676-103345619:103345913-103347961:103344676-103347003:103347163-103347961		5.0112	-0.3972	68.75
EUKARYOTIC_TRANSLATION_INITIATION	BRCA	TDRD7|23424	+	SE	chr9:100235908-100237665:100237751-100240721		4.9508	-0.599	62.5
EUKARYOTIC_TRANSLATION_INITIATION	BRCA	PDE4DIP|9659	-	A5	chr1:144915639-144916570:144915639-144916576		4.9405	-0.6023	56.25
EUKARYOTIC_TRANSLATION_INITIATION	BRCA	MAST2|23139	+	A3	chr1:46499938-46500210:46499938-46500499		4.8764	-0.5478	50
EUKARYOTIC_TRANSLATION_INITIATION	BRCA	RGL2|5863	-	SE	chr6:33263536-33263805:33264102-33264191		4.7472	-0.5546	62.5
EUKARYOTIC_TRANSLATION_INITIATION	BRCA	GPBP1|65056	+	SE	chr5:56510020-56517203:56517223-56526673		4.5428	0.5955	81.25
