# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MATRIX_METALLOPROTEINASES	KIRP	ANKS3|124401	-	SE	chr16:4780152-4781513:4781580-4784157		3.4737	0.3143	62.5
MATRIX_METALLOPROTEINASES	KIRP	PTPN18|26469	+	SE	chr2:131126774-131127338:131127400-131127621		3.3223	-0.5085	31.25
MATRIX_METALLOPROTEINASES	KIRP	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		3.0037	0.2375	100
MATRIX_METALLOPROTEINASES	KIRP	TSGA10|80705	-	SE	chr2:99688337-99689481:99689536-99695122		2.9265	0.3295	43.75
MATRIX_METALLOPROTEINASES	KIRP	FAM193B|54540	-	SE	chr5:176952206-176958283:176958522-176959444		2.8585	-0.4724	12.5
MATRIX_METALLOPROTEINASES	KIRP	ANKS3|124401	-	A5	chr16:4781580-4783939:4781580-4784157		2.7807	-0.3236	18.75
MATRIX_METALLOPROTEINASES	KIRP	RUSC2|9853	+	A5	chr9:35548532-35555057:35548207-35555057		2.7722	-0.3987	25
MATRIX_METALLOPROTEINASES	KIRP	ANKS3|124401	-	MX	chr16:4774832-4776660:4776781-4779981:4774832-4776980:4777178-4779981		2.7585	0.2809	37.5
MATRIX_METALLOPROTEINASES	KIRP	NIF3L1|60491	+	A5	chr2:201754375-201756692:201754114-201756692		2.7145	-0.3753	25
MATRIX_METALLOPROTEINASES	KIRP	TMEM232|642987	-	SE	chr5:109978072-110002929:110003065-110062328		2.6735	-0.4243	25
MATRIX_METALLOPROTEINASES	KIRP	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		2.5356	0.2564	75
MATRIX_METALLOPROTEINASES	KIRP	KIAA1009|22832	-	A5	chr6:84884673-84884929:84884673-84884933		2.4757	0.4425	43.75
MATRIX_METALLOPROTEINASES	KIRP	MED15|51586	+	A3	chr22:20929519-20936898:20929519-20936946		2.4564	-0.5042	62.5
MATRIX_METALLOPROTEINASES	KIRP	C2orf67|151050	-	SE	chr2:210894642-210896145:210896270-210905144		2.4275	-0.3445	62.5
MATRIX_METALLOPROTEINASES	KIRP	ATG16L1|55054	+	SE	chr2:234181698-234182367:234182423-234183322		2.4006	0.4119	50
MATRIX_METALLOPROTEINASES	KIRP	EGF|1950	+	SE	chr4:110925778-110929308:110929386-110932358		2.3802	-0.4032	18.75
MATRIX_METALLOPROTEINASES	KIRP	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		2.3764	0.353	62.5
MATRIX_METALLOPROTEINASES	KIRP	CLEC2D|29121	+	SE	chr12:9840682-9845424:9845527-9847356		2.3591	0.2872	43.75
MATRIX_METALLOPROTEINASES	KIRP	KIF20B|9585	+	SE	chr10:91522592-91526024:91526329-91528047		2.3437	0.393	37.5
MATRIX_METALLOPROTEINASES	KIRP	YTHDF2|51441	+	SE	chr1:29063659-29064170:29064194-29064771		2.3157	-0.3483	18.75
MATRIX_METALLOPROTEINASES	KIRP	ANKS3|124401	-	SE	chr16:4776781-4776980:4777178-4779981		2.3074	-0.3236	43.75
MATRIX_METALLOPROTEINASES	KIRP	RAI14|26064	+	SE	chr5:34812313-34813679:34813765-34814688		2.2471	-0.4544	93.75
MATRIX_METALLOPROTEINASES	KIRP	ZNF248|57209	-	SE	chr10:38145265-38145363:38145460-38146933		2.2387	0.3452	31.25
MATRIX_METALLOPROTEINASES	KIRP	HAUS4|54930	-	A5	chr14:23424385-23425955:23424385-23426133		2.2384	-0.0793	31.25
