# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	C17orf56|146705	-	SE	chr17:79205821-79206115:79206318-79207232		5.4023	-0.4081	75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	ELN|2006	+	SE	chr7:73471043-73471970:73472026-73474216		4.6499	-0.3528	87.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	ITGB4|3691	+	SE	chr17:73750896-73751136:73751294-73751782		4.163	-0.4026	25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	PLSCR1|5359	-	SE	chr3:146251337-146254327:146254352-146262254		3.8208	-0.2594	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		3.8016	-0.2503	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	CLSTN1|22883	-	SE	chr1:9815367-9816539:9816568-9833330		3.6179	0.3299	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	ELN|2006	+	SE	chr7:73461097-73462005:73462046-73462472		3.61	-0.2608	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	IL32|9235	+	A5	chr16:3117614-3117985:3117416-3117985		3.5571	0.3597	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	NLRC5|84166	+	SE	chr16:57075486-57075894:57075977-57077427		3.4748	-0.3792	12.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	AURKB|9212	-	SE	chr17:8111158-8113495:8113567-8113848		3.4276	0.3081	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	CHRD|8646	+	SE	chr3:184103947-184104280:184104543-184104633		3.3455	-0.3407	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	STK32C|282974	-	A3	chr10:134041693-134059404:134041632-134059404		3.3164	0.2696	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	RASSF7|8045	+	SE	chr11:563317-563396:563478-563558		3.254	-0.325	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	ARID1B|57492	+	SE	chr6:157495251-157495981:157496139-157502103		3.2217	-0.3476	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	CRB3|92359	+	RI	chr19:6466477:6466620-6466962:6467228		3.1976	0.2591	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	TSGA10|80705	-	SE	chr2:99688337-99689481:99689536-99695122		3.1654	-0.2375	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	DFFA|1676	-	RI	chr1:10520605:10521759-10523115:10523266		3.1177	-0.1391	6.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	LAT2|7462	+	SE	chr7:73635064-73635967:73636022-73638054		3.0225	-0.2251	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	CARD8|22900	-	SE	chr19:48718641-48722128:48722269-48724987		2.9376	-0.38	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	CAMLG|819	+	SE	chr5:134074482-134076753:134077213-134079677		2.8349	0.2624	6.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	NXF1|10482	-	RI	chr11:62566011:62566047-62567849:62567958		2.8027	-0.38	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	COX18|285521	-	A3	chr4:73930619-73930967:73930616-73930967		2.7937	-0.1874	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	TMEM184A|202915	-	A3	chr7:1590031-1590453:1590015-1590453		2.7821	0.2252	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	DLGAP5|9787	-	SE	chr14:55615191-55615312:55615402-55617517		2.7677	0.193	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	C11orf74|119710	+	SE	chr11:36631789-36654834:36654988-36669566		2.7366	-0.23	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	C17orf53|78995	+	SE	chr17:42232779-42235201:42235309-42239239		2.691	-0.0198	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	MRPL55|128308	-	SE	chr1:228296019-228296656:228296722-228296962		2.6344	-0.2043	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	TPM1|7168	+	MX	chr15:63335142-63335905:63336030-63349184:63335142-63336226:63336351-63349184		2.5271	-0.1838	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	CYP21A2|1589	+	SE	chr6:32006401-32006499:32006588-32006871		2.4963	-0.2817	6.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	SLC11A1|6556	+	RI	chr2:219251358:219251464-219251883:219251953		2.4896	0.3176	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	WSB1|26118	+	A3	chr17:25633908-25634770:25633908-25636126		2.482	-0.3471	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	ARL16|339231	-	A3	chr17:79649705-79650043:79649179-79650043		2.4595	-0.2335	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	HSH2D|84941	+	A3	chr19:16263451-16263842:16263451-16263853		2.4093	-0.3124	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LIHC	SFRS5|6430	+	A5	chr14:70234097-70234855:70233972-70234855		2.3935	0.2422	6.25
