# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
INFLAMMATORY_RESPONSE_PATHWAY	STAD	ITGAE|3682	-	SE	chr17:3623696-3626582:3626677-3626982		4.5169	0.593	12.5
INFLAMMATORY_RESPONSE_PATHWAY	STAD	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		4.4724	0.5154	81.25
INFLAMMATORY_RESPONSE_PATHWAY	STAD	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		3.8204	-0.461	100
INFLAMMATORY_RESPONSE_PATHWAY	STAD	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		3.6467	0.4689	93.75
INFLAMMATORY_RESPONSE_PATHWAY	STAD	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		3.1762	0.4668	81.25
INFLAMMATORY_RESPONSE_PATHWAY	STAD	CD247|919	-	A3	chr1:167404671-167407807:167404668-167407807		3.1075	0.2448	100
INFLAMMATORY_RESPONSE_PATHWAY	STAD	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		3.103	0.4843	93.75
INFLAMMATORY_RESPONSE_PATHWAY	STAD	PAK1|5058	-	A3	chr11:77034405-77043775:77034199-77043775		3.0805	-0.3785	6.25
INFLAMMATORY_RESPONSE_PATHWAY	STAD	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		3.0759	0.4625	87.5
INFLAMMATORY_RESPONSE_PATHWAY	STAD	LAG3|3902	+	RI	chr12:6886957:6887087-6887410:6887619		3.034	-0.3565	81.25
INFLAMMATORY_RESPONSE_PATHWAY	STAD	PAK1|5058	-	SE	chr11:77091039-77103376:77103586-77122819		2.8789	0.3323	68.75
INFLAMMATORY_RESPONSE_PATHWAY	STAD	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		2.7289	-0.4822	100
INFLAMMATORY_RESPONSE_PATHWAY	STAD	DOCK8|81704	+	SE	chr9:382685-386331:386426-390471		2.7265	-0.2312	68.75
