# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSLATION	LUSC	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		5.9625	-0.5473	81.25
TRANSLATION	LUSC	KIAA0895L|653319	-	SE	chr16:67210878-67211913:67212000-67212102		5.1542	-0.5955	87.5
TRANSLATION	LUSC	SMO|6608	+	RI	chr7:128851477:128851611-128851865:128853383		4.9894	0.5842	75
TRANSLATION	LUSC	PLCG1|5335	+	RI	chr20:39802060:39802174-39802292:39802453		4.9719	0.6182	81.25
TRANSLATION	LUSC	EMILIN1|11117	+	A5	chr2:27306894-27307283:27306879-27307283		4.5998	0.56	93.75
TRANSLATION	LUSC	COASY|80347	+	RI	chr17:40714092:40714237-40714951:40715340		4.5368	-0.5881	68.75
TRANSLATION	LUSC	SIX5|147912	-	SE	chr19:46269369-46269608:46270413-46271300		4.5103	-0.5175	75
TRANSLATION	LUSC	PLXNB3|5365	+	SE	chrX:153031035-153032328:153033368-153033704		4.44	-0.5821	75
TRANSLATION	LUSC	LAMC3|10319	+	A3	chr9:133957548-133960911:133957548-133960995		4.162	-0.5547	68.75
TRANSLATION	LUSC	MRPL35|51318	+	RI	chr2:86437603:86437736-86439549:86440476		4.1013	-0.5109	68.75
TRANSLATION	LUSC	NUMA1|4926	-	A5	chr11:71780957-71791366:71780957-71791504		4.0287	0.5865	87.5
TRANSLATION	LUSC	KIAA0895L|653319	-	SE	chr16:67210878-67211913:67212010-67212102		3.9756	-0.5831	93.75
TRANSLATION	LUSC	WDR90|197335	+	A3	chr16:712331-712673:712331-712679		3.9323	0.5057	75
