# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
RRNA_PROCESSING	LUSC	ACACA|31	-	SE	chr17:35641871-35646320:35646430-35687113		5.0614	0.4286	50
RRNA_PROCESSING	LUSC	AP4B1|10717	-	SE	chr1:114443022-114445260:114445484-114447227		4.4037	-0.4668	87.5
RRNA_PROCESSING	LUSC	MGA|23269	+	SE	chr15:42032401-42034744:42035370-42040835		4.2999	-0.4778	62.5
RRNA_PROCESSING	LUSC	SMO|6608	+	RI	chr7:128851477:128851611-128851865:128853383		4.2993	0.5154	68.75
RRNA_PROCESSING	LUSC	ARMC6|93436	+	A5	chr19:19144822-19153520:19144739-19153520		4.0306	0.431	87.5
RRNA_PROCESSING	LUSC	SNRNP70|6625	+	SE	chr19:49604728-49605371:49606844-49607891		3.9614	-0.4457	50
RRNA_PROCESSING	LUSC	PNPLA6|10908	+	A5	chr19:7622174-7623736:7622170-7623736		3.8972	0.4777	56.25
RRNA_PROCESSING	LUSC	TAOK2|9344	+	A3	chr16:29994222-29994372:29994222-29994393		3.881	0.4481	81.25
RRNA_PROCESSING	LUSC	LAMC3|10319	+	A3	chr9:133957548-133960911:133957548-133960995		3.8594	-0.502	50
RRNA_PROCESSING	LUSC	EMILIN1|11117	+	A5	chr2:27306894-27307283:27306879-27307283		3.8139	0.5107	75
RRNA_PROCESSING	LUSC	SON|6651	+	SE	chr21:34918685-34921782:34927697-34929462		3.801	-0.4729	68.75
RRNA_PROCESSING	LUSC	KDM3B|51780	+	SE	chr5:137722310-137726702:137727950-137728860		3.6695	-0.52	75
RRNA_PROCESSING	LUSC	VARS2|57176	+	SE	chr6:30889468-30889702:30889772-30889893		3.6535	-0.4558	56.25
RRNA_PROCESSING	LUSC	KIAA0895L|653319	-	SE	chr16:67210878-67211913:67212010-67212102		3.6099	-0.4892	81.25
RRNA_PROCESSING	LUSC	KIAA0895L|653319	-	SE	chr16:67210878-67211913:67212000-67212102		3.5447	-0.5099	56.25
RRNA_PROCESSING	LUSC	AKAP12|9590	+	SE	chr6:151647020-151669846:151674887-151676862		3.5412	-0.4871	50
RRNA_PROCESSING	LUSC	LTBP1|4052	+	SE	chr2:33540336-33567905:33568030-33572434		3.4836	-0.5038	75
RRNA_PROCESSING	LUSC	RUSC2|9853	+	A5	chr9:35548532-35555057:35548207-35555057		3.4419	-0.3973	43.75
RRNA_PROCESSING	LUSC	SIX5|147912	-	SE	chr19:46269369-46269608:46270413-46271300		3.4011	-0.4961	68.75
RRNA_PROCESSING	LUSC	DUSP22|56940	+	RI	chr6:348769:348841-350822:351353		3.3317	-0.4282	56.25
RRNA_PROCESSING	LUSC	MIB2|142678	+	SE	chr1:1561033-1562030:1562134-1562217		3.3085	-0.3563	37.5
RRNA_PROCESSING	LUSC	MICALL2|79778	-	A5	chr7:1474308-1474737:1474308-1474742		3.2575	-0.3857	62.5
RRNA_PROCESSING	LUSC	CDH3|1001	+	SE	chr16:68679327-68679539:68679653-68710288		3.2192	-0.4594	43.75
RRNA_PROCESSING	LUSC	CHD6|84181	-	MX	chr20:40162209-40179944:40179999-40246979:40162209-40192650:40192790-40246979		3.1907	-0.4547	56.25
RRNA_PROCESSING	LUSC	COASY|80347	+	RI	chr17:40714092:40714237-40714951:40715340		3.1904	-0.531	68.75
RRNA_PROCESSING	LUSC	ASPM|259266	-	SE	chr1:197065294-197069561:197074315-197086919		3.1818	-0.4759	81.25
RRNA_PROCESSING	LUSC	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		3.1792	-0.4786	62.5
RRNA_PROCESSING	LUSC	NLRC5|84166	+	A3	chr16:57089006-57089345:57089006-57089348		3.1598	-0.4719	68.75
RRNA_PROCESSING	LUSC	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		3.1441	-0.5094	81.25
RRNA_PROCESSING	LUSC	TP53BP2|7159	-	SE	chr1:223984292-223985917:223986379-223987601		3.1375	-0.4793	81.25
RRNA_PROCESSING	LUSC	WIZ|58525	-	SE	chr19:15538344-15538921:15539319-15540397		3.0919	-0.4069	75
RRNA_PROCESSING	LUSC	FAM38A|9780	-	SE	chr16:88783619-88783945:88784023-88785982		3.0816	0.5158	81.25
RRNA_PROCESSING	LUSC	CC2D1A|54862	+	SE	chr19:14030015-14030631:14030764-14031370		3.0744	-0.4292	81.25
RRNA_PROCESSING	LUSC	DHX9|1660	+	RI	chr1:182852274:182852351-182852455:182852503	Observed	3.0073	-0.494	87.5
RRNA_PROCESSING	LUSC	TMX2|51075	+	SE	chr11:57505140-57505308:57505498-57505826		3.0029	-0.2514	50
RRNA_PROCESSING	LUSC	COL8A2|1296	-	A5	chr1:36565088-36565651:36565088-36565796		2.9625	-0.4792	50
RRNA_PROCESSING	LUSC	PLXNB3|5365	+	SE	chrX:153031035-153032328:153033368-153033704		2.9549	-0.5024	43.75
RRNA_PROCESSING	LUSC	YTHDF3|253943	+	RI	chr8:64098706:64098729-64098732:64100303		2.9483	0.374	31.25
RRNA_PROCESSING	LUSC	AP1B1|162	-	SE	chr22:29724884-29725701:29725709-29726367		2.9254	-0.4605	37.5
RRNA_PROCESSING	LUSC	FAT4|79633	+	SE	chr4:126373965-126384718:126384822-126389667		2.8933	-0.4509	68.75
RRNA_PROCESSING	LUSC	JMJD8|339123	-	SE	chr16:733909-734066:734155-734234		2.8834	-0.3542	50
RRNA_PROCESSING	LUSC	PLXNB1|5364	-	RI	chr3:48454478:48454578-48455079:48455227		2.8604	0.4609	68.75
RRNA_PROCESSING	LUSC	SEC31B|25956	-	RI	chr10:102265118:102265252-102265797:102265958		2.8595	-0.183	50
RRNA_PROCESSING	LUSC	FAM38B|63895	-	SE	chr18:10681750-10682101:10682289-10689653		2.854	-0.3817	43.75
RRNA_PROCESSING	LUSC	MOGS|7841	-	RI	chr2:74692023:74692114-74692441:74692537		2.7671	-0.3891	56.25
RRNA_PROCESSING	LUSC	CARD8|22900	-	SE	chr19:48718641-48722128:48722269-48724987		2.766	-0.4408	37.5
RRNA_PROCESSING	LUSC	CARS|833	-	SE	chr11:3023283-3023771:3023830-3026596		2.7512	-0.3779	43.75
RRNA_PROCESSING	LUSC	GALNT11|63917	+	SE	chr7:151722969-151791275:151791607-151797883		2.7469	-0.431	62.5
RRNA_PROCESSING	LUSC	MRPL37|51253	+	A5	chr1:54666910-54670691:54665914-54670691		2.7462	-0.3694	62.5
RRNA_PROCESSING	LUSC	LTBP4|8425	+	RI	chr19:41123006:41123091-41123094:41123130		2.7078	0.3463	62.5
RRNA_PROCESSING	LUSC	CAST|831	+	A5	chr5:96058422-96062498:96058402-96062498		2.6906	0.2477	25
RRNA_PROCESSING	LUSC	TRPC4AP|26133	-	SE	chr20:33603942-33608993:33609135-33622926		2.6851	-0.3779	81.25
RRNA_PROCESSING	LUSC	CSNK1G1|53944	-	A3	chr15:64464184-64472547:64458279-64472547		2.6845	-0.4499	62.5
RRNA_PROCESSING	LUSC	SNHG1|23642	-	A3	chr11:62621536-62621991:62621305-62621991		2.6687	-0.3602	62.5
RRNA_PROCESSING	LUSC	CEP55|55165	+	A5	chr10:95256680-95259797:95256538-95259797		2.614	-0.3452	37.5
RRNA_PROCESSING	LUSC	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061		2.5702	-0.4516	68.75
RRNA_PROCESSING	LUSC	TBC1D24|57465	+	SE	chr16:2548397-2549358:2549421-2549836		2.5649	-0.3507	56.25
