# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
CHROMOSOME_LOCALIZATION	KIRP	MELK|9833	+	SE	chr9:36651874-36657238:36657360-36665347		3.6256	-0.3548	50
CHROMOSOME_LOCALIZATION	KIRP	HAX1|10456	+	RI	chr1:154245812:154246074-154246226:154246437		3.2693	-0.4088	68.75
CHROMOSOME_LOCALIZATION	KIRP	PDLIM7|9260	-	A3	chr5:176917594-176917871:176916833-176917871		3.1323	-0.4394	6.25
CHROMOSOME_LOCALIZATION	KIRP	NT5C3L|115024	-	A5	chr17:39991524-39991840:39991524-39992111		2.8981	-0.411	12.5
CHROMOSOME_LOCALIZATION	KIRP	FAM111B|374393	+	SE	chr11:58876185-58877013:58877179-58891652		2.676	0.3183	50
CHROMOSOME_LOCALIZATION	KIRP	FOXM1|2305	-	SE	chr12:2973918-2974521:2974565-2975559		2.3836	0.356	62.5
CHROMOSOME_LOCALIZATION	KIRP	TOMM40|10452	+	A3	chr19:45394571-45394664:45394571-45394667		2.3664	-0.3176	43.75
CHROMOSOME_LOCALIZATION	KIRP	MYBL2|4605	+	SE	chr20:42302539-42310424:42310495-42311434		2.3133	0.4488	62.5
CHROMOSOME_LOCALIZATION	KIRP	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026		2.2952	-0.5694	25
CHROMOSOME_LOCALIZATION	KIRP	MELK|9833	+	SE	chr9:36581736-36583624:36583709-36589533		2.29	0.0658	75
CHROMOSOME_LOCALIZATION	KIRP	TMEM205|374882	-	RI	chr19:11456196:11456413-11456803:11456981		2.2662	-0.4078	18.75
CHROMOSOME_LOCALIZATION	KIRP	RRP12|23223	-	RI	chr10:99130680:99130838-99131830:99131923		2.2514	-0.4081	12.5
