# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
LYSOSOME	PRAD	TBRG1|84897	+	SE	chr11:124495799-124496369:124496505-124496800		5.4323	0.4702	56.25
LYSOSOME	PRAD	PRR4|11272	-	A3	chr12:11001693-11001973:11001006-11001973		5.348	-0.5316	31.25
LYSOSOME	PRAD	ECHDC2|55268	-	RI	chr1:53370706:53370762-53372191:53372283		3.9658	-0.5515	87.5
LYSOSOME	PRAD	CD47|961	-	SE	chr3:107766139-107769425:107769449-107770786		3.7475	0.4508	31.25
LYSOSOME	PRAD	METT11D1|64745	+	A3	chr14:21458757-21460251:21458757-21460283		3.652	-0.387	50
LYSOSOME	PRAD	CENPT|80152	-	RI	chr16:67863668:67863991-67864293:67864451		3.5942	-0.4079	56.25
LYSOSOME	PRAD	CCNL2|81669	-	A3	chr1:1328183-1328776:1326245-1328776		3.5669	-0.4167	62.5
LYSOSOME	PRAD	EPS8L1|54869	+	SE	chr19:55589496-55590367:55590425-55591058		3.367	0.471	31.25
LYSOSOME	PRAD	LMAN1L|79748	+	RI	chr15:75111493:75111613-75112385:75112440		3.0732	-0.4877	6.25
LYSOSOME	PRAD	C9orf156|51531	-	A5	chr9:100672898-100673200:100672898-100675155		3.0142	-0.3919	62.5
LYSOSOME	PRAD	ARHGEF1|9138	+	A3	chr19:42392936-42396096:42392936-42396402		2.9968	-0.3631	37.5
LYSOSOME	PRAD	POLL|27343	-	SE	chr10:103345913-103346879:103346957-103347961		2.8987	0.3129	50
LYSOSOME	PRAD	POMT1|10585	+	RI	chr9:134385290:134385449-134385647:134385802		2.8781	-0.3613	75
LYSOSOME	PRAD	PI4KAP1|728233	-	A5	chr22:20385815-20386507:20385815-20386517		2.7273	0.337	62.5
LYSOSOME	PRAD	THNSL2|55258	+	SE	chr2:88482592-88484847:88484998-88485417		2.7175	0.3399	43.75
LYSOSOME	PRAD	AP1G2|8906	-	A5	chr14:24035628-24036320:24035628-24036446		2.5855	-0.4449	62.5
LYSOSOME	PRAD	DNAJC25|548645	+	SE	chr9:114394023-114405137:114405374-114409387		2.5403	-0.455	81.25
LYSOSOME	PRAD	PDGFA|5154	-	SE	chr7:538211-540068:540136-540753		2.5283	0.37	56.25
LYSOSOME	PRAD	CDK5RAP3|80279	+	RI	chr17:46051766:46051814-46052525:46052703		2.5129	-0.4434	75
LYSOSOME	PRAD	TMEM175|84286	+	A5	chr4:942403-944209:941942-944209		2.4899	-0.4492	68.75
LYSOSOME	PRAD	ARMC5|79798	+	RI	chr16:31473452:31473516-31474093:31474238		2.4842	-0.1967	50
LYSOSOME	PRAD	LENG8|114823	+	A5	chr19:54960488-54962467:54960484-54962467		2.4399	0.4514	37.5
LYSOSOME	PRAD	MARCH6|10299	+	RI	chr5:10400896:10400954-10402171:10402251		2.3431	-0.5122	56.25
LYSOSOME	PRAD	WDR52|55779	-	SE	chr3:113010595-113012799:113012885-113013534		2.3408	0.1734	56.25
LYSOSOME	PRAD	PRPF39|55015	+	SE	chr14:45565431-45565627:45565961-45566090		2.3037	-0.3081	50
LYSOSOME	PRAD	WDR90|197335	+	RI	chr16:705773:705889-706302:706537		2.2948	-0.3825	43.75
