# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
HISTONE_MODIFICATIONS	STAD	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		6.1088	0.5562	50
HISTONE_MODIFICATIONS	STAD	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		5.5186	0.5091	56.25
HISTONE_MODIFICATIONS	STAD	MARK3|4140	+	MX	chr14:103958371-103964839:103964865-103969219:103958371-103966493:103966537-103969219		4.4058	-0.379	56.25
HISTONE_MODIFICATIONS	STAD	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		4.3503	0.4483	68.75
HISTONE_MODIFICATIONS	STAD	HCFC1R1|54985	-	RI	chr16:3073848:3073969-3074182:3074287		4.1954	0.4771	68.75
HISTONE_MODIFICATIONS	STAD	EVI5L|115704	+	SE	chr19:7920954-7921978:7922010-7923077		4.0888	-0.4009	62.5
HISTONE_MODIFICATIONS	STAD	PRMT2|3275	+	SE	chr21:48055675-48056351:48056459-48056808		4.0125	-0.4725	37.5
HISTONE_MODIFICATIONS	STAD	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		3.9972	0.461	62.5
HISTONE_MODIFICATIONS	STAD	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		3.9871	-0.4117	87.5
HISTONE_MODIFICATIONS	STAD	ESYT2|57488	-	SE	chr7:158542414-158545472:158545534-158552177		3.9206	0.4596	25
HISTONE_MODIFICATIONS	STAD	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		3.831	-0.4003	43.75
HISTONE_MODIFICATIONS	STAD	PEG3|5178	-	A3	chr19:57329206-57329968:57329203-57329968		3.5415	-0.3082	50
HISTONE_MODIFICATIONS	STAD	ATP5C1|509	+	SE	chr10:7844817-7848937:7848973-7849622		3.5257	0.447	12.5
HISTONE_MODIFICATIONS	STAD	AGPS|8540	+	A5	chr2:178257852-178284997:178257777-178284997		3.3728	-0.3312	37.5
HISTONE_MODIFICATIONS	STAD	MARK3|4140	+	SE	chr14:103958371-103964839:103964865-103966493		3.3132	-0.3497	25
HISTONE_MODIFICATIONS	STAD	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		3.3088	0.4321	62.5
HISTONE_MODIFICATIONS	STAD	NFIX|4784	+	A5	chr19:13135498-13135835:13135494-13135835		3.2999	0.4081	43.75
HISTONE_MODIFICATIONS	STAD	TENC1|23371	+	RI	chr12:53456404:53456475-53456873:53457041		3.1859	-0.3188	37.5
HISTONE_MODIFICATIONS	STAD	RPS24|6229	+	SE	chr10:79797062-79799962:79799983-79800373		3.1855	-0.4793	50
HISTONE_MODIFICATIONS	STAD	FAM190B|54462	+	SE	chr10:86237420-86259631:86259715-86273205		3.172	-0.4563	68.75
HISTONE_MODIFICATIONS	STAD	PDLIM5|10611	+	A3	chr4:95494544-95496767:95494544-95497094		3.0546	0.3378	37.5
HISTONE_MODIFICATIONS	STAD	CLIP1|6249	-	SE	chr12:122832026-122835658:122835690-122837273		2.9596	-0.38	75
HISTONE_MODIFICATIONS	STAD	FXYD6|53826	-	RI	chr11:117707693:117708354-117708355:117708992		2.956	0.3329	37.5
HISTONE_MODIFICATIONS	STAD	CIRBP|1153	+	SE	chr19:1272050-1273493:1273714-1274306		2.8653	-0.3532	12.5
HISTONE_MODIFICATIONS	STAD	SMARCC2|6601	-	SE	chr12:56557549-56558087:56558152-56558432		2.8254	0.4641	75
HISTONE_MODIFICATIONS	STAD	PDXDC1|23042	+	SE	chr16:15092262-15095633:15095713-15098044		2.8207	-0.3118	6.25
HISTONE_MODIFICATIONS	STAD	RTN4|57142	-	SE	chr2:55214834-55252222:55254621-55255300		2.7541	0.3441	62.5
HISTONE_MODIFICATIONS	STAD	SVIL|6840	-	SE	chr10:29813644-29815890:29815985-29818634		2.6937	-0.4288	25
HISTONE_MODIFICATIONS	STAD	ACACA|31	-	SE	chr17:35506898-35508226:35508346-35512605		2.6526	-0.2399	37.5
HISTONE_MODIFICATIONS	STAD	ARAP1|116985	-	SE	chr11:72399582-72403798:72403830-72404370		2.652	0.4005	43.75
HISTONE_MODIFICATIONS	STAD	EVI5L|115704	+	A3	chr19:7920954-7921865:7920954-7921978		2.6226	0.3753	56.25
HISTONE_MODIFICATIONS	STAD	RPL22L1|200916	-	A3	chr3:170585990-170586087:170585923-170586087		2.6226	0.2142	56.25
HISTONE_MODIFICATIONS	STAD	STX2|2054	-	SE	chr12:131276522-131280540:131280665-131283070		2.6203	0.3319	56.25
HISTONE_MODIFICATIONS	STAD	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		2.608	0.3571	50
HISTONE_MODIFICATIONS	STAD	MTA1|9112	+	SE	chr14:105933079-105934675:105934686-105935804		2.6009	0.2452	43.75
HISTONE_MODIFICATIONS	STAD	FDPS|2224	+	A5	chr1:155278867-155279855:155278756-155279855		2.5593	0.4218	56.25
HISTONE_MODIFICATIONS	STAD	TNS1|7145	-	SE	chr2:218686661-218695090:218695113-218696178		2.5499	-0.31	18.75
HISTONE_MODIFICATIONS	STAD	ADD3|120	+	SE	chr10:111890244-111892063:111892158-111893084		2.549	0.4213	56.25
HISTONE_MODIFICATIONS	STAD	PAIP1|10605	-	SE	chr5:43527571-43529888:43529981-43533840		2.5419	0.3059	6.25
HISTONE_MODIFICATIONS	STAD	PDE4DIP|9659	-	A5	chr1:144881622-144882446:144881622-144882776		2.5183	0.3648	62.5
HISTONE_MODIFICATIONS	STAD	DPP8|54878	-	SE	chr15:65746753-65748563:65748709-65756099		2.5143	-0.2412	43.75
HISTONE_MODIFICATIONS	STAD	AKAP13|11214	+	SE	chr15:86199018-86201768:86201821-86207794		2.5054	-0.342	25
HISTONE_MODIFICATIONS	STAD	SYNE1|23345	-	SE	chr6:152615262-152621776:152621916-152623004		2.4709	-0.2578	31.25
HISTONE_MODIFICATIONS	STAD	VCL|7414	+	SE	chr10:75868914-75871667:75871870-75873942		2.4478	-0.3378	12.5
HISTONE_MODIFICATIONS	STAD	KIAA1191|57179	-	MX	chr5:175782752-175786484:175786570-175788605:175782752-175786814:175786921-175788605		2.4068	-0.2846	56.25
HISTONE_MODIFICATIONS	STAD	OGDH|4967	+	SE	chr7:44706450-44713386:44713540-44714010		2.3952	-0.3097	31.25
