# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
LYSOSOME	OV	CD300LF|146722	-	A3	chr17:72699282-72700617:72699237-72700617		5.4653	0.3413	43.75
LYSOSOME	OV	QKI|9444	+	RI	chr6:163984452:163984751-163986978:163991169		5.2352	-0.5685	37.5
LYSOSOME	OV	CECR1|51816	-	A3	chr22:17690613-17700246:17690488-17700246		4.2466	0.5224	87.5
LYSOSOME	OV	LAG3|3902	+	RI	chr12:6886957:6887087-6887410:6887619		4.2249	-0.4612	68.75
LYSOSOME	OV	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		4.0549	-0.4765	75
LYSOSOME	OV	CACNA2D4|93589	-	A5	chr12:1909604-1910209:1909604-1910215		4.0065	0.5238	68.75
LYSOSOME	OV	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		3.7437	-0.4634	68.75
LYSOSOME	OV	SLC11A1|6556	+	RI	chr2:219251358:219251464-219251883:219251953		3.2716	-0.3626	62.5
LYSOSOME	OV	CACNA2D4|93589	-	SE	chr12:1919506-1919709:1919753-1920828		3.2627	-0.5041	75
LYSOSOME	OV	AP1G2|8906	-	SE	chr14:24035628-24035771:24035895-24036320		3.2527	0.3597	62.5
LYSOSOME	OV	LST1|7940	+	A3	chr6:31555743-31556274:31555743-31556295		3.2478	0.2236	37.5
LYSOSOME	OV	CELF2|10659	+	RI	chr10:11370889:11371060-11372419:11373419		3.2469	0.3776	62.5
LYSOSOME	OV	AGAP2|116986	-	SE	chr12:58121868-58122101:58122160-58123422		3.1795	-0.4108	31.25
LYSOSOME	OV	SYK|6850	+	SE	chr9:93627379-93629413:93629481-93636486		3.1583	0.3718	62.5
LYSOSOME	OV	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		3.117	0.365	68.75
LYSOSOME	OV	FGD3|89846	+	A3	chr9:95795155-95796823:95795155-95796826		3.091	-0.4332	62.5
LYSOSOME	OV	IKZF1|10320	+	A5	chr7:50459561-50467616:50459531-50467616		3.0718	0.2681	18.75
LYSOSOME	OV	CLEC7A|64581	-	SE	chr12:10275962-10277686:10277772-10277896		3.0716	0.3386	25
LYSOSOME	OV	CCDC57|284001	-	SE	chr17:80136481-80136903:80137065-80141650		2.9989	0.2283	12.5
LYSOSOME	OV	APBB3|10307	-	RI	chr5:139941172:139941286-139941685:139941812		2.997	-0.3292	75
LYSOSOME	OV	AP1G2|8906	-	SE	chr14:24034910-24035025:24035101-24035273		2.8774	0.3542	62.5
LYSOSOME	OV	GK5|256356	-	SE	chr3:141901891-141903553:141904635-141904771		2.8486	-0.3109	68.75
LYSOSOME	OV	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061		2.8265	-0.4253	62.5
LYSOSOME	OV	CFP|5199	-	RI	chrX:47487501:47487676-47488923:47489073		2.8062	-0.396	31.25
LYSOSOME	OV	PDE4DIP|9659	-	A5	chr1:144881622-144882446:144881622-144882776		2.7876	-0.3992	75
LYSOSOME	OV	CELF2|10659	+	A3	chr10:11356221-11363152:11356221-11363170		2.7582	-0.2978	68.75
LYSOSOME	OV	SLC46A1|113235	-	RI	chr17:26727626:26727720-26727722:26727783		2.7534	-0.2903	50
LYSOSOME	OV	FNBP1|23048	-	SE	chr9:132671278-132686123:132686305-132687239		2.7115	-0.3491	62.5
LYSOSOME	OV	ZNRF1|84937	+	A3	chr16:75140469-75141631:75140469-75141736		2.7055	-0.4024	37.5
LYSOSOME	OV	PRKCB|5579	+	A3	chr16:24202551-24225979:24202551-24231282		2.6995	-0.3528	25
LYSOSOME	OV	BIN2|51411	-	RI	chr12:51695804:51695899-51696470:51696564		2.6928	-0.2108	68.75
LYSOSOME	OV	FMNL3|91010	-	SE	chr12:50050973-50052225:50052377-50055749		2.6844	-0.4295	56.25
LYSOSOME	OV	SIGLEC10|89790	-	SE	chr19:51920204-51920336:51920719-51920799		2.6591	0.185	37.5
LYSOSOME	OV	PION|54103	-	RI	chr7:76958650:76958708-76959556:76959684		2.6527	-0.3681	25
LYSOSOME	OV	GLIPR1|11010	+	SE	chr12:75875859-75881519:75881589-75884186		2.6401	0.4268	81.25
LYSOSOME	OV	SNED1|25992	+	SE	chr2:242011293-242012681:242012779-242021092		2.5946	0.2514	68.75
LYSOSOME	OV	TMX3|54495	-	SE	chr18:66367722-66368982:66369027-66377258		2.5468	0.3832	43.75
LYSOSOME	OV	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		2.5449	-0.4031	62.5
LYSOSOME	OV	HMHA1|23526	+	SE	chr19:1067494-1068413:1068743-1073148		2.5296	0.1854	31.25
LYSOSOME	OV	ACER3|55331	+	SE	chr11:76572123-76637601:76637711-76670023		2.527	0.3583	43.75
LYSOSOME	OV	CD96|10225	+	A3	chr3:111343251-111356043:111343251-111356046		2.5176	-0.3903	43.75
LYSOSOME	OV	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		2.5165	-0.4135	56.25
LYSOSOME	OV	LILRB2|10288	-	A3	chr19:54781454-54781743:54781451-54781743		2.5007	-0.1185	50
LYSOSOME	OV	KMO|8564	+	A3	chr1:241752132-241753314:241752132-241753353		2.4987	-0.4115	62.5
LYSOSOME	OV	FAM73B|84895	+	A5	chr9:131831254-131831355:131830611-131831355		2.4713	-0.3422	50
LYSOSOME	OV	SNED1|25992	+	SE	chr2:242021779-242026807:242026890-242027780		2.4623	0.1946	50
LYSOSOME	OV	AGXT2L2|85007	-	A5	chr5:177658524-177658670:177658524-177659493		2.4351	-0.308	25
LYSOSOME	OV	P2RX7|5027	+	SE	chr12:121593950-121598705:121598777-121600227		2.4108	0.2017	25
LYSOSOME	OV	SAMD3|154075	-	SE	chr6:130537761-130542782:130542920-130543839		2.3864	-0.1991	43.75
LYSOSOME	OV	ARHGAP22|58504	-	A5	chr10:49667934-49687631:49667934-49687679		2.3853	0.2659	25
