# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
ANGIOGENESIS	LUAD	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		5.2993	-0.5808	93.75
ANGIOGENESIS	LUAD	NOTCH4|4855	-	SE	chr6:32163927-32164101:32164198-32164702		5.1323	0.5912	100
ANGIOGENESIS	LUAD	BOC|91653	+	RI	chr3:113005522:113005583-113005869:113006303		5.0957	0.5195	81.25
ANGIOGENESIS	LUAD	SVEP1|79987	-	SE	chr9:113190038-113191091:113191182-113191423		4.9939	-0.5911	68.75
ANGIOGENESIS	LUAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		4.6205	0.5573	87.5
ANGIOGENESIS	LUAD	LOXL2|4017	-	SE	chr8:23155635-23156349:23156460-23159540		4.577	0.5026	87.5
ANGIOGENESIS	LUAD	NOL8|55035	-	A5	chr9:95086491-95087588:95086491-95087600		4.3708	0.524	62.5
ANGIOGENESIS	LUAD	ABI3BP|25890	-	SE	chr3:100513847-100515253:100515312-100523636		4.3264	0.514	81.25
ANGIOGENESIS	LUAD	MBNL1|4154	+	A3	chr3:152163328-152165409:152163328-152165514		4.2417	0.5854	75
ANGIOGENESIS	LUAD	LPHN2|23266	+	SE	chr1:82417826-82418671:82418709-82421561		4.1314	-0.4607	62.5
ANGIOGENESIS	LUAD	NIN|51199	-	A5	chr14:51221350-51221460:51221350-51221463		4.0351	0.5465	81.25
ANGIOGENESIS	LUAD	BNC2|54796	-	SE	chr9:16419647-16435032:16435097-16435553		4.0346	-0.3522	50
