# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
M_PHASE	LUAD	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026		7.4917	-0.7576	25
M_PHASE	LUAD	HMGA1|3159	+	SE	chr6:34204740-34204981:34205094-34208514		5.9982	-0.5502	50
M_PHASE	LUAD	FBLN2|2199	+	SE	chr3:13661331-13663275:13663415-13667945		5.7514	-0.603	43.75
M_PHASE	LUAD	KLHDC5|57542	+	SE	chr12:27944834-27950180:27950282-27950648		5.5694	0.569	31.25
M_PHASE	LUAD	FAM36A|116228	+	SE	chr1:244999058-245005246:245005360-245005497		5.3114	0.5164	68.75
M_PHASE	LUAD	CIT|11113	-	SE	chr12:120204986-120208589:120208714-120210574		5.2337	0.5187	62.5
M_PHASE	LUAD	PQBP1|10084	+	SE	chrX:48759319-48759496:48759794-48760009		5.2043	-0.5112	75
M_PHASE	LUAD	C16orf13|84326	-	SE	chr16:684797-685281:685340-685612		5.1867	-0.5193	56.25
M_PHASE	LUAD	USF2|7392	+	SE	chr19:35760602-35760706:35760906-35761350		5.1228	-0.5612	31.25
M_PHASE	LUAD	RCC1|1104	+	SE	chr1:28856451-28857035:28857085-28858315		5.1057	-0.5825	62.5
M_PHASE	LUAD	CIT|11113	-	A3	chr12:120128259-120135464:120128256-120135464		5.0703	0.4846	56.25
M_PHASE	LUAD	COL6A3|1293	-	SE	chr2:238296827-238303230:238303847-238305370		4.9914	-0.5692	68.75
