# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
RNA_POLYMERASE	HNSC	MIB2|142678	+	SE	chr1:1560808-1560926:1561033-1562030		4.8544	-0.4841	25
RNA_POLYMERASE	HNSC	FAM149B1|317662	+	A5	chr10:74987942-74990180:74987918-74990180		3.9128	-0.5013	18.75
RNA_POLYMERASE	HNSC	DMWD|1762	-	SE	chr19:46287548-46287899:46287973-46288852		3.8093	-0.3083	37.5
RNA_POLYMERASE	HNSC	TRAF3IP3|80342	+	SE	chr1:209949081-209950697:209950832-209951456		3.7709	-0.4322	25
RNA_POLYMERASE	HNSC	RPS24|6229	+	SE	chr10:79797062-79799962:79799983-79800373		3.7191	-0.3763	75
RNA_POLYMERASE	HNSC	TCIRG1|10312	+	SE	chr11:67817721-67817954:67818131-67818208		3.7099	-0.4227	25
RNA_POLYMERASE	HNSC	ECM2|1842	-	A3	chr9:95264934-95267815:95264872-95267815		3.5472	-0.4386	81.25
RNA_POLYMERASE	HNSC	KIAA0895L|653319	-	SE	chr16:67210878-67211913:67212000-67212102		3.4833	-0.4272	93.75
RNA_POLYMERASE	HNSC	VAMP1|6843	-	RI	chr12:6571406:6572008-6574056:6574107		3.4814	-0.3783	62.5
RNA_POLYMERASE	HNSC	FRMD8|83786	+	SE	chr11:65156999-65161044:65161145-65161512		3.4523	-0.4139	75
RNA_POLYMERASE	HNSC	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		3.3645	0.3348	68.75
RNA_POLYMERASE	HNSC	CLEC2D|29121	+	SE	chr12:9840682-9845424:9845527-9847356		3.337	-0.3096	62.5
RNA_POLYMERASE	HNSC	NLRC5|84166	+	A3	chr16:57089006-57089345:57089006-57089348		3.3063	-0.518	75
RNA_POLYMERASE	HNSC	PLXNB3|5365	+	SE	chrX:153031035-153032328:153033368-153033704		3.2917	-0.4498	68.75
RNA_POLYMERASE	HNSC	RBBP8|5932	+	A3	chr18:20577697-20581534:20577697-20581549		3.2845	0.4637	50
RNA_POLYMERASE	HNSC	DLGAP4|22839	+	SE	chr20:35127724-35127991:35128079-35128602		3.2429	-0.2588	62.5
RNA_POLYMERASE	HNSC	MRVI1|10335	-	SE	chr11:10645403-10647513:10648130-10649263		3.0602	-0.4115	75
RNA_POLYMERASE	HNSC	MLLT10|8028	+	A5	chr10:21823449-21823574:21823423-21823574		3.0377	-0.4243	56.25
RNA_POLYMERASE	HNSC	PSMA4|5685	+	A5	chr15:78834987-78836532:78834561-78836532		3.0201	-0.4358	75
RNA_POLYMERASE	HNSC	ARMC6|93436	+	A5	chr19:19144822-19153520:19144739-19153520		2.9811	0.4401	75
RNA_POLYMERASE	HNSC	CENPL|91687	-	A3	chr1:173776656-173780270:173776448-173780270		2.9754	-0.3085	31.25
RNA_POLYMERASE	HNSC	DSP|1832	+	A5	chr6:7581802-7582875:7580005-7582875		2.9487	-0.4252	62.5
RNA_POLYMERASE	HNSC	RNF185|91445	+	RI	chr22:31600475:31600568-31601152:31603004		2.9384	-0.455	68.75
RNA_POLYMERASE	HNSC	PIK3CB|5291	-	SE	chr3:138417937-138423285:138423335-138426001		2.923	-0.3789	43.75
RNA_POLYMERASE	HNSC	PARP9|83666	-	A5	chr3:122278556-122282958:122278556-122283092		2.9142	0.4938	56.25
RNA_POLYMERASE	HNSC	HECW2|57520	-	A3	chr2:197189873-197194299:197189802-197194299		2.8849	-0.4229	37.5
RNA_POLYMERASE	HNSC	MIB2|142678	+	SE	chr1:1561033-1562030:1562134-1562217		2.8759	-0.3624	25
RNA_POLYMERASE	HNSC	POLI|11201	+	A5	chr18:51797855-51800296:51796402-51800296		2.8681	-0.2456	50
RNA_POLYMERASE	HNSC	PAPLN|89932	+	A3	chr14:73729535-73730331:73729535-73730353		2.8349	-0.054	43.75
RNA_POLYMERASE	HNSC	JMJD8|339123	-	SE	chr16:733909-734066:734155-734234		2.8286	-0.3906	43.75
RNA_POLYMERASE	HNSC	EPN2|22905	+	A3	chr17:19235381-19237269:19235381-19238718		2.8217	-0.4711	43.75
RNA_POLYMERASE	HNSC	KANK2|25959	-	A3	chr19:11289147-11289229:11289123-11289229		2.8139	0.426	62.5
RNA_POLYMERASE	HNSC	HSH2D|84941	+	RI	chr19:16268020:16268208-16268210:16269375		2.7805	-0.3539	62.5
RNA_POLYMERASE	HNSC	TBRG4|9238	-	A3	chr7:45148886-45151242:45148842-45151242		2.7478	-0.1545	6.25
RNA_POLYMERASE	HNSC	NF1|4763	+	SE	chr17:29490394-29496909:29497015-29508440	Observed	2.7453	-0.3311	56.25
RNA_POLYMERASE	HNSC	WAC|51322	+	SE	chr10:28879761-28884662:28884970-28897115		2.7394	-0.3948	18.75
RNA_POLYMERASE	HNSC	SCN5A|6331	-	SE	chr3:38618272-38620825:38620986-38622422		2.7275	-0.3091	12.5
RNA_POLYMERASE	HNSC	TNS4|84951	-	SE	chr17:38634900-38635926:38636094-38636952		2.6951	-0.4537	56.25
