# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MISMATCH_REPAIR_PATHWAY	LUAD	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026		7.8893	-0.7241	25
MISMATCH_REPAIR_PATHWAY	LUAD	FBLN2|2199	+	SE	chr3:13661331-13663275:13663415-13667945		7.0104	-0.5478	31.25
MISMATCH_REPAIR_PATHWAY	LUAD	CHEK1|1111	+	A5	chr11:125496537-125496644:125496470-125496644		5.6544	-0.4402	50
MISMATCH_REPAIR_PATHWAY	LUAD	AURKB|9212	-	SE	chr17:8111158-8113495:8113567-8113848		5.5282	0.3088	68.75
MISMATCH_REPAIR_PATHWAY	LUAD	FANCA|2175	-	SE	chr16:89818630-89824985:89825113-89828357		5.4575	0.4827	50
MISMATCH_REPAIR_PATHWAY	LUAD	MKNK2|2872	-	A3	chr19:2039855-2040133:2037828-2040133		5.2482	-0.4893	62.5
MISMATCH_REPAIR_PATHWAY	LUAD	CIT|11113	-	A5	chr12:120221855-120221993:120221855-120222764		5.1242	-0.4638	25
MISMATCH_REPAIR_PATHWAY	LUAD	RAD54L|8438	+	RI	chr1:46713367:46713418-46714016:46714080		5.0224	-0.2731	25
MISMATCH_REPAIR_PATHWAY	LUAD	KLHDC5|57542	+	SE	chr12:27944834-27950180:27950282-27950648		4.9363	0.4942	43.75
MISMATCH_REPAIR_PATHWAY	LUAD	CIT|11113	-	A3	chr12:120128259-120135464:120128256-120135464		4.9325	0.4629	43.75
MISMATCH_REPAIR_PATHWAY	LUAD	CIT|11113	-	SE	chr12:120204986-120208589:120208714-120210574		4.7765	0.4906	62.5
MISMATCH_REPAIR_PATHWAY	LUAD	SKA1|220134	+	A5	chr18:47901609-47902190:47901564-47902190		4.7747	0.3457	62.5
MISMATCH_REPAIR_PATHWAY	LUAD	CIT|11113	-	A3	chr12:120156666-120158283:120156621-120158283		4.7305	0.4629	37.5
MISMATCH_REPAIR_PATHWAY	LUAD	ISOC2|79763	-	SE	chr19:55966697-55967003:55967212-55967716		4.7028	-0.4794	62.5
MISMATCH_REPAIR_PATHWAY	LUAD	USF2|7392	+	SE	chr19:35760602-35760706:35760906-35761350		4.6288	-0.4975	25
MISMATCH_REPAIR_PATHWAY	LUAD	FAM160A2|84067	-	A5	chr11:6239380-6239788:6239380-6239830		4.6162	0.4167	37.5
MISMATCH_REPAIR_PATHWAY	LUAD	MLF1IP|79682	-	SE	chr4:185618957-185621974:185622035-185623243		4.5454	-0.3659	75
MISMATCH_REPAIR_PATHWAY	LUAD	COL6A3|1293	-	SE	chr2:238296827-238303230:238303847-238305370		4.5077	-0.4812	43.75
MISMATCH_REPAIR_PATHWAY	LUAD	XRCC3|7517	-	SE	chr14:104177904-104179212:104179305-104181761		4.4989	0.4611	62.5
