# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		4.4185	0.4786	87.5
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	IL16|3603	+	A3	chr15:81589419-81591645:81589419-81591721		4.2075	0.4694	81.25
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	CCDC88B|283234	+	A5	chr11:64110802-64110979:64110797-64110979		4.1251	-0.3566	87.5
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	TRAT1|50852	+	SE	chr3:108541781-108549517:108549627-108557781		4.1224	0.3755	68.75
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		3.8964	0.4786	93.75
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		3.8869	0.5102	93.75
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		3.8225	-0.366	100
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		3.606	0.4269	93.75
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266	Observed	3.5662	-0.4518	100
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		3.495	-0.3865	100
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	TRAF3IP3|80342	+	SE	chr1:209949081-209950697:209950832-209951456		3.3754	0.4012	62.5
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	SPIB|6689	+	RI	chr19:50931295:50931797-50931798:50932249		3.2782	-0.3324	56.25
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	AMICA1|120425	-	SE	chr11:118083276-118085539:118085601-118095656		3.245	-0.0576	75
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	SHF|90525	-	SE	chr15:45464516-45465774:45465914-45467417		3.1671	-0.4414	37.5
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		3.1267	-0.4276	87.5
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977		3.1055	-0.4091	87.5
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	GSK3B|2932	-	SE	chr3:119545702-119562102:119562200-119582266		3.0094	0.3921	43.75
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	SLK|9748	+	SE	chr10:105768114-105770574:105770666-105777918		2.8996	-0.4171	68.75
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		2.8965	0.4271	68.75
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	FGFR1|2260	-	SE	chr8:38285953-38287200:38287466-38314874		2.8287	-0.3553	56.25
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	NFATC4|4776	+	RI	chr14:24845500:24846084-24846844:24848808		2.8105	-0.2754	56.25
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	FGFR1OP2|26127	+	SE	chr12:27110676-27113448:27113561-27116275		2.761	0.403	62.5
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	FYN|2534	-	SE	chr6:112017659-112020718:112020873-112024088		2.6953	0.2533	100
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	SLAMF1|6504	-	SE	chr1:160582370-160589566:160589639-160593886		2.6913	0.2726	87.5
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	TYMP|1890	-	A3	chr22:50968160-50968333:50968148-50968333		2.6762	0.1908	6.25
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	CD247|919	-	A3	chr1:167404671-167407807:167404668-167407807		2.6219	0.2318	100
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	AGAP2|116986	-	A3	chr12:58124397-58124574:58124394-58124574		2.6082	0.289	18.75
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		2.584	-0.4495	81.25
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		2.5588	0.3809	75
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		2.545	-0.4379	100
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	CFTR|1080	+	A3	chr7:117227887-117230407:117227887-117230412		2.5341	0.262	18.75
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	MYADM|91663	+	A3	chr19:54371197-54372944:54371197-54373008		2.5278	-0.3332	50
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	CASP1|834	-	SE	chr11:104902007-104903791:104903853-104904935	Observed	2.5204	-0.0683	56.25
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	MYO1G|64005	-	SE	chr7:45016256-45016462:45016670-45018466		2.4353	0.3111	75
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	PILRA|29992	+	SE	chr7:99972056-99987511:99987729-99995502		2.4311	-0.3397	75
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	BDKRB2|624	+	A3	chr14:96671296-96703406:96671296-96703411		2.4197	0.1099	56.25
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	DNASE1L3|1776	-	SE	chr3:58190608-58191198:58191287-58193945		2.3861	0.2103	37.5
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	ARHGAP30|257106	-	SE	chr1:161024495-161026178:161026322-161029404		2.3845	0.2451	81.25
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	GRAP2|9402	+	SE	chr22:40356178-40361994:40362162-40364046		2.3176	0.1762	50
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	ARHGAP9|64333	-	RI	chr12:57870373:57870434-57870654:57870746		2.3019	-0.1434	68.75
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	CLEC2D|29121	+	SE	chr12:9845527-9845630:9845711-9847356		2.2337	0.312	62.5
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	ARHGAP9|64333	-	A5	chr12:57869398-57869559:57869398-57869616		2.2124	-0.1763	68.75
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		2.1985	0.4024	68.75
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	PDGFA|5154	-	SE	chr7:538211-540068:540136-540753		2.1803	-0.3327	56.25
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	TBC1D10C|374403	+	A5	chr11:67174209-67174298:67174163-67174298		2.1622	-0.2233	56.25
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	FAM20A|54757	-	SE	chr17:66551884-66586265:66586490-66596404		2.1605	0.1778	56.25
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		2.1396	-0.3912	81.25
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	CLEC2D|29121	+	SE	chr12:9845711-9846012:9846544-9847356		2.138	-0.2958	68.75
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	CD200|4345	+	SE	chr3:112052071-112059749:112059830-112063809		2.1263	0.1381	43.75
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	C17orf87|388325	-	A5	chr17:5124645-5126628:5124645-5126649		2.1133	0.2694	93.75
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	PDLIM4|8572	+	RI	chr5:131606996:131607159-131607484:131607601		2.0884	0.2366	31.25
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	CACNA2D4|93589	-	A5	chr12:1909604-1910209:1909604-1910215		2.0758	0.3075	93.75
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	CCDC88B|283234	+	A3	chr11:64108224-64108379:64108224-64108388		2.0627	0.2706	37.5
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	SP140|11262	+	SE	chr2:231110655-231112631:231112780-231113600		2.0596	0.317	81.25
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	CLEC2D|29121	+	SE	chr12:9840682-9845424:9845527-9847356		2.0529	0.3066	62.5
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	MEI1|150365	+	RI	chr22:42189833:42189914-42190375:42190481		2.0505	0.0067	62.5
INFLAMMATORY_RESPONSE_PATHWAY	PRAD	MANEAL|149175	+	SE	chr1:38261518-38262416:38262492-38265239		2.0353	0.0098	31.25
