# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
RIBOSOME	LIHC	EPN2|22905	+	A3	chr17:19235381-19237269:19235381-19238718		3.0545	-0.7114	68.75
RIBOSOME	LIHC	MICALL2|79778	-	A5	chr7:1474308-1474737:1474308-1474742		2.9309	-0.6091	62.5
RIBOSOME	LIHC	NUDT4|11163	+	A3	chr12:93789309-93792544:93789309-93792547		2.4739	0.1613	37.5
RIBOSOME	LIHC	SMARCAL1|50485	+	SE	chr2:217300219-217303143:217303208-217311741		2.3802	-0.5789	50
RIBOSOME	LIHC	ITIH4|3700	-	A3	chr3:52852226-52852273:52852184-52852273		2.3094	0.6955	31.25
RIBOSOME	LIHC	SYNM|23336	+	A3	chr15:99666997-99669572:99666997-99672955		2.2949	-0.6828	62.5
RIBOSOME	LIHC	PNPLA8|50640	-	A3	chr7:108156018-108161920:108155891-108161920		2.2886	-0.6481	50
RIBOSOME	LIHC	CYP2C8|1558	-	A3	chr10:96827448-96828954:96827114-96828954		2.2736	-0.4623	12.5
RIBOSOME	LIHC	NAIF1|203245	-	A5	chr9:130826179-130828870:130826179-130829126		2.264	-0.6701	12.5
RIBOSOME	LIHC	FAM35A|54537	+	SE	chr10:88930731-88935646:88935852-88939832		2.2504	0.7094	25
RIBOSOME	LIHC	ERGIC1|57222	+	A3	chr5:172336764-172341568:172336764-172341717		2.2417	0.6634	31.25
