# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PROTEASOME_DEGRADATION	COAD	LYST|1130	-	SE	chr1:235909827-235910470:235910631-235914510		3.3568	0.6225	62.5
PROTEASOME_DEGRADATION	COAD	FAM38A|9780	-	SE	chr16:88783619-88783945:88784023-88785982		3.2848	0.6342	75
PROTEASOME_DEGRADATION	COAD	SYNM|23336	+	A3	chr15:99666997-99669572:99666997-99672955		2.9963	-0.5182	68.75
PROTEASOME_DEGRADATION	COAD	ASPM|259266	-	SE	chr1:197065294-197069561:197074315-197086919		2.5483	-0.5973	100
PROTEASOME_DEGRADATION	COAD	NUMA1|4926	-	SE	chr11:71721900-71723447:71723488-71723941		2.5406	-0.571	81.25
PROTEASOME_DEGRADATION	COAD	ENPP2|5168	-	A5	chr8:120592407-120594658:120592407-120594670		2.5042	-0.5166	93.75
PROTEASOME_DEGRADATION	COAD	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061	Observed	2.4911	-0.6815	100
PROTEASOME_DEGRADATION	COAD	PLCG1|5335	+	RI	chr20:39802060:39802174-39802292:39802453		2.4859	0.4959	81.25
PROTEASOME_DEGRADATION	COAD	RAF1|5894	-	SE	chr3:12645788-12647700:12647798-12650265		2.4302	-0.4947	62.5
PROTEASOME_DEGRADATION	COAD	PHF3|23469	+	SE	chr6:64390062-64394030:64395812-64401627		2.4139	-0.548	87.5
PROTEASOME_DEGRADATION	COAD	ZFAND1|79752	-	SE	chr8:82627349-82629484:82629523-82630417		2.3908	-0.3141	50
PROTEASOME_DEGRADATION	COAD	ODF2L|57489	-	SE	chr1:86850484-86851141:86851273-86852598		2.2811	-0.0877	50
PROTEASOME_DEGRADATION	COAD	MRRF|92399	+	SE	chr9:125027217-125027741:125028059-125033143		2.2464	-0.3474	62.5
PROTEASOME_DEGRADATION	COAD	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		2.2457	0.328	81.25
PROTEASOME_DEGRADATION	COAD	ORC3L|23595	+	A3	chr6:88375551-88376729:88375551-88376736		2.2421	0.419	81.25
PROTEASOME_DEGRADATION	COAD	ITGA6|3655	+	A5	chr2:173354386-173355752:173354341-173355752		2.2214	-0.5228	75
PROTEASOME_DEGRADATION	COAD	ATXN7L3|56970	-	A3	chr17:42272526-42272787:42272508-42272787		2.2179	0.5073	81.25
PROTEASOME_DEGRADATION	COAD	ZNF791|163049	+	SE	chr19:12721896-12723040:12723179-12734514		2.2156	0.3735	37.5
PROTEASOME_DEGRADATION	COAD	MKNK2|2872	-	A3	chr19:2039855-2040133:2037828-2040133		2.198	-0.4895	87.5
PROTEASOME_DEGRADATION	COAD	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543		2.1916	0.5218	81.25
PROTEASOME_DEGRADATION	COAD	ELN|2006	+	SE	chr7:73461097-73462005:73462046-73462472		2.1898	-0.452	56.25
PROTEASOME_DEGRADATION	COAD	MBNL1|4154	+	A3	chr3:152163328-152165409:152163328-152165514		2.1835	-0.516	50
PROTEASOME_DEGRADATION	COAD	C1orf103|55791	-	SE	chr1:111492745-111493910:111495437-111506243		2.181	-0.4778	87.5
PROTEASOME_DEGRADATION	COAD	HLA-DMB|3109	-	MX	chr6:32902764-32903119:32903154-32904949:32902764-32903313:32903429-32904949		2.1662	-0.3183	37.5
PROTEASOME_DEGRADATION	COAD	SETD5|55209	+	A3	chr3:9486984-9487304:9486984-9487341		2.1458	0.5349	75
PROTEASOME_DEGRADATION	COAD	MFN2|9927	+	SE	chr1:12040541-12042027:12042171-12049222		2.1452	-0.4865	62.5
PROTEASOME_DEGRADATION	COAD	PICALM|8301	-	SE	chr11:85685855-85687666:85687725-85692172		2.13	-0.4996	56.25
PROTEASOME_DEGRADATION	COAD	CSTF3|1479	-	RI	chr11:33162978:33163308-33163431:33163532		2.1243	-0.2422	68.75
