# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSLATION	LIHC	ABCA7|10347	+	A5	chr19:1063898-1064160:1063862-1064160		5.2166	0.3534	50
TRANSLATION	LIHC	MBNL1|4154	+	A3	chr3:152163328-152165409:152163328-152165514		4.3799	-0.725	62.5
TRANSLATION	LIHC	DOCK5|80005	+	SE	chr8:25240294-25246325:25246462-25246607		4.1049	0.6947	68.75
TRANSLATION	LIHC	ZNF532|55205	+	A5	chr18:56646399-56648702:56646387-56648702		4.0182	-0.7239	75
TRANSLATION	LIHC	PLCG1|5335	+	RI	chr20:39802060:39802174-39802292:39802453		3.9649	0.7409	81.25
TRANSLATION	LIHC	SEMA3B|7869	+	A5	chr3:50308612-50308792:50308608-50308792		3.9131	-0.0939	6.25
TRANSLATION	LIHC	LTBP1|4052	+	SE	chr2:33540336-33567905:33568030-33572434		3.8137	-0.7356	75
TRANSLATION	LIHC	DOCK5|80005	+	A3	chr8:25191712-25193755:25191712-25193796		3.7284	-0.6888	75
TRANSLATION	LIHC	WSB1|26118	+	A3	chr17:25633908-25634770:25633908-25636126		3.7093	-0.6532	87.5
TRANSLATION	LIHC	NKTR|4820	+	RI	chr3:42661156:42661200-42662921:42663008		3.6568	0.6408	37.5
TRANSLATION	LIHC	STX16|8675	+	A5	chr20:57227194-57234679:57227143-57234679		3.6559	0.3054	62.5
TRANSLATION	LIHC	MAN2A2|4122	+	SE	chr15:91452734-91453320:91453522-91453731		3.6269	-0.7092	68.75
TRANSLATION	LIHC	ZFP106|64397	-	A3	chr15:42732011-42734271:42731750-42734271		3.5938	-0.7277	62.5
TRANSLATION	LIHC	PLXNB1|5364	-	RI	chr3:48454478:48454578-48455079:48455227		3.5584	0.7284	56.25
TRANSLATION	LIHC	STK4|6789	+	SE	chr20:43610584-43615773:43615937-43623731		3.4978	-0.7025	37.5
TRANSLATION	LIHC	STIM2|57620	+	SE	chr4:27019606-27023116:27023234-27024141		3.3858	0.6791	81.25
TRANSLATION	LIHC	ZFP62|643836	-	RI	chr5:180274611:180275082-180278381:180278493		3.3778	-0.7217	100
TRANSLATION	LIHC	NUFIP2|57532	-	SE	chr17:27594548-27613010:27614734-27620801	Observed	3.3767	-0.7125	50
TRANSLATION	LIHC	ZC3H13|23091	-	A3	chr13:46539567-46541639:46539564-46541639		3.358	0.6617	50
TRANSLATION	LIHC	TNFAIP2|7127	+	SE	chr14:103599209-103599699:103599854-103600019		3.3509	-0.7038	68.75
TRANSLATION	LIHC	TRMT2B|79979	-	SE	chrX:100297301-100306240:100306722-100306806		3.3336	-0.6375	6.25
