# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSLATION	STAD	DSP|1832	+	A5	chr6:7581802-7582875:7580005-7582875	Observed	3.0966	-0.5749	62.5
TRANSLATION	STAD	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977	Observed	2.7023	0.4152	62.5
TRANSLATION	STAD	FN1|2335	-	RI	chr2:216236632:216236738-216236832:216237098	Observed	2.2841	0.5113	81.25
TRANSLATION	STAD	SMARCA1|6594	-	SE	chrX:128626070-128627017:128627052-128630727	Observed	2.1175	-0.2517	18.75
TRANSLATION	STAD	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543	Observed	2.083	0.5748	87.5
TRANSLATION	STAD	SYNE1|23345	-	A3	chr6:152605319-152614723:152605307-152614723	Observed	1.8764	0.351	56.25
TRANSLATION	STAD	AOX1|316	+	SE	chr2:201474137-201476107:201476216-201477332	Observed	1.7542	-0.5111	68.75
TRANSLATION	STAD	IRF7|3665	-	SE	chr11:614037-614174:614399-614476	Observed	1.6026	-0.0255	56.25
TRANSLATION	STAD	C3|718	-	A5	chr19:6685157-6686131:6685157-6686135	Observed	1.5053	0.5345	56.25
TRANSLATION	STAD	NIPBL|25836	+	A5	chr5:37064121-37064629:37064080-37064629	Observed	1.4934	0.4843	81.25
TRANSLATION	STAD	EDNRB|1910	-	A3	chr13:78472469-78473994:78470693-78473994	Observed	1.4102	-0.4573	68.75
TRANSLATION	STAD	TRAPPC2|6399	-	SE	chrX:13738101-13752169:13752304-13752644	Observed	1.3505	-0.221	75
TRANSLATION	STAD	SYNE1|23345	-	SE	chr6:152615262-152621776:152621916-152623004	Observed	1.2052	-0.351	93.75
TRANSLATION	STAD	CARD8|22900	-	SE	chr19:48744320-48752780:48752890-48753008	Observed	1.1994	-0.349	56.25
TRANSLATION	STAD	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061	Observed	1.0266	-0.4713	87.5
TRANSLATION	STAD	ACACA|31	-	SE	chr17:35641871-35646320:35646430-35687113	Observed	1.001	0.0699	56.25
TRANSLATION	STAD	CEACAM1|634	-	SE	chr19:43015072-43015728:43015780-43016502	Observed	1.001	0.0123	68.75
TRANSLATION	STAD	DLG1|1739	-	SE	chr3:196869639-196876614:196876667-196921296	Observed	1.001	-0.1555	68.75
TRANSLATION	STAD	DMPK|1760	-	A3	chr19:46274318-46274608:46274314-46274608	Observed	1.001	-0.4012	75
TRANSLATION	STAD	ELN|2006	+	SE	chr7:73471043-73471970:73472026-73474216	Observed	1.001	-0.314	75
TRANSLATION	STAD	FGFR1|2260	-	RI	chr8:38275746:38275889-38275890:38275891	Observed	1.001	0.2653	62.5
TRANSLATION	STAD	MAPT|4137	+	SE	chr17:44055806-44060544:44061296-44064406	Observed	1.001	-0.2135	68.75
TRANSLATION	STAD	MEN1|4221	-	A5	chr11:64577604-64577740:64577604-64577986	Observed	1.001	-0.1907	56.25
TRANSLATION	STAD	MSH2|4436	+	SE	chr2:47639699-47641408:47641557-47643435	Observed	1.001	-0.3383	68.75
TRANSLATION	STAD	NFASC|23114	+	SE	chr1:204913534-204919685:204919702-204921139	Observed	1.001	-0.362	56.25
TRANSLATION	STAD	NFAT5|10725	+	SE	chr16:69660431-69680420:69680481-69680931	Observed	1.001	0.0413	62.5
TRANSLATION	STAD	NIPBL|25836	+	RI	chr5:37063892:37064121-37064629:37065920	Observed	1.001	-0.2911	68.75
TRANSLATION	STAD	NOS3|4846	+	SE	chr7:150688388-150690841:150691049-150692291	Observed	1.001	-0.248	81.25
TRANSLATION	STAD	PKD2|5311	+	SE	chr4:88977419-88979135:88979255-88983058	Observed	1.001	-0.4502	68.75
TRANSLATION	STAD	PML|5371	+	A3	chr15:74317268-74325497:74317268-74326819	Observed	1.001	0.0139	75
TRANSLATION	STAD	PNPLA8|50640	-	A3	chr7:108156018-108161920:108155891-108161920	Observed	1.001	-0.2205	68.75
TRANSLATION	STAD	RPAIN|84268	+	SE	chr17:5329402-5329556:5329619-5335862	Observed	1.001	-0.0063	56.25
TRANSLATION	STAD	SHC1|6464	-	A5	chr1:154936407-154938019:154936407-154938115	Observed	1.001	-0.4468	62.5
TRANSLATION	STAD	TP53|7157	-	SE	chr17:7573008-7573927:7574033-7576853	Observed	0.005	-0.3893	62.5
