# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MYOGENESIS_PATHWAY	HNSC	BIN1|274	-	SE	chr2:127816731-127818172:127818216-127819691	Observed	6.4041	0.5135	6.25
MYOGENESIS_PATHWAY	HNSC	SLC25A3|5250	+	A5	chr12:98989626-98991634:98989335-98991634		5.9661	-0.5345	25
MYOGENESIS_PATHWAY	HNSC	TNNI1|7135	-	A5	chr1:201384382-201386907:201384382-201386910		5.6594	0.5082	12.5
MYOGENESIS_PATHWAY	HNSC	SVIL|6840	-	SE	chr10:29813644-29815890:29815985-29818634		5.574	0.6084	25
MYOGENESIS_PATHWAY	HNSC	NEB|4703	-	SE	chr2:152349959-152350289:152350381-152350675		5.5495	0.5868	25
MYOGENESIS_PATHWAY	HNSC	SPTB|6710	-	SE	chr14:65216872-65218929:65219033-65220255		5.5452	-0.553	50
MYOGENESIS_PATHWAY	HNSC	LMO7|4008	+	SE	chr13:76378677-76381616:76382335-76383290		5.5364	0.5354	12.5
MYOGENESIS_PATHWAY	HNSC	PXN|5829	-	SE	chr12:120653464-120653733:120653893-120654076		5.3193	-0.5065	43.75
MYOGENESIS_PATHWAY	HNSC	CACNB1|782	-	MX	chr17:37341117-37341384:37341403-37342749:37341117-37342203:37342357-37342749		5.2103	-0.5852	12.5
MYOGENESIS_PATHWAY	HNSC	CORO6|84940	-	A3	chr17:27942875-27942963:27942872-27942963		5.1826	0.6112	75
MYOGENESIS_PATHWAY	HNSC	LRRFIP2|9209	-	SE	chr3:37154471-37156545:37156586-37162983		5.1577	0.4876	25
