# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		8.7954	0.7384	93.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	SLMAP|7871	+	SE	chr3:57908750-57911572:57911661-57913023		7.526	0.6413	68.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		7.3227	0.5983	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	CAST|831	+	SE	chr5:96058402-96062498:96062563-96063193		7.2435	0.5734	68.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	EPB41L1|2036	+	SE	chr20:34785963-34797410:34797820-34800194		6.6674	0.6702	75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	SLK|9748	+	SE	chr10:105768114-105770574:105770666-105777918		6.5422	-0.5714	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		6.5223	0.6655	81.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		6.5041	-0.6247	100
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		6.2071	0.625	93.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	ATP11C|286410	-	SE	chrX:138811121-138813810:138813914-138820075		6.202	-0.4774	75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	LIMCH1|22998	+	SE	chr4:41621457-41640949:41640984-41646517		6.0214	0.5574	75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		5.6932	0.5589	100
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	FGFR1|2260	-	SE	chr8:38285953-38287200:38287466-38314874		5.4846	-0.4711	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	CCDC50|152137	+	SE	chr3:191087825-191092851:191093378-191097948		5.4632	-0.574	75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		5.4095	0.586	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	ADD3|120	+	SE	chr10:111890244-111892063:111892158-111893084		5.2868	-0.4232	81.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	CTNND1|1500	+	SE	chr11:57529518-57556509:57556627-57558857		5.2574	0.4758	81.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		5.1869	-0.417	75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		5.127	-0.5129	81.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		5.019	-0.5142	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		4.9545	-0.3996	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		4.9193	0.5906	68.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		4.9059	-0.4955	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	PRAD	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		4.9008	0.5277	81.25
