# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
SNRNP_ASSEMBLY	THCA	DNM2|1785	+	MX	chr19:10906115-10906737:10906875-10909162:10906115-10908056:10908194-10909162		2.8465	0.473	25
SNRNP_ASSEMBLY	THCA	HNRNPA3|220988	+	A5	chr2:178077599-178080267:178077533-178080267		2.8056	-0.2288	43.75
SNRNP_ASSEMBLY	THCA	HDAC6|10013	+	RI	chrX:48673369:48673458-48673791:48673897		2.753	-0.3637	43.75
SNRNP_ASSEMBLY	THCA	DNM2|1785	+	SE	chr19:10916643-10919245:10919256-10922940		2.7213	0.4667	56.25
SNRNP_ASSEMBLY	THCA	NF2|4771	+	A3	chr22:30077590-30078968:30077590-30079009		2.6497	-0.4826	56.25
SNRNP_ASSEMBLY	THCA	SCRIB|23513	-	RI	chr8:144874655:144874805-144874878:144875037		2.6231	-0.4665	37.5
SNRNP_ASSEMBLY	THCA	HCFC1R1|54985	-	RI	chr16:3073848:3073969-3074182:3074287		2.5012	-0.2891	81.25
SNRNP_ASSEMBLY	THCA	PPFIA3|8541	+	RI	chr19:49653337:49653408-49653514:49654278		2.4711	-0.3653	43.75
SNRNP_ASSEMBLY	THCA	CDV3|55573	+	A3	chr3:133305566-133306006:133305566-133306740		2.4597	0.3825	43.75
SNRNP_ASSEMBLY	THCA	ADPGK|83440	-	A3	chr15:73045236-73047897:73045233-73047897		2.4585	0.326	43.75
SNRNP_ASSEMBLY	THCA	WIZ|58525	-	SE	chr19:15538344-15538921:15539319-15540397		2.4537	-0.2537	68.75
SNRNP_ASSEMBLY	THCA	THTPA|79178	+	A5	chr14:24026248-24027904:24025552-24027904		2.4081	0.3619	62.5
SNRNP_ASSEMBLY	THCA	TCTN2|79867	+	A3	chr12:124156679-124158162:124156679-124158165		2.3636	0.1062	31.25
SNRNP_ASSEMBLY	THCA	TNK2|10188	-	A3	chr3:195594135-195594232:195594129-195594232		2.3337	-0.4487	37.5
SNRNP_ASSEMBLY	THCA	SIX5|147912	-	SE	chr19:46269369-46269608:46270413-46271300		2.324	-0.0556	56.25
SNRNP_ASSEMBLY	THCA	LMAN2L|81562	-	SE	chr2:97400263-97403686:97403804-97405591		2.3205	0.3131	37.5
SNRNP_ASSEMBLY	THCA	KIAA0195|9772	+	RI	chr17:73494525:73494619-73494710:73494803		2.3105	-0.4556	25
SNRNP_ASSEMBLY	THCA	PPP1R7|5510	+	SE	chr2:242089962-242092891:242093019-242097222		2.3022	0.3543	12.5
SNRNP_ASSEMBLY	THCA	CNOT8|9337	+	MX	chr5:154238328-154244752:154244945-154251290:154238328-154250221:154250382-154251290		2.2927	-0.1549	25
SNRNP_ASSEMBLY	THCA	UHRF2|115426	+	SE	chr9:6493932-6495585:6497103-6497198		2.2335	-0.3802	37.5
SNRNP_ASSEMBLY	THCA	ARHGAP39|80728	-	SE	chr8:145759586-145763105:145763197-145770633		2.1991	0.3918	43.75
SNRNP_ASSEMBLY	THCA	PLCH2|9651	+	SE	chr1:2433848-2435056:2435082-2435361		2.1974	-0.3888	31.25
SNRNP_ASSEMBLY	THCA	TRIM13|10206	+	RI	chr13:50571143:50571352-50571803:50571899		2.1847	-0.4069	50
SNRNP_ASSEMBLY	THCA	PHF21A|51317	-	RI	chr11:45991366:45991455-45992667:45992918		2.1845	-0.3658	62.5
SNRNP_ASSEMBLY	THCA	ADCY3|109	-	SE	chr2:25061491-25061716:25061781-25062742		2.1496	-0.0943	37.5
SNRNP_ASSEMBLY	THCA	HMGN1|3150	-	A3	chr21:40719218-40719305:40717884-40719305		2.1484	-0.1527	87.5
SNRNP_ASSEMBLY	THCA	ZNF571|51276	-	SE	chr19:38077646-38085121:38085220-38085642		2.1427	-0.3245	50
SNRNP_ASSEMBLY	THCA	EDC4|23644	+	SE	chr16:67907246-67909641:67909740-67909848		2.139	-0.3325	25
SNRNP_ASSEMBLY	THCA	KIAA0652|9776	+	MX	chr11:46639440-46639875:46639925-46665829:46639440-46651595:46651650-46665829		2.1263	0.1768	18.75
SNRNP_ASSEMBLY	THCA	RABGEF1|27342	+	RI	chr7:66273873:66274377-66274378:66276446		2.1148	-0.483	43.75
SNRNP_ASSEMBLY	THCA	AFAP1L2|84632	-	SE	chr10:116060118-116060204:116060449-116061113		2.1097	0.1268	50
SNRNP_ASSEMBLY	THCA	EIF3B|8662	+	A3	chr7:2419146-2419914:2419146-2419919		2.0963	-0.4531	56.25
SNRNP_ASSEMBLY	THCA	HDAC6|10013	+	RI	chrX:48673082:48673147-48673241:48673300		2.0864	-0.3577	62.5
SNRNP_ASSEMBLY	THCA	ERCC6|2074	-	SE	chr10:50682288-50684261:50684356-50686400		2.0814	0.3919	37.5
SNRNP_ASSEMBLY	THCA	SAPS2|9701	+	A3	chr22:50877191-50878127:50877191-50878130		2.0557	-0.4278	31.25
SNRNP_ASSEMBLY	THCA	ZNF334|55713	-	A5	chr20:45140779-45141179:45140779-45142049		2.0322	-0.0541	31.25
SNRNP_ASSEMBLY	THCA	PLXNB2|23654	-	RI	chr22:50719789:50719928-50719995:50720171		2.0314	-0.4065	25
SNRNP_ASSEMBLY	THCA	PFKL|5211	+	RI	chr21:45739234:45739298-45739967:45740030		2.0305	-0.3971	18.75
SNRNP_ASSEMBLY	THCA	PAPLN|89932	+	SE	chr14:73717738-73718194:73718274-73718372		1.9977	-0.0315	18.75
SNRNP_ASSEMBLY	THCA	CLIP4|79745	+	A5	chr2:29380268-29383199:29380213-29383199		1.9874	-0.382	56.25
SNRNP_ASSEMBLY	THCA	ATP2B4|493	+	SE	chr1:203691817-203693009:203693116-203696523		1.9673	0.369	56.25
SNRNP_ASSEMBLY	THCA	LILRB1|10859	+	SE	chr19:55146214-55146555:55146630-55146710		1.9636	-0.01	31.25
SNRNP_ASSEMBLY	THCA	KIAA0895L|653319	-	A3	chr16:67212010-67212102:67212000-67212102		1.9608	-0.3153	25
SNRNP_ASSEMBLY	THCA	RASGEF1B|153020	-	SE	chr4:82377942-82378653:82378775-82380486		1.9517	0.2692	37.5
SNRNP_ASSEMBLY	THCA	CFD|1675	+	A5	chr19:859765-860617:859744-860617		1.9493	0.2356	75
SNRNP_ASSEMBLY	THCA	THTPA|79178	+	A5	chr14:24026513-24027904:24025552-24027904		1.9452	0.4069	50
SNRNP_ASSEMBLY	THCA	SACS|26278	-	SE	chr13:23942626-23945217:23945304-23949258		1.9445	0.0916	31.25
SNRNP_ASSEMBLY	THCA	ENTPD4|9583	-	A5	chr8:23297428-23299082:23297428-23299106		1.9325	-0.1846	56.25
SNRNP_ASSEMBLY	THCA	HNRNPU|3192	-	A5	chr1:245026032-245026919:245026032-245026976		1.9182	-0.3264	50
SNRNP_ASSEMBLY	THCA	SYTL2|54843	-	SE	chr11:85420543-85422156:85422275-85425456		1.9147	0.2726	43.75
SNRNP_ASSEMBLY	THCA	LRRC16B|90668	+	SE	chr14:24534482-24534831:24534959-24535607		1.9113	0.283	43.75
SNRNP_ASSEMBLY	THCA	SULF2|55959	-	SE	chr20:46287136-46288143:46288196-46288441		1.907	0.0227	62.5
SNRNP_ASSEMBLY	THCA	SFXN5|94097	-	SE	chr2:73172228-73188260:73188377-73195577		1.9062	0.2252	37.5
SNRNP_ASSEMBLY	THCA	TMEM104|54868	+	A3	chr17:72815982-72832066:72815982-72835026		1.9044	0.332	43.75
SNRNP_ASSEMBLY	THCA	RANBP10|57610	-	A3	chr16:67762504-67763183:67762414-67763183		1.8997	-0.1568	18.75
SNRNP_ASSEMBLY	THCA	EPB41L2|2037	-	A5	chr6:131188721-131190703:131188721-131190952		1.8972	-0.3004	37.5
SNRNP_ASSEMBLY	THCA	AK5|26289	+	A3	chr1:77752812-77759478:77752812-77759550		1.8962	-0.1174	6.25
SNRNP_ASSEMBLY	THCA	LOC400931|400931	+	SE	chr22:46494438-46499072:46499129-46505147		1.8941	0.0052	37.5
SNRNP_ASSEMBLY	THCA	P4HB|5034	-	A3	chr17:79804948-79805119:79804888-79805119		1.8782	0.4108	43.75
SNRNP_ASSEMBLY	THCA	UNC45A|55898	+	RI	chr15:91492884:91492950-91493384:91493497		1.8731	-0.3776	43.75
SNRNP_ASSEMBLY	THCA	ECD|11319	-	SE	chr10:74912179-74914014:74914206-74916033		1.8712	0.1531	31.25
SNRNP_ASSEMBLY	THCA	SCAP|22937	-	A3	chr3:47459316-47459624:47459313-47459624		1.8706	0.4507	50
SNRNP_ASSEMBLY	THCA	LOC221442|221442	+	SE	chr6:41089213-41089525:41089682-41090716		1.8583	-0.008	62.5
SNRNP_ASSEMBLY	THCA	ERCC6|2074	-	SE	chr10:50691562-50696204:50696425-50701163		1.8557	-0.3975	37.5
SNRNP_ASSEMBLY	THCA	DEF6|50619	+	RI	chr6:35285950:35286140-35286216:35286248		1.852	-0.2391	43.75
SNRNP_ASSEMBLY	THCA	PAK4|10298	+	SE	chr19:39616559-39658870:39658942-39660172		1.8463	0.3343	43.75
SNRNP_ASSEMBLY	THCA	CDKN1C|1028	-	A5	chr11:2905364-2905900:2905364-2906432		1.8441	-0.2013	37.5
SNRNP_ASSEMBLY	THCA	MEMO1|51072	-	SE	chr2:32168452-32235256:32235333-32236011		1.8357	0.2211	43.75
SNRNP_ASSEMBLY	THCA	ADAL|161823	+	SE	chr15:43623057-43624098:43624198-43625509		1.8348	0.3985	56.25
SNRNP_ASSEMBLY	THCA	PSRC1|84722	-	RI	chr1:109823399:109823668-109823759:109823873		1.827	-0.1728	50
SNRNP_ASSEMBLY	THCA	SENP5|205564	+	SE	chr3:196630481-196650285:196650422-196654667		1.8249	0.3885	31.25
SNRNP_ASSEMBLY	THCA	AFG3L1|172	+	A5	chr16:90048331-90050939:90048326-90050939		1.8131	-0.1724	31.25
SNRNP_ASSEMBLY	THCA	RAB17|64284	-	SE	chr2:238486025-238486647:238486798-238494641		1.8112	0.111	31.25
SNRNP_ASSEMBLY	THCA	C19orf60|55049	+	A3	chr19:18699887-18700223:18699887-18700289		1.8094	-0.1779	43.75
SNRNP_ASSEMBLY	THCA	MYO6|4646	+	SE	chr6:76618344-76621389:76621415-76623780		1.8084	0.3983	50
SNRNP_ASSEMBLY	THCA	TNFSF13|8741	+	A3	chr17:7462614-7463165:7462614-7463168		1.8043	-0.0295	43.75
SNRNP_ASSEMBLY	THCA	CIZ1|25792	-	SE	chr9:130948055-130950142:130950213-130952608		1.8012	0.2442	31.25
SNRNP_ASSEMBLY	THCA	ZNF385A|25946	-	SE	chr12:54764880-54765257:54765499-54767757		1.7994	0.3431	37.5
SNRNP_ASSEMBLY	THCA	PPP4C|5531	+	A5	chr16:30087421-30087636:30087415-30087636		1.7871	-0.1823	50
SNRNP_ASSEMBLY	THCA	SFRS2|6427	-	A5	chr17:74732546-74732881:74732546-74732917		1.7756	-0.2505	18.75
SNRNP_ASSEMBLY	THCA	MED12|9968	+	A5	chrX:70357242-70357408:70357233-70357408		1.7694	-0.3234	50
SNRNP_ASSEMBLY	THCA	ZNF141|7700	+	RI	chr4:331596:331694-331695:331775		1.7675	-0.4236	43.75
SNRNP_ASSEMBLY	THCA	PIGN|23556	-	SE	chr18:59828618-59829486:59829562-59830764		1.7627	0.2462	43.75
SNRNP_ASSEMBLY	THCA	EML5|161436	-	A3	chr14:89129463-89130837:89129458-89130837		1.7604	0.0801	18.75
SNRNP_ASSEMBLY	THCA	HAUS3|79441	-	SE	chr4:2242820-2243247:2243517-2243778		1.7591	-0.1466	43.75
SNRNP_ASSEMBLY	THCA	TOMM20|9804	-	SE	chr1:235275423-235277083:235277225-235283133		1.7551	0.2708	6.25
SNRNP_ASSEMBLY	THCA	MGAT4C|25834	-	SE	chr12:86383330-86416227:86416322-86443452		1.7529	-0.2593	6.25
SNRNP_ASSEMBLY	THCA	MAPKAPK3|7867	+	A5	chr3:50654672-50654945:50654657-50654945		1.7521	0.1726	62.5
SNRNP_ASSEMBLY	THCA	MST4|51765	+	SE	chrX:131202597-131203506:131203691-131205097		1.743	0.3337	62.5
SNRNP_ASSEMBLY	THCA	ANK3|288	-	SE	chr10:61898845-61926349:61926411-61926582		1.7373	0.0105	37.5
