# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
T_CELL_ACTIVATION	COAD	BIN2|51411	-	SE	chr12:51693498-51695804:51695899-51696470		5.0051	0.7645	100
T_CELL_ACTIVATION	COAD	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		4.6705	-0.5993	100
T_CELL_ACTIVATION	COAD	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		4.4831	0.7812	81.25
T_CELL_ACTIVATION	COAD	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		4.1904	0.7203	100
T_CELL_ACTIVATION	COAD	BIN2|51411	-	A5	chr12:51693498-51695804:51693498-51696470		3.9338	0.7006	62.5
T_CELL_ACTIVATION	COAD	AOAH|313	-	SE	chr7:36713614-36726304:36726399-36763627		3.7955	0.7014	87.5
T_CELL_ACTIVATION	COAD	PDE4DIP|9659	-	A5	chr1:144881622-144882446:144881622-144882776		3.6932	-0.6577	56.25
T_CELL_ACTIVATION	COAD	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		3.5611	-0.714	100
T_CELL_ACTIVATION	COAD	TTN|7273	-	SE	chr2:179392034-179392173:179392475-179393001		3.5313	-0.5121	93.75
T_CELL_ACTIVATION	COAD	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		3.4085	0.5928	93.75
T_CELL_ACTIVATION	COAD	PTPRC|5788	+	SE	chr1:198668833-198671516:198671659-198672427	Observed	3.4057	0.4376	81.25
T_CELL_ACTIVATION	COAD	LAG3|3902	+	RI	chr12:6886957:6887087-6887410:6887619		3.3189	-0.4609	81.25
T_CELL_ACTIVATION	COAD	PDE4DIP|9659	-	SE	chr1:144868172-144871696:144871881-144873877		3.2647	-0.6577	43.75
T_CELL_ACTIVATION	COAD	PPP1R16B|26051	+	SE	chr20:37531435-37534612:37534737-37535622		3.1109	0.5434	62.5
T_CELL_ACTIVATION	COAD	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		3.0636	0.5928	93.75
T_CELL_ACTIVATION	COAD	IL16|3603	+	A3	chr15:81598507-81598761:81598507-81598764		2.9723	-0.5331	68.75
