# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
NFKB_PATHWAY	ESCA	ARRB2|409	+	SE	chr17:4614039-4618308:4618338-4619268		2.9894	-0.3478	50
NFKB_PATHWAY	ESCA	CLEC2D|29121	+	SE	chr12:9840682-9845424:9845527-9847356		2.9001	0.2847	68.75
NFKB_PATHWAY	ESCA	CLEC7A|64581	-	SE	chr12:10275962-10277686:10277772-10277896		2.7949	0.2359	43.75
NFKB_PATHWAY	ESCA	USP45|85015	-	SE	chr6:99891538-99893673:99894339-99912480		2.668	0.3177	37.5
NFKB_PATHWAY	ESCA	BTBD9|114781	-	SE	chr6:38565897-38580610:38580809-38607576		2.6103	0.2963	43.75
NFKB_PATHWAY	ESCA	HDHD3|81932	-	A3	chr9:116137847-116139009:116137806-116139009		2.4124	-0.2196	43.75
NFKB_PATHWAY	ESCA	NAP1L1|4673	-	SE	chr12:76454059-76467983:76468019-76478347		2.4023	0.2695	43.75
NFKB_PATHWAY	ESCA	SENP7|57337	-	SE	chr3:101117899-101136437:101136634-101177799		2.3654	-0.1727	31.25
NFKB_PATHWAY	ESCA	GMPR2|51292	+	RI	chr14:24707452:24707611-24707795:24708445		2.3143	0.2524	6.25
NFKB_PATHWAY	ESCA	ZNF295|49854	-	SE	chr21:43423070-43429576:43429706-43430361		2.294	0.194	6.25
NFKB_PATHWAY	ESCA	PLEKHG1|57480	+	SE	chr6:150921153-150971864:150971922-151054720		2.2792	-0.3474	12.5
NFKB_PATHWAY	ESCA	SLC37A2|219855	+	SE	chr11:124953773-124954130:124954215-124954721		2.1884	0.2001	62.5
NFKB_PATHWAY	ESCA	FBXW10|10517	+	SE	chr17:18675996-18678449:18678505-18681791		2.167	-0.2097	6.25
NFKB_PATHWAY	ESCA	LOC100190938|100190938	-	A3	chr17:40912531-40912653:40912527-40912653		2.1262	-0.1443	18.75
NFKB_PATHWAY	ESCA	MED20|9477	-	SE	chr6:41875025-41877083:41877260-41884523		2.1115	-0.1877	31.25
NFKB_PATHWAY	ESCA	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225		2.0643	0.2968	75
NFKB_PATHWAY	ESCA	KIAA1191|57179	-	MX	chr5:175782752-175786484:175786570-175788605:175782752-175786814:175786921-175788605		2.0474	0.2763	62.5
NFKB_PATHWAY	ESCA	PFN2|5217	-	A3	chr3:149684373-149686145:149684051-149686145		2.0433	-0.3025	37.5
NFKB_PATHWAY	ESCA	CAMTA2|23125	-	SE	chr17:4885126-4885384:4885522-4886052		2.0223	0.2513	43.75
NFKB_PATHWAY	ESCA	CACNA2D2|9254	-	RI	chr3:50402319:50402401-50402506:50402615		2.0035	0.1188	62.5
NFKB_PATHWAY	ESCA	SEPSECS|51091	-	SE	chr4:25158596-25160575:25160729-25161878		2.0034	0.0068	56.25
NFKB_PATHWAY	ESCA	C10orf137|26098	+	SE	chr10:127414407-127417572:127417673-127417927		2.002	-0.1507	37.5
NFKB_PATHWAY	ESCA	TMEM51|55092	+	SE	chr1:15480450-15536986:15537058-15541391		1.9873	-0.2036	37.5
NFKB_PATHWAY	ESCA	PMS1|5378	+	A5	chr2:190728954-190732525:190728841-190732525		1.9767	0.3225	43.75
NFKB_PATHWAY	ESCA	ERBB2|2064	+	SE	chr17:37851434-37855790:37855840-37863243		1.9599	-0.2227	31.25
NFKB_PATHWAY	ESCA	TACC1|6867	+	SE	chr8:38586189-38677040:38678153-38682826		1.9526	0.2108	6.25
NFKB_PATHWAY	ESCA	CLCC1|23155	-	A3	chr1:109493070-109505983:109493060-109505983		1.9471	-0.0126	56.25
NFKB_PATHWAY	ESCA	TSC22D4|81628	-	A3	chr7:100075827-100076417:100075082-100076417		1.9343	0.2842	56.25
NFKB_PATHWAY	ESCA	FAM20A|54757	-	A3	chr17:66537124-66538126:66537099-66538126		1.9286	0.1691	43.75
NFKB_PATHWAY	ESCA	SCAMP1|9522	+	SE	chr5:77717784-77745757:77745857-77755068		1.9283	0.2082	37.5
NFKB_PATHWAY	ESCA	PTPRZ1|5803	+	SE	chr7:121671613-121674149:121674169-121674336		1.9147	-0.0972	18.75
NFKB_PATHWAY	ESCA	PHKA2|5256	-	SE	chrX:18915451-18917267:18917344-18918788		1.9129	-0.3775	68.75
NFKB_PATHWAY	ESCA	LOC375190|375190	+	RI	chr2:24387068:24387176-24387179:24387204		1.9038	0.1754	50
NFKB_PATHWAY	ESCA	RAB11FIP1|80223	-	A5	chr8:37735069-37756589:37735069-37756822		1.8996	0.3222	6.25
NFKB_PATHWAY	ESCA	EIF4G3|8672	-	SE	chr1:21231464-21267984:21268823-21276496		1.8894	0.3332	37.5
NFKB_PATHWAY	ESCA	GJB6|10804	-	SE	chr13:20803888-20804837:20804952-20805521		1.8785	0.2556	18.75
NFKB_PATHWAY	ESCA	DST|667	-	SE	chr6:56330993-56333780:56333797-56334681		1.8769	0.306	31.25
NFKB_PATHWAY	ESCA	ESYT3|83850	+	A5	chr3:138187727-138188278:138187723-138188278		1.8596	0.1314	12.5
NFKB_PATHWAY	ESCA	CCDC84|338657	+	A5	chr11:118882021-118882649:118881993-118882649		1.8578	0.2784	25
NFKB_PATHWAY	ESCA	WDR25|79446	+	A5	chr14:100842841-100847247:100842832-100847247		1.8268	-0.1479	37.5
NFKB_PATHWAY	ESCA	SYNE1|23345	-	SE	chr6:152464900-152466622:152466690-152469180		1.8146	0.0414	37.5
NFKB_PATHWAY	ESCA	PRTFDC1|56952	-	SE	chr10:25138820-25140317:25140393-25144247		1.8082	-0.0379	25
NFKB_PATHWAY	ESCA	PPFIA3|8541	+	SE	chr19:49649262-49649423:49649449-49651340		1.8058	0.2396	12.5
NFKB_PATHWAY	ESCA	SLC34A3|142680	+	A3	chr9:140127155-140127208:140127155-140127236		1.8048	-0.0012	37.5
NFKB_PATHWAY	ESCA	COASY|80347	+	A3	chr17:40714237-40714374:40714237-40714951		1.7851	0.1242	12.5
NFKB_PATHWAY	ESCA	KCTD17|79734	+	SE	chr22:37456962-37457144:37457215-37457579		1.7681	-0.2042	50
NFKB_PATHWAY	ESCA	NAP1L1|4673	-	SE	chr12:76454059-76461151:76461253-76467983		1.7639	-0.2037	56.25
NFKB_PATHWAY	ESCA	DAGLB|221955	-	A5	chr7:6472590-6474393:6472590-6474425		1.7539	0.102	37.5
NFKB_PATHWAY	ESCA	RHOT1|55288	+	SE	chr17:30536464-30538135:30538257-30551635		1.7447	0.0449	50
NFKB_PATHWAY	ESCA	CARD14|79092	+	A5	chr17:78178150-78178834:78178140-78178834	Observed	1.7345	0.0167	37.5
NFKB_PATHWAY	ESCA	APTX|54840	-	SE	chr9:32987729-32988081:32988127-32989757		1.7342	0.1622	43.75
NFKB_PATHWAY	ESCA	OSR2|116039	+	A3	chr8:99962983-99963747:99962983-99963829		1.7341	-0.0213	37.5
NFKB_PATHWAY	ESCA	CEP55|55165	+	A5	chr10:95256680-95259797:95256538-95259797		1.734	0.2358	43.75
NFKB_PATHWAY	ESCA	PLD3|23646	+	SE	chr19:40854675-40871625:40871837-40872326		1.7332	0.0827	62.5
NFKB_PATHWAY	ESCA	ARAP1|116985	-	SE	chr11:72399582-72403798:72403830-72404370		1.7332	0.1286	31.25
NFKB_PATHWAY	ESCA	UBAP2L|9898	+	SE	chr1:154241430-154241838:154241888-154242676		1.7332	-0.1737	62.5
NFKB_PATHWAY	ESCA	CBX7|23492	-	A3	chr22:39530757-39534641:39530478-39534641		1.7325	0.2854	56.25
NFKB_PATHWAY	ESCA	ATP2A2|488	+	RI	chr12:110784006:110784126-110788097:110788895		1.7292	-0.2653	25
NFKB_PATHWAY	ESCA	GRINL1A|81488	+	A5	chr15:57999339-58000912:57999153-58000912		1.7286	0.3043	31.25
NFKB_PATHWAY	ESCA	EIF4G3|8672	-	MX	chr1:21231464-21267984:21268823-21295967:21231464-21276496:21276604-21295967		1.7283	0.0846	18.75
NFKB_PATHWAY	ESCA	KCNK7|10089	-	RI	chr11:65360327:65360681-65360947:65361345		1.7282	-0.078	31.25
NFKB_PATHWAY	ESCA	IL12RB1|3594	-	A5	chr19:18170423-18170704:18170423-18170717		1.7273	-0.0572	50
NFKB_PATHWAY	ESCA	TTC39A|22996	-	A3	chr1:51775102-51776926:51774997-51776926		1.7251	0.0096	18.75
NFKB_PATHWAY	ESCA	NEIL2|252969	+	RI	chr8:11627172:11627300-11627683:11627844		1.7232	0.0939	43.75
NFKB_PATHWAY	ESCA	MMP23B|8510	+	A3	chr1:1568292-1568360:1568292-1568567		1.7218	0.01	56.25
NFKB_PATHWAY	ESCA	CMTM3|123920	+	A5	chr16:66638458-66638634:66638352-66638634		1.7142	0.0873	25
NFKB_PATHWAY	ESCA	AFG3L1|172	+	A3	chr16:90039173-90044013:90039173-90044047		1.7004	0.0342	56.25
NFKB_PATHWAY	ESCA	PHACTR4|65979	+	SE	chr1:28733974-28784343:28784370-28785596		1.6971	0.34	31.25
NFKB_PATHWAY	ESCA	ALS2CR8|79800	+	SE	chr2:203782766-203807463:203807690-203817282		1.6872	0.2637	18.75
NFKB_PATHWAY	ESCA	CCL20|6364	+	A3	chr2:228678703-228680170:228678703-228680173		1.6869	0.1226	43.75
NFKB_PATHWAY	ESCA	COASY|80347	+	A3	chr17:40714237-40714630:40714237-40714951		1.6843	0.2351	43.75
NFKB_PATHWAY	ESCA	PTK6|5753	-	A3	chr20:62166412-62168438:62165668-62168438		1.6836	-0.0503	31.25
NFKB_PATHWAY	ESCA	HCLS1|3059	-	SE	chr3:121355336-121355993:121356103-121361774		1.6802	0.1405	25
NFKB_PATHWAY	ESCA	CCDC125|202243	-	SE	chr5:68581294-68588015:68588189-68590620		1.6797	-0.0582	43.75
NFKB_PATHWAY	ESCA	POC1B|282809	-	SE	chr12:89885892-89890948:89891119-89918897		1.6779	-0.0247	43.75
NFKB_PATHWAY	ESCA	MSH5|4439	+	A5	chr6:31707997-31708231:31707839-31708231		1.677	-0.1154	43.75
NFKB_PATHWAY	ESCA	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		1.6757	0.14	93.75
NFKB_PATHWAY	ESCA	CPEB4|80315	+	SE	chr5:173359503-173370029:173370052-173371970		1.6752	0.0426	62.5
NFKB_PATHWAY	ESCA	MYO5A|4644	-	SE	chr15:52632591-52635314:52635394-52638558		1.6739	0.2866	75
NFKB_PATHWAY	ESCA	ADAM15|8751	+	MX	chr1:155033308-155033891:155033965-155034721:155033308-155034380:155034593-155034721		1.6711	-0.197	56.25
NFKB_PATHWAY	ESCA	RBBP8|5932	+	A5	chr18:20514227-20516717:20514122-20516717		1.6704	0.0708	37.5
NFKB_PATHWAY	ESCA	C15orf44|81556	-	SE	chr15:65897574-65899640:65899780-65903436		1.6695	0.0209	25
