# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MRNA_PROCESSING	ESCA	EPB41|2035	+	SE	chr1:29379824-29386934:29386996-29391494		4.5321	0.5195	68.75
MRNA_PROCESSING	ESCA	OSBPL9|114883	+	SE	chr1:52215867-52221992:52222030-52226362		4.2686	-0.545	56.25
MRNA_PROCESSING	ESCA	PEG3|5178	-	A3	chr19:57329206-57329968:57329203-57329968		3.4056	-0.3461	37.5
MRNA_PROCESSING	ESCA	NCOA1|8648	+	A3	chr2:24991004-24991090:24991004-24991093		3.1487	-0.4354	50
MRNA_PROCESSING	ESCA	SMARCC2|6601	-	SE	chr12:56557549-56558087:56558152-56558432		3.1458	0.4474	56.25
MRNA_PROCESSING	ESCA	CC2D2A|57545	+	SE	chr4:15480430-15480843:15480952-15482328		3.0103	0.3161	43.75
MRNA_PROCESSING	ESCA	ATP2A3|489	-	MX	chr17:3828735-3831275:3831332-3831957:3828735-3831521:3831621-3831957		2.9279	0.319	12.5
MRNA_PROCESSING	ESCA	DIAPH1|1729	-	SE	chr5:140966764-140967791:140967817-140998365		2.8977	0.4087	37.5
MRNA_PROCESSING	ESCA	DOCK8|81704	+	A5	chr9:368300-370230:368135-370230		2.7618	0.3587	50
MRNA_PROCESSING	ESCA	EFCAB4A|283229	+	SE	chr11:830713-830866:831032-831224		2.7451	-0.3806	31.25
MRNA_PROCESSING	ESCA	TJP1|7082	-	SE	chr15:30011342-30011981:30012220-30012562		2.6301	-0.3987	50
MRNA_PROCESSING	ESCA	PRUNE2|158471	-	A3	chr9:79259828-79267399:79259825-79267399		2.6291	0.3837	56.25
MRNA_PROCESSING	ESCA	ECM2|1842	-	A3	chr9:95264934-95267815:95264872-95267815		2.6184	-0.4692	56.25
MRNA_PROCESSING	ESCA	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52592265		2.6092	0.363	50
MRNA_PROCESSING	ESCA	ZMIZ1|57178	+	SE	chr10:81067328-81070681:81070941-81072399		2.5637	-0.4429	37.5
MRNA_PROCESSING	ESCA	MIB2|142678	+	SE	chr1:1561033-1562030:1562134-1562217		2.5263	-0.1665	43.75
MRNA_PROCESSING	ESCA	PARD3|56288	-	A5	chr10:34625171-34626206:34625171-34626293		2.5241	0.4145	62.5
MRNA_PROCESSING	ESCA	TPM1|7168	+	MX	chr15:63335142-63335905:63336030-63349184:63335142-63336226:63336351-63349184		2.5238	-0.4006	43.75
MRNA_PROCESSING	ESCA	DPP8|54878	-	MX	chr15:65744440-65746601:65746753-65756099:65744440-65748563:65748709-65756099		2.5123	0.3754	43.75
MRNA_PROCESSING	ESCA	MIB2|142678	+	SE	chr1:1564691-1564765:1564946-1565019		2.5037	-0.3548	12.5
MRNA_PROCESSING	ESCA	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543		2.4981	0.4799	56.25
MRNA_PROCESSING	ESCA	ITGA7|3679	-	SE	chr12:56088479-56088562:56088754-56089306		2.4664	-0.4631	68.75
MRNA_PROCESSING	ESCA	PDLIM7|9260	-	MX	chr5:176918147-176918405:176918421-176919406:176918147-176918808:176918926-176919406		2.4142	-0.4145	43.75
MRNA_PROCESSING	ESCA	ATP2B4|493	+	A5	chr1:203702528-203708674:203702458-203708674		2.3986	-0.3972	50
MRNA_PROCESSING	ESCA	ABI3BP|25890	-	SE	chr3:100513847-100515253:100515312-100523636		2.3519	-0.4532	75
MRNA_PROCESSING	ESCA	GNB3|2784	+	A5	chr12:6952862-6952941:6952859-6952941		2.3394	-0.3216	37.5
MRNA_PROCESSING	ESCA	UIMC1|51720	-	SE	chr5:176385155-176396602:176396707-176397743		2.3344	0.0196	25
MRNA_PROCESSING	ESCA	C2orf67|151050	-	SE	chr2:210894642-210896145:210896270-210905144		2.2877	-0.3595	37.5
MRNA_PROCESSING	ESCA	ARFIP1|27236	+	SE	chr4:153784866-153791905:153792000-153793604		2.2816	-0.3684	68.75
MRNA_PROCESSING	ESCA	PRDX5|25824	+	SE	chr11:64085858-64087206:64087340-64088337		2.2756	0.1965	18.75
MRNA_PROCESSING	ESCA	GPR114|221188	+	SE	chr16:57602036-57604330:57604447-57608727		2.2645	-0.2411	37.5
MRNA_PROCESSING	ESCA	NCOA1|8648	+	SE	chr2:24981025-24985556:24985645-24990948		2.2002	-0.4219	43.75
MRNA_PROCESSING	ESCA	ST3GAL1|6482	-	RI	chr8:134487962:134488317-134488521:134488843		2.1877	-0.3709	50
MRNA_PROCESSING	ESCA	NCEH1|57552	-	SE	chr3:172363482-172365676:172365904-172428637		2.1606	-0.3707	37.5
MRNA_PROCESSING	ESCA	RREB1|6239	+	SE	chr6:7240835-7246657:7247454-7248744		2.1515	-0.3433	75
MRNA_PROCESSING	ESCA	NCOA1|8648	+	MX	chr2:24981025-24985556:24985645-24991093:24981025-24990948:24991004-24991093		2.1261	-0.3718	31.25
MRNA_PROCESSING	ESCA	SKA3|221150	-	SE	chr13:21746643-21746759:21746820-21750514		2.0842	0.125	43.75
MRNA_PROCESSING	ESCA	ACOT9|23597	-	SE	chrX:23751334-23754036:23754133-23761242		2.0834	-0.2393	31.25
MRNA_PROCESSING	ESCA	SORBS2|8470	-	A3	chr4:186599701-186599950:186599632-186599950		2.0821	0.3395	62.5
MRNA_PROCESSING	ESCA	KIF7|374654	-	A3	chr15:90193275-90195834:90193172-90195834		2.0765	0.2169	37.5
MRNA_PROCESSING	ESCA	ELN|2006	+	SE	chr7:73471043-73471970:73472026-73474216		2.0357	-0.4963	50
MRNA_PROCESSING	ESCA	WSCD1|23302	+	SE	chr17:5984405-5991310:5991424-5993641		2.0196	-0.4411	37.5
MRNA_PROCESSING	ESCA	ATP8A1|10396	-	SE	chr4:42467093-42487513:42487685-42505467		2.0077	-0.4222	62.5
MRNA_PROCESSING	ESCA	KIAA0182|23199	+	SE	chr16:85647004-85667520:85667738-85682158		2.0039	-0.1506	37.5
MRNA_PROCESSING	ESCA	CEACAM5|1048	+	A3	chr19:42231272-42233104:42231272-42233130		2.0015	0.2059	12.5
MRNA_PROCESSING	ESCA	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		1.9783	-0.456	62.5
MRNA_PROCESSING	ESCA	HERC6|55008	+	SE	chr4:89319361-89326028:89326149-89326706		1.9769	-0.2758	37.5
MRNA_PROCESSING	ESCA	EYA2|2139	+	SE	chr20:45725807-45771698:45771787-45797787		1.9684	-0.2291	37.5
MRNA_PROCESSING	ESCA	ZEB1|6935	+	SE	chr10:31608221-31749966:31750166-31784708		1.9614	-0.4315	50
MRNA_PROCESSING	ESCA	TDRD7|23424	+	SE	chr9:100235908-100237665:100237751-100240721		1.9558	-0.3292	31.25
MRNA_PROCESSING	ESCA	LAIR1|3903	-	A3	chr19:54872816-54875902:54872813-54875902		1.9524	-0.0503	31.25
MRNA_PROCESSING	ESCA	ABI3BP|25890	-	SE	chr3:100499053-100506572:100506646-100508298		1.9473	0.4114	50
MRNA_PROCESSING	ESCA	LDB2|9079	-	A3	chr4:16504754-16510158:16504496-16510158		1.9443	-0.1984	50
MRNA_PROCESSING	ESCA	FMNL3|91010	-	SE	chr12:50039686-50040422:50040536-50040669		1.9319	0.3227	56.25
MRNA_PROCESSING	ESCA	SDCCAG8|10806	+	SE	chr1:243449699-243456393:243456521-243468015		1.9252	-0.3443	56.25
MRNA_PROCESSING	ESCA	ELN|2006	+	SE	chr7:73461097-73462005:73462046-73462472		1.9161	-0.391	68.75
MRNA_PROCESSING	ESCA	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		1.9144	-0.3655	43.75
MRNA_PROCESSING	ESCA	SAPS3|55291	+	SE	chr11:68331900-68334467:68334634-68337216		1.9088	0.2859	37.5
MRNA_PROCESSING	ESCA	KLHL2|11275	+	SE	chr4:166220808-166226760:166226877-166231705		1.9031	-0.3289	37.5
MRNA_PROCESSING	ESCA	FAIM2|23017	-	SE	chr12:50282985-50283264:50283351-50283900		1.8945	-0.2538	31.25
MRNA_PROCESSING	ESCA	ADAM15|8751	+	SE	chr1:155033965-155034380:155034451-155034721		1.8935	-0.3255	43.75
MRNA_PROCESSING	ESCA	OCRL|4952	+	SE	chrX:128722990-128723822:128723933-128724123		1.8862	-0.3862	62.5
MRNA_PROCESSING	ESCA	GGT5|2687	-	SE	chr22:24628986-24629466:24629561-24629842		1.8817	-0.1807	37.5
MRNA_PROCESSING	ESCA	AEBP1|165	+	A5	chr7:44151371-44151453:44151229-44151453		1.8733	0.413	43.75
MRNA_PROCESSING	ESCA	IRF4|3662	+	A3	chr6:395935-397108:395935-397111		1.873	-0.2889	43.75
MRNA_PROCESSING	ESCA	ATAD2B|54454	-	A5	chr2:24005898-24008897:24005898-24008912		1.8728	-0.2411	31.25
MRNA_PROCESSING	ESCA	CD209|30835	-	A5	chr19:7809978-7810404:7809978-7810680		1.8725	-0.1431	31.25
MRNA_PROCESSING	ESCA	GFRA2|2675	-	SE	chr8:21632567-21640097:21640411-21645632		1.8703	-0.3045	25
MRNA_PROCESSING	ESCA	ROBO2|6092	+	SE	chr3:77572053-77576554:77576565-77595489		1.8682	-0.2558	37.5
MRNA_PROCESSING	ESCA	ST6GALNAC3|256435	+	SE	chr1:76878102-77093137:77093244-77094305		1.8672	-0.4094	62.5
MRNA_PROCESSING	ESCA	NIN|51199	-	A5	chr14:51221350-51221460:51221350-51221463		1.8586	-0.2407	50
MRNA_PROCESSING	ESCA	CBFA2T3|863	-	SE	chr16:88958893-88964486:88964560-88967912		1.8573	-0.3982	43.75
MRNA_PROCESSING	ESCA	TLE2|7089	-	A3	chr19:3019464-3019697:3019461-3019697		1.8514	-0.062	56.25
MRNA_PROCESSING	ESCA	ALPL|249	+	SE	chr1:21836010-21880471:21880635-21887119		1.8346	-0.0663	56.25
MRNA_PROCESSING	ESCA	KLHL2|11275	+	SE	chr4:166239121-166242464:166242527-166243184		1.8313	0.329	43.75
MRNA_PROCESSING	ESCA	FN1|2335	-	SE	chr2:216236738-216236832:216237023-216238045		1.831	0.439	43.75
MRNA_PROCESSING	ESCA	ZNF615|284370	-	SE	chr19:52505534-52506950:52507153-52511394		1.8274	-0.2849	37.5
MRNA_PROCESSING	ESCA	SMC2|10592	+	A3	chr9:106856758-106857563:106856758-106857580		1.8256	-0.21	12.5
MRNA_PROCESSING	ESCA	RPL23AP7|118433	-	SE	chr2:114383306-114384055:114384148-114384458		1.8234	0.1561	43.75
MRNA_PROCESSING	ESCA	EDEM2|55741	-	A5	chr20:33732821-33734628:33732821-33734955		1.7954	-0.1891	25
