# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSLATION	OV	USP7|7874	-	A5	chr16:8989598-8990852:8989598-8990856	Observed	2.8419	0.6924	68.75
TRANSLATION	OV	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543	Observed	2.0371	0.5867	87.5
TRANSLATION	OV	DHX9|1660	+	RI	chr1:182852274:182852351-182852455:182852503	Observed	1.9758	-0.6279	81.25
TRANSLATION	OV	CARD8|22900	-	SE	chr19:48744320-48752780:48752890-48753008	Observed	1.3477	-0.3229	56.25
TRANSLATION	OV	DSP|1832	+	A5	chr6:7581802-7582875:7580005-7582875	Observed	1.3056	-0.4745	62.5
TRANSLATION	OV	FN1|2335	-	RI	chr2:216236632:216236738-216236832:216237098	Observed	1.1932	0.5197	81.25
TRANSLATION	OV	ADARB1|104	+	SE	chr21:46603425-46604389:46604508-46604838	Observed	1.001	-0.3257	56.25
TRANSLATION	OV	AOX1|316	+	SE	chr2:201474137-201476107:201476216-201477332	Observed	1.001	-0.4424	68.75
TRANSLATION	OV	AURKA|6790	-	SE	chr20:54963258-54965612:54965721-54967224	Observed	1.001	-0.0262	56.25
TRANSLATION	OV	CEACAM1|634	-	SE	chr19:43015072-43015728:43015780-43016502	Observed	1.001	-9e-04	68.75
TRANSLATION	OV	DLG1|1739	-	MX	chr3:196796131-196802708:196802741-196807922:196796131-196803457:196803553-196807922	Observed	1.001	0.2271	68.75
TRANSLATION	OV	DMPK|1760	-	A3	chr19:46274318-46274608:46274314-46274608	Observed	1.001	-0.4459	75
TRANSLATION	OV	DYSF|8291	+	SE	chr2:71840540-71847677:71847739-71871095	Observed	1.001	0.1966	62.5
TRANSLATION	OV	EIF4G3|8672	-	MX	chr1:21231464-21267984:21268823-21295967:21231464-21276496:21276604-21295967	Observed	1.001	-0.0989	56.25
TRANSLATION	OV	ERG|2078	-	SE	chr21:39764366-39772496:39772567-39774479	Observed	1.001	0.0408	56.25
TRANSLATION	OV	ILF3|3609	+	A3	chr19:10794646-10795092:10794646-10795535	Observed	1.001	-0.4731	81.25
TRANSLATION	OV	IRF7|3665	-	SE	chr11:614037-614174:614399-614476	Observed	1.001	-0.0663	56.25
TRANSLATION	OV	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977	Observed	1.001	0.2511	62.5
TRANSLATION	OV	MSH2|4436	+	SE	chr2:47639699-47641408:47641557-47643435	Observed	1.001	-0.401	68.75
TRANSLATION	OV	NOS3|4846	+	SE	chr7:150688388-150690841:150691049-150692291	Observed	1.001	-0.2982	81.25
TRANSLATION	OV	NUP98|4928	-	A5	chr11:3722069-3723693:3722069-3724002	Observed	1.001	-0.5513	56.25
TRANSLATION	OV	PNPLA8|50640	-	A3	chr7:108156018-108161920:108155891-108161920	Observed	1.001	-0.3418	68.75
TRANSLATION	OV	TRAPPC2|6399	-	A5	chrX:13738101-13752163:13738101-13752169	Observed	1.001	0.1567	56.25
TRANSLATION	OV	SYNE1|23345	-	SE	chr6:152615262-152621776:152621916-152623004	Observed	0.7888	-0.2459	93.75
TRANSLATION	OV	PKD2|5311	+	SE	chr4:88977419-88979135:88979255-88983058	Observed	0.3949	-0.3464	68.75
TRANSLATION	OV	EIF4G3|8672	-	SE	chr1:21231464-21267984:21268823-21276496	Observed	0.1721	-0.4837	81.25
TRANSLATION	OV	TRAPPC2|6399	-	SE	chrX:13738101-13752169:13752304-13752644	Observed	0.0805	-0.3091	75
TRANSLATION	OV	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061	Observed	0.0073	-0.3385	87.5
