# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
S_PHASE	KIRC	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026		3.9245	-0.5973	25
S_PHASE	KIRC	TMC6|11322	-	SE	chr17:76115473-76116734:76116913-76117094		3.1354	-0.3574	43.75
S_PHASE	KIRC	SRCAP|10847	+	SE	chr16:30732299-30732510:30732797-30733443		2.9224	-0.4167	31.25
S_PHASE	KIRC	LUC7L3|51747	+	RI	chr17:48827862:48828055-48829561:48830070		2.8947	-0.3798	68.75
S_PHASE	KIRC	NSUN7|79730	+	SE	chr4:40800921-40809078:40809201-40810324		2.837	-0.2815	43.75
S_PHASE	KIRC	DUSP28|285193	+	RI	chr2:241500747:241500936-241503091:241503430		2.789	-0.5043	75
S_PHASE	KIRC	KIFC2|90990	+	RI	chr8:145697960:145698089-145698178:145699498		2.7702	0.3409	43.75
S_PHASE	KIRC	SLCO2B1|11309	+	SE	chr11:74862442-74876832:74876994-74883424		2.7182	0.4029	50
S_PHASE	KIRC	GPSM2|29899	+	A3	chr1:109419850-109427897:109419850-109428129		2.7002	-0.4158	68.75
S_PHASE	KIRC	RAB15|376267	-	A5	chr14:65417132-65417297:65417132-65417661		2.6832	-0.3783	12.5
S_PHASE	KIRC	SYNM|23336	+	SE	chr15:99666997-99669572:99672018-99672955		2.6513	-0.319	81.25
S_PHASE	KIRC	ARAP1|116985	-	SE	chr11:72414124-72415197:72415379-72416850		2.6178	-0.3514	43.75
S_PHASE	KIRC	ZNF415|55786	-	SE	chr19:53613161-53618957:53619177-53619566		2.574	-0.3117	37.5
S_PHASE	KIRC	INTS6|26512	-	RI	chr13:52026551:52026636-52027129:52027275		2.5544	-0.3689	43.75
S_PHASE	KIRC	ANKRD49|54851	+	RI	chr11:94229770:94230117-94231237:94232740		2.5401	-0.2756	18.75
S_PHASE	KIRC	PAX2|5076	+	A5	chr10:102541122-102566187:102541098-102566187		2.531	0.4279	12.5
S_PHASE	KIRC	SPHK2|56848	+	SE	chr19:49131534-49131938:49132983-49133691		2.5179	-0.3376	50
S_PHASE	KIRC	MLXIPL|51085	-	A3	chr7:73010602-73010694:73010596-73010694		2.4749	-0.3806	25
S_PHASE	KIRC	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		2.469	0.3185	50
S_PHASE	KIRC	MYO15B|80022	+	SE	chr17:73586466-73586707:73586770-73586988		2.4517	-0.3641	43.75
S_PHASE	KIRC	ADRBK2|157	+	SE	chr22:25961120-26000344:26000420-26040559		2.4352	-0.2712	37.5
S_PHASE	KIRC	PARD3|56288	-	A5	chr10:34625171-34626206:34625171-34626293		2.358	0.3082	68.75
S_PHASE	KIRC	TMEM205|374882	-	RI	chr19:11456196:11456304-11456684:11456981		2.3558	-0.4134	56.25
S_PHASE	KIRC	NCLN|56926	+	A3	chr19:3206188-3206260:3206188-3206263		2.3538	-0.2887	25
S_PHASE	KIRC	RAVER1|125950	-	RI	chr19:10426891:10428276-10428366:10428449		2.3432	0.3297	50
S_PHASE	KIRC	GOLGA2B|55592	-	A3	chr12:100551223-100551306:100551034-100551306		2.3355	-0.0777	43.75
