# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
ANGIOGENESIS	HNSC	FN1|2335	-	RI	chr2:216236632:216236738-216236832:216237098	Observed	6.3677	-0.7348	81.25
ANGIOGENESIS	HNSC	SULF2|55959	-	SE	chr20:46287136-46288143:46288196-46288441	Observed	5.0314	0.7435	81.25
ANGIOGENESIS	HNSC	VCAN|1462	+	SE	chr5:82808215-82832826:82838087-82841356	Observed	4.819	0.7283	81.25
ANGIOGENESIS	HNSC	FN1|2335	-	SE	chr2:216244040-216245534:216245803-216246935	Observed	3.2788	0.6934	56.25
ANGIOGENESIS	HNSC	ERG|2078	-	SE	chr21:39795483-39817327:39817544-39947586	Observed	3.2613	0.4018	75
ANGIOGENESIS	HNSC	TIE1|7075	+	SE	chr1:43773243-43773467:43773595-43774657	Observed	2.1973	0.6199	81.25
ANGIOGENESIS	HNSC	HSPG2|3339	-	A3	chr1:22211170-22211260:22211167-22211260	Observed	2.1846	0.2127	81.25
ANGIOGENESIS	HNSC	STAT3|6774	-	SE	chr17:40498731-40500407:40500535-40540297	Observed	2.1367	0.6897	62.5
ANGIOGENESIS	HNSC	STAT3|6774	-	SE	chr17:40498731-40500407:40500557-40540297	Observed	1.8188	0.6987	56.25
ANGIOGENESIS	HNSC	PFKFB3|5209	+	SE	chr10:6266176-6268155:6268328-6274858	Observed	1.6826	0.6698	56.25
ANGIOGENESIS	HNSC	CD34|947	-	SE	chr1:208070918-208072318:208072571-208073166	Observed	1.6802	0.475	62.5
ANGIOGENESIS	HNSC	PTGS2|5743	-	A3	chr1:186646962-186647393:186646852-186647393	Observed	1.6264	0.5815	62.5
ANGIOGENESIS	HNSC	TP53|7157	-	SE	chr17:7573008-7573927:7574033-7576853	Observed	1.6026	0.6144	56.25
ANGIOGENESIS	HNSC	NOS3|4846	+	SE	chr7:150688388-150690841:150691049-150692291	Observed	1.4867	0.5667	93.75
ANGIOGENESIS	HNSC	PDGFC|56034	-	RI	chr4:157731989:157732020-157732105:157732169	Observed	1.4431	0.6138	68.75
ANGIOGENESIS	HNSC	NFASC|23114	+	SE	chr1:204913534-204919685:204919702-204921139	Observed	1.4155	0.2341	62.5
ANGIOGENESIS	HNSC	PKD2|5311	+	SE	chr4:88977419-88979135:88979255-88983058	Observed	1.4099	0.6402	75
ANGIOGENESIS	HNSC	TEK|7010	+	SE	chr9:27173360-27180238:27180366-27183457	Observed	1.3324	0.5322	87.5
ANGIOGENESIS	HNSC	SETD2|29072	-	SE	chr3:47079267-47082850:47082973-47084051	Observed	1.2899	-0.6911	56.25
ANGIOGENESIS	HNSC	FN1|2335	-	SE	chr2:216236738-216236832:216237098-216238045	Observed	1.1258	0.5473	62.5
ANGIOGENESIS	HNSC	ERG|2078	-	SE	chr21:39795483-39817327:39817544-39870287	Observed	1.0005	0.4627	68.75
ANGIOGENESIS	HNSC	FGFR2|2263	-	RI	chr10:123263304:123263453-123263454:123263455	Observed	1.0005	-0.654	56.25
ANGIOGENESIS	HNSC	NFKB1|4790	+	A3	chr4:103451071-103455002:103451071-103455005	Observed	1.0005	0.542	56.25
ANGIOGENESIS	HNSC	NRP1|8829	-	A5	chr10:33486637-33491819:33486637-33491840	Observed	1.0005	0.4045	56.25
ANGIOGENESIS	HNSC	NRP2|8828	+	A5	chr2:206631542-206656959:206631527-206656959	Observed	1.0005	0.064	56.25
ANGIOGENESIS	HNSC	SLIT2|9353	+	SE	chr4:20525800-20526772:20526795-20530572	Observed	1.0005	0.2957	68.75
ANGIOGENESIS	HNSC	TEK|7010	+	A5	chr9:27205063-27206580:27205060-27206580	Observed	1.0005	0.4629	87.5
ANGIOGENESIS	HNSC	TEK|7010	+	SE	chr9:27109640-27157829:27158140-27168493	Observed	1.0005	0.464	62.5
ANGIOGENESIS	HNSC	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414	Observed	1.0005	-0.2792	75
ANGIOGENESIS	HNSC	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583	Observed	1.0005	0.3525	56.25
ANGIOGENESIS	HNSC	ING1|3621	+	A5	chr13:111366632-111371576:111365933-111371576	Observed	0.3031	0.0975	56.25
ANGIOGENESIS	HNSC	ABL2|27	-	RI	chr1:179068463:179078033-179078343:179078576	Observed	0.2808	0.3167	68.75
