# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
M_PHASE	BLCA	CHEK1|1111	+	SE	chr11:125496728-125497502:125497725-125499127	Observed	5.5785	0.4628	56.25
M_PHASE	BLCA	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		5.2908	-0.4866	62.5
M_PHASE	BLCA	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026		5.0191	-0.6527	25
M_PHASE	BLCA	CTNNB1|1499	+	RI	chr3:41280625:41280845-41281151:41281939		4.7931	-0.5498	25
M_PHASE	BLCA	C17orf56|146705	-	SE	chr17:79205821-79206115:79206318-79207232		4.7441	-0.5461	75
M_PHASE	BLCA	RPS24|6229	+	SE	chr10:79797062-79799962:79799983-79800373		4.4965	-0.5482	81.25
M_PHASE	BLCA	C16orf13|84326	-	SE	chr16:685340-685612:685774-686094		4.2551	-0.4939	37.5
M_PHASE	BLCA	EIF4H|7458	+	SE	chr7:73604248-73604577:73604636-73609071		4.1753	0.4151	43.75
M_PHASE	BLCA	SDCCAG3|10807	-	SE	chr9:139302390-139303451:139303519-139304542		4.1731	-0.4026	68.75
M_PHASE	BLCA	C1orf52|148423	-	SE	chr1:85724405-85724618:85724744-85725041		4.1274	-0.4459	50
M_PHASE	BLCA	HMGB1|3146	-	SE	chr13:31035670-31035776:31035825-31036675		3.8454	-0.5325	31.25
M_PHASE	BLCA	SMARCC2|6601	-	SE	chr12:56566488-56566721:56566813-56567480		3.8342	-0.3987	25
M_PHASE	BLCA	CTNNB1|1499	+	RI	chr3:41280625:41280845-41281310:41281939		3.6528	-0.4252	56.25
M_PHASE	BLCA	HRAS|3265	-	SE	chr11:532755-533277:533358-533453		3.6443	-0.5054	6.25
M_PHASE	BLCA	TOR2A|27433	-	RI	chr9:130493804:130494557-130495664:130495839		3.5583	-0.4412	62.5
M_PHASE	BLCA	SLTM|79811	-	SE	chr15:59191051-59191668:59192136-59193459		3.5329	0.43	31.25
