# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MRNA_SPLICING	OV	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		3.1119	-0.5084	87.5
MRNA_SPLICING	OV	TRPC4AP|26133	-	SE	chr20:33603942-33608993:33609159-33622926		2.8335	-0.4172	75
MRNA_SPLICING	OV	HSH2D|84941	+	RI	chr19:16263362:16263451-16263853:16264018		2.4843	-0.3493	43.75
MRNA_SPLICING	OV	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		2.3898	0.3127	50
MRNA_SPLICING	OV	RASGRP1|10125	-	SE	chr15:38794622-38795473:38795577-38798041		2.3485	-0.2869	56.25
MRNA_SPLICING	OV	CCDC88B|283234	+	SE	chr11:64121285-64121476:64121642-64122666		2.2947	-0.4593	43.75
MRNA_SPLICING	OV	SIGLEC10|89790	-	SE	chr19:51917769-51918078:51918362-51918435		2.2683	-0.3549	75
MRNA_SPLICING	OV	FMNL1|752	+	SE	chr17:43323697-43323872:43323971-43324234		2.2596	-0.5005	75
MRNA_SPLICING	OV	C1orf9|51430	+	SE	chr1:172544763-172546679:172546699-172546904		2.2206	0.4361	62.5
MRNA_SPLICING	OV	POLI|11201	+	A5	chr18:51797855-51800296:51796402-51800296		2.2014	-0.2903	37.5
MRNA_SPLICING	OV	WDHD1|11169	-	SE	chr14:55454105-55455746:55455930-55457931		2.1918	-0.2513	50
MRNA_SPLICING	OV	C6orf64|55776	-	SE	chr6:39073552-39077090:39081496-39082659		2.1855	-0.0475	12.5
MRNA_SPLICING	OV	ZNF532|55205	+	A5	chr18:56646399-56648702:56646387-56648702		2.1769	-0.3104	62.5
MRNA_SPLICING	OV	IFT81|28981	+	A5	chr12:110562666-110565165:110562248-110565165		2.1601	-0.258	50
MRNA_SPLICING	OV	C15orf44|81556	-	SE	chr15:65897574-65899497:65899780-65903436		2.1024	-0.323	43.75
MRNA_SPLICING	OV	SLC30A5|64924	+	A3	chr5:68398955-68399789:68398955-68400458		2.0615	0.3989	56.25
MRNA_SPLICING	OV	RHBDL3|162494	+	SE	chr17:30625223-30632360:30632460-30643251		2.0531	-0.1378	18.75
