# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
M_PHASE	THCA	GPSM2|29899	+	A3	chr1:109419850-109427897:109419850-109428129		3.413	-0.4099	50
M_PHASE	THCA	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		3.3606	0.2764	50
M_PHASE	THCA	EEF1B2|1933	+	RI	chr2:207024318:207024408-207024637:207024783		3.2808	-0.3225	6.25
M_PHASE	THCA	C7orf46|340277	+	SE	chr7:23731215-23731802:23734532-23737811		3.1685	-0.4062	62.5
M_PHASE	THCA	LAG3|3902	+	RI	chr12:6886957:6887087-6887410:6887619		3.1642	-0.3497	37.5
M_PHASE	THCA	MELK|9833	+	SE	chr9:36589649-36594625:36594768-36597219		3.1616	0.0655	87.5
M_PHASE	THCA	PCYT2|5833	-	SE	chr17:79864774-79865080:79865133-79865430		2.9981	0.334	56.25
M_PHASE	THCA	ZNF382|84911	+	A3	chr19:37101644-37117032:37101644-37117035		2.9081	0.2329	50
M_PHASE	THCA	NEK2|4751	-	A3	chr1:211836994-211840448:211836970-211840448		2.8666	0.1458	62.5
M_PHASE	THCA	WDFY4|57705	+	A3	chr10:50174718-50177109:50174718-50177130		2.7792	0.2978	6.25
M_PHASE	THCA	C12orf76|400073	-	A3	chr12:110480417-110482225:110480264-110482225		2.7224	-0.2379	37.5
M_PHASE	THCA	WIZ|58525	-	SE	chr19:15538344-15538921:15539319-15540397		2.6766	-0.3527	56.25
M_PHASE	THCA	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		2.6174	-0.2593	56.25
M_PHASE	THCA	LGALS9|3965	+	SE	chr17:25969374-25970551:25970646-25972340		2.5104	0.248	37.5
M_PHASE	THCA	HMGN1|3150	-	A3	chr21:40719409-40720218:40719404-40720218		2.4299	-0.2726	81.25
M_PHASE	THCA	SLC34A3|142680	+	A3	chr9:140127155-140127208:140127155-140127236		2.3681	0.1991	18.75
M_PHASE	THCA	SNRNP70|6625	+	SE	chr19:49604728-49605371:49606844-49607891		2.3512	-0.2988	56.25
M_PHASE	THCA	NF2|4771	+	SE	chr22:30077590-30079009:30079053-30090741		2.3162	0.2374	68.75
M_PHASE	THCA	HIGD1A|25994	-	A5	chr3:42835767-42845664:42835767-42845928		2.2907	-0.2796	18.75
M_PHASE	THCA	TMEM184A|202915	-	A3	chr7:1590031-1590453:1590015-1590453		2.2789	0.2409	50
M_PHASE	THCA	SPTAN1|6709	+	SE	chr9:131371563-131371930:131371944-131373993		2.2618	-0.2725	18.75
M_PHASE	THCA	KIFC1|3833	+	A3	chr6:33371312-33371506:33371312-33371530		2.22	0.1817	12.5
M_PHASE	THCA	TRIM46|80128	+	SE	chr1:155146505-155147862:155148123-155148364		2.2105	0.1817	25
M_PHASE	THCA	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		2.2097	0.2746	43.75
M_PHASE	THCA	LUC7L3|51747	+	RI	chr17:48827862:48828055-48829561:48830070		2.1771	-0.3329	62.5
