# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MRNA_PROCESSING	SKCM	WDHD1|11169	-	SE	chr14:55480314-55493429:55493521-55493746		3.0196	0.1737	6.25
MRNA_PROCESSING	SKCM	NCRNA00171|80862	-	A5	chr6:30025967-30028518:30025967-30028856		2.918	-0.2882	43.75
MRNA_PROCESSING	SKCM	PI4KAP1|728233	-	A5	chr22:20385815-20386507:20385815-20386517		2.5984	-0.2739	62.5
MRNA_PROCESSING	SKCM	NCRNA00171|80862	-	SE	chr6:30025967-30028518:30028772-30028856		2.5634	-0.2541	62.5
MRNA_PROCESSING	SKCM	BLNK|29760	-	A5	chr10:97983745-97987166:97983745-97987178		2.4041	-0.2049	6.25
MRNA_PROCESSING	SKCM	SH3TC2|79628	-	RI	chr5:148406423:148408117-148408240:148408281		2.3443	0.2413	43.75
MRNA_PROCESSING	SKCM	TROAP|10024	+	RI	chr12:49723928:49724356-49724444:49724726		2.2659	-0.1854	50
MRNA_PROCESSING	SKCM	NCAPH|23397	+	A3	chr2:97001586-97007380:97001586-97007413		2.2258	0.2457	56.25
MRNA_PROCESSING	SKCM	QKI|9444	+	A3	chr6:163984751-163986978:163984751-163987753		2.2023	-0.3394	6.25
MRNA_PROCESSING	SKCM	RCOR3|55758	+	SE	chr1:211477482-211486062:211486303-211486766		2.1926	0.2474	56.25
MRNA_PROCESSING	SKCM	SMC6|79677	-	SE	chr2:17927218-17934245:17934331-17934893		2.1834	0.2166	37.5
MRNA_PROCESSING	SKCM	CUTA|51596	-	A5	chr6:33385472-33385736:33385472-33385864		2.181	-0.3468	37.5
MRNA_PROCESSING	SKCM	TTLL3|26140	+	RI	chr3:9859329:9859443-9862230:9862425		2.0786	0.2959	25
MRNA_PROCESSING	SKCM	SERHL2|253190	+	SE	chr22:42956271-42959395:42959487-42962310		2.072	0.3216	37.5
MRNA_PROCESSING	SKCM	CEP170|9859	-	SE	chr1:243336148-243349081:243349374-243349561		2.067	0.3217	56.25
MRNA_PROCESSING	SKCM	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		2.0479	-0.2594	50
MRNA_PROCESSING	SKCM	LRRFIP2|9209	-	SE	chr3:37154471-37156545:37156586-37162983		2.0335	0.1416	43.75
MRNA_PROCESSING	SKCM	TUFT1|7286	+	SE	chr1:151512902-151534567:151534641-151535061		1.9892	-0.1625	50
MRNA_PROCESSING	SKCM	TENC1|23371	+	RI	chr12:53456404:53456475-53456873:53457041		1.9672	0.2419	31.25
MRNA_PROCESSING	SKCM	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		1.9447	-0.2896	43.75
MRNA_PROCESSING	SKCM	FAM164C|79696	+	A5	chr14:75538614-75544235:75538099-75544235		1.9381	0.2414	25
MRNA_PROCESSING	SKCM	PPHLN1|51535	+	SE	chr12:42720031-42726462:42726504-42729685		1.9109	-0.2809	37.5
MRNA_PROCESSING	SKCM	SFI1|9814	+	A3	chr22:31892623-31904241:31892623-31904245		1.9058	0.0425	43.75
MRNA_PROCESSING	SKCM	IFFO1|25900	-	SE	chr12:6657991-6658642:6658650-6658922		1.9045	-0.1165	50
MRNA_PROCESSING	SKCM	RWDD3|25950	+	A5	chr1:95710254-95712098:95710207-95712098		1.9037	0.1121	31.25
MRNA_PROCESSING	SKCM	COX4I1|1327	+	RI	chr16:85838543:85839470-85840344:85840605		1.9033	-0.1416	43.75
MRNA_PROCESSING	SKCM	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		1.9024	-0.3108	68.75
MRNA_PROCESSING	SKCM	RAD17|5884	+	SE	chr5:68666998-68667861:68668044-68669657		1.8996	-0.0505	50
MRNA_PROCESSING	SKCM	PCYT2|5833	-	SE	chr17:79864774-79865080:79865133-79865430		1.8989	-0.1561	62.5
MRNA_PROCESSING	SKCM	TRERF1|55809	-	A5	chr6:42268487-42330685:42268487-42330735		1.8986	-0.1854	37.5
MRNA_PROCESSING	SKCM	GOLGA8A|23015	-	A3	chr15:34674730-34674998:34674727-34674998		1.8965	-0.1759	43.75
MRNA_PROCESSING	SKCM	PGAP2|27315	+	SE	chr11:3829545-3832480:3832654-3845113		1.8916	0.0063	43.75
MRNA_PROCESSING	SKCM	CHCHD7|79145	+	SE	chr8:57124396-57125321:57125468-57127157		1.8865	0.1623	31.25
MRNA_PROCESSING	SKCM	PHRF1|57661	+	A5	chr11:581606-581965:581597-581965		1.8762	0.0528	37.5
MRNA_PROCESSING	SKCM	FLNB|2317	+	SE	chr3:58124256-58127585:58127656-58128377		1.876	-0.2535	43.75
MRNA_PROCESSING	SKCM	PLP1|5354	+	A5	chrX:103041655-103042727:103041550-103042727		1.873	0.1949	6.25
MRNA_PROCESSING	SKCM	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		1.8667	-0.2151	62.5
MRNA_PROCESSING	SKCM	PAPLN|89932	+	SE	chr14:73728002-73729058:73729535-73730353		1.8482	-0.1905	43.75
MRNA_PROCESSING	SKCM	FAM63A|55793	-	A3	chr1:150975444-150978788:150974799-150978788		1.8272	-0.1607	37.5
MRNA_PROCESSING	SKCM	SOX6|55553	-	A5	chr11:16362798-16424205:16362798-16424346		1.8254	0.0845	12.5
MRNA_PROCESSING	SKCM	BLNK|29760	-	SE	chr10:97969663-97975077:97975145-97976409		1.8057	-0.2228	37.5
MRNA_PROCESSING	SKCM	FANCA|2175	-	A5	chr16:89865487-89865574:89865487-89865580		1.7954	0.1031	25
MRNA_PROCESSING	SKCM	PRR4|11272	-	A3	chr12:11001693-11001973:11001006-11001973		1.7793	0.3407	37.5
MRNA_PROCESSING	SKCM	VARS2|57176	+	SE	chr6:30882121-30882587:30882814-30882933		1.7736	-0.1929	43.75
MRNA_PROCESSING	SKCM	FCGR2B|2213	+	A3	chr1:161640062-161641182:161640062-161641185		1.7723	0.0324	25
MRNA_PROCESSING	SKCM	LTB|4050	-	SE	chr6:31549407-31549591:31549636-31550033		1.7634	-0.1287	56.25
MRNA_PROCESSING	SKCM	FDPS|2224	+	A5	chr1:155278867-155279580:155278756-155279580		1.7546	0.2622	43.75
MRNA_PROCESSING	SKCM	ABCA11P|79963	-	SE	chr4:420762-431235:431300-466364		1.7496	0.1379	31.25
MRNA_PROCESSING	SKCM	GRID1|2894	-	SE	chr10:87373404-87379624:87379790-87406959		1.7382	-0.1171	18.75
MRNA_PROCESSING	SKCM	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		1.7379	0.2032	56.25
MRNA_PROCESSING	SKCM	CSF2RB|1439	+	A3	chr22:37326552-37326697:37326552-37326715		1.7372	0.198	56.25
MRNA_PROCESSING	SKCM	TBCEL|219899	+	A3	chr11:120918376-120924260:120918376-120924339		1.7372	-0.0568	25
MRNA_PROCESSING	SKCM	FLYWCH1|84256	+	A3	chr16:2980011-2980411:2980011-2980414		1.7371	0.0385	43.75
MRNA_PROCESSING	SKCM	ECHDC2|55268	-	SE	chr1:53370762-53372191:53372283-53373540		1.7371	-0.2068	25
MRNA_PROCESSING	SKCM	EMILIN1|11117	+	A5	chr2:27306894-27307283:27306879-27307283		1.7371	0.074	62.5
MRNA_PROCESSING	SKCM	CHI3L2|1117	+	SE	chr1:111781554-111783949:111784065-111784849		1.7369	-0.1157	18.75
MRNA_PROCESSING	SKCM	ARL5A|26225	-	A5	chr2:152671713-152684645:152671713-152684903		1.7368	-0.0792	56.25
MRNA_PROCESSING	SKCM	CCDC88A|55704	-	SE	chr2:55523659-55526975:55527055-55528342		1.7366	-0.0087	37.5
MRNA_PROCESSING	SKCM	TTC23|64927	-	SE	chr15:99768937-99781570:99781764-99785594		1.7365	-0.032	18.75
MRNA_PROCESSING	SKCM	LRRC14|9684	+	SE	chr8:145743425-145744133:145744199-145744999		1.7364	-0.1574	37.5
MRNA_PROCESSING	SKCM	HGF|3082	-	A3	chr7:81381578-81386505:81381563-81386505		1.7361	-0.1443	56.25
MRNA_PROCESSING	SKCM	SNUPN|10073	-	A5	chr15:75913397-75917677:75913397-75918007		1.7358	-0.1924	75
MRNA_PROCESSING	SKCM	PTPDC1|138639	+	A5	chr9:96847056-96847533:96847050-96847533		1.7351	0.042	62.5
MRNA_PROCESSING	SKCM	RPAIN|84268	+	MX	chr17:5329402-5329556:5329619-5335862:5329402-5331391:5331531-5335862		1.7345	-0.1607	37.5
MRNA_PROCESSING	SKCM	TYMP|1890	-	A3	chr22:50968183-50968333:50968160-50968333		1.7335	0.0685	31.25
MRNA_PROCESSING	SKCM	ZMIZ2|83637	+	SE	chr7:44799059-44799750:44799827-44800024		1.7266	-0.0499	50
MRNA_PROCESSING	SKCM	C12orf76|400073	-	SE	chr12:110480264-110482225:110482338-110486168		1.7237	0.1405	12.5
MRNA_PROCESSING	SKCM	CCNT1|904	-	SE	chr12:49089612-49089782:49089945-49091921	Observed	1.7236	0.024	31.25
MRNA_PROCESSING	SKCM	ANAPC11|51529	+	A5	chr17:79849739-79852343:79849709-79852343		1.7176	0.1807	6.25
MRNA_PROCESSING	SKCM	PLCD4|84812	+	RI	chr2:219498328:219498484-219498828:219498944		1.7173	0.3205	62.5
MRNA_PROCESSING	SKCM	SEPT4|5414	-	SE	chr17:56603674-56604043:56604339-56609322		1.7145	-0.0594	25
MRNA_PROCESSING	SKCM	DONSON|29980	-	SE	chr21:34954552-34955794:34955972-34956896		1.7138	2e-04	31.25
MRNA_PROCESSING	SKCM	THUMPD3|25917	+	A5	chr3:9405016-9406700:9404811-9406700		1.7138	-0.0562	37.5
MRNA_PROCESSING	SKCM	SMO|6608	+	RI	chr7:128851477:128851611-128851865:128853383		1.7136	0.1899	50
MRNA_PROCESSING	SKCM	CYP2R1|120227	-	A3	chr11:14900989-14901682:14900753-14901682		1.7114	0.0392	6.25
MRNA_PROCESSING	SKCM	EZH2|2146	-	A5	chr7:148529842-148543562:148529842-148543589		1.7095	-0.0171	31.25
MRNA_PROCESSING	SKCM	SLC17A7|57030	-	A3	chr19:49936300-49936983:49936217-49936983		1.7095	0.2067	25
MRNA_PROCESSING	SKCM	ADIPOR2|79602	+	A5	chr12:1800379-1863424:1800357-1863424		1.7092	0.0678	18.75
MRNA_PROCESSING	SKCM	LARP4|113251	+	SE	chr12:50794811-50806188:50806236-50821545		1.7064	0.0633	56.25
MRNA_PROCESSING	SKCM	ZWILCH|55055	+	A3	chr15:66797729-66801084:66797729-66801179		1.7064	0.1307	25
MRNA_PROCESSING	SKCM	MRC2|9902	+	A3	chr17:60759298-60759417:60759298-60759596		1.7045	0.0044	6.25
MRNA_PROCESSING	SKCM	MCOLN3|55283	-	SE	chr1:85511045-85512993:85513292-85514079		1.7044	0.0635	18.75
MRNA_PROCESSING	SKCM	PIK3CB|5291	-	SE	chr3:138417937-138423285:138423335-138426001		1.6946	-0.1147	31.25
MRNA_PROCESSING	SKCM	CAPN3|825	+	SE	chr15:42697153-42698124:42698141-42701501		1.6859	-0.1606	12.5
MRNA_PROCESSING	SKCM	TCEA1|6917	-	SE	chr8:54912610-54915452:54915652-54922990		1.6857	-0.0346	18.75
MRNA_PROCESSING	SKCM	CMAH|8418	-	A3	chr6:25082107-25084708:25081886-25084708		1.6824	0.2469	6.25
MRNA_PROCESSING	SKCM	NPRL3|8131	-	A5	chr16:134594-135820:134594-136667		1.6793	0.2306	37.5
MRNA_PROCESSING	SKCM	ZKSCAN5|23660	+	SE	chr7:99110214-99117450:99117532-99123436		1.6786	-0.1846	56.25
MRNA_PROCESSING	SKCM	MEIS3|56917	-	A3	chr19:47918123-47918308:47918072-47918308		1.6776	-0.045	43.75
MRNA_PROCESSING	SKCM	ZMAT3|64393	-	A5	chr3:178785597-178789383:178785597-178789489		1.6755	0.0072	56.25
MRNA_PROCESSING	SKCM	ABLIM3|22885	+	SE	chr5:148619451-148622054:148622101-148624444		1.6754	-0.217	75
MRNA_PROCESSING	SKCM	KANK2|25959	-	A5	chr19:11305266-11306232:11305266-11306298		1.6749	-0.1758	50
MRNA_PROCESSING	SKCM	C1orf54|79630	+	SE	chr1:150249040-150252051:150252152-150253246		1.6743	-0.0668	37.5
MRNA_PROCESSING	SKCM	SORD|6652	+	SE	chr15:45335619-45353180:45353424-45357469		1.6739	-0.1081	25
MRNA_PROCESSING	SKCM	C21orf58|54058	-	SE	chr21:47738134-47738699:47738875-47742553		1.6736	0.0674	68.75
MRNA_PROCESSING	SKCM	ZNF707|286075	+	SE	chr8:144766712-144771374:144771471-144772227		1.6721	-0.0126	31.25
MRNA_PROCESSING	SKCM	BCORL1|63035	+	SE	chrX:129156952-129158965:129159354-129162610		1.671	0.184	31.25
MRNA_PROCESSING	SKCM	KIF1B|23095	+	SE	chr1:10332364-10333072:10333089-10335486		1.6708	0.0351	37.5
MRNA_PROCESSING	SKCM	PHACTR2|9749	+	SE	chr6:144075049-144081538:144081777-144086398		1.67	-0.0701	12.5
MRNA_PROCESSING	SKCM	F3|2152	-	SE	chr1:94996152-94997877:94998036-94998646		1.6694	-0.0782	25
MRNA_PROCESSING	SKCM	SON|6651	+	SE	chr21:34918685-34921782:34927697-34929462	Observed	1.4138	-0.1701	62.5
MRNA_PROCESSING	SKCM	FGFR1|2260	-	SE	chr8:38285953-38287200:38287466-38314874	Observed	1.001	0.1869	62.5
MRNA_PROCESSING	SKCM	INSR|3643	-	SE	chr19:7143101-7150508:7150543-7152737	Observed	1.001	-0.1814	62.5
MRNA_PROCESSING	SKCM	MSH2|4436	+	SE	chr2:47639699-47641408:47641557-47643435	Observed	1.001	-0.1981	62.5
MRNA_PROCESSING	SKCM	NR3C1|2908	-	SE	chr5:142693733-142779221:142780417-142783941	Observed	1.001	-0.0803	68.75
MRNA_PROCESSING	SKCM	NUMA1|4926	-	RI	chr11:71718235:71718481-71719734:71719891	Observed	1.001	0.1238	56.25
MRNA_PROCESSING	SKCM	PRPF4|9128	+	A3	chr9:116038050-116038825:116038050-116038828	Observed	1.001	0.1705	56.25
MRNA_PROCESSING	SKCM	NUMA1|4926	-	SE	chr11:71721900-71723447:71723488-71723941	Observed	0.3058	-0.0801	56.25
