# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
APOPTOSIS	OV	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088	Observed	2.7854	0.5043	93.75
APOPTOSIS	OV	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583	Observed	2.0843	0.309	62.5
APOPTOSIS	OV	CASP8|841	+	A3	chr2:202098835-202131184:202098835-202131210	Observed	2.0839	-0.1424	62.5
APOPTOSIS	OV	CD247|919	-	A3	chr1:167404671-167407807:167404668-167407807	Observed	1.9513	0.2577	81.25
APOPTOSIS	OV	SYK|6850	+	SE	chr9:93627379-93629413:93629481-93636486	Observed	1.7278	0.219	56.25
APOPTOSIS	OV	SPP1|6696	+	SE	chr4:88898249-88901545:88901586-88902627	Observed	1.6603	0.1645	62.5
APOPTOSIS	OV	FYN|2534	-	SE	chr6:112017659-112020718:112020873-112024088	Observed	1.6094	0.2242	68.75
APOPTOSIS	OV	CD40|958	+	MX	chr20:44751395-44751765:44751858-44756777:44751395-44755279:44755340-44756777	Observed	1.3794	-0.0324	68.75
APOPTOSIS	OV	TNFRSF10B|8795	-	RI	chr8:22885844:22885954-22886042:22886115	Observed	1.2918	-0.1254	56.25
APOPTOSIS	OV	CUTC|51076	+	SE	chr10:101507147-101510126:101510153-101514286	Observed	1.2915	0.2139	62.5
APOPTOSIS	OV	RPAIN|84268	+	MX	chr17:5326149-5329291:5329402-5331391:5326149-5329556:5329619-5331391	Observed	1.2671	-0.1881	56.25
APOPTOSIS	OV	MAPT|4137	+	SE	chr17:44049311-44051751:44051837-44055741	Observed	1.2512	-0.0205	56.25
APOPTOSIS	OV	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785	Observed	1.2481	0.3885	93.75
APOPTOSIS	OV	PTPRC|5788	+	SE	chr1:198661502-198665841:198666038-198668693	Observed	1.142	-0.1739	56.25
APOPTOSIS	OV	PDLIM7|9260	-	SE	chr5:176916628-176916772:176917032-176917871	Observed	1.1404	0.2564	56.25
APOPTOSIS	OV	IL10RA|3587	+	A3	chr11:117857249-117857322:117857249-117857399	Observed	1.1192	0.1682	62.5
APOPTOSIS	OV	BCL2L11|10018	+	SE	chr2:111881446-111907621:111907724-111921710	Observed	1.0005	-0.0913	62.5
APOPTOSIS	OV	CASP8AP2|9994	+	A5	chr6:90539786-90556281:90539653-90556281	Observed	1.0005	-0.058	62.5
APOPTOSIS	OV	HTRA2|27429	+	A3	chr2:74757039-74757572:74757039-74757588	Observed	1.0005	0.0257	56.25
APOPTOSIS	OV	MAPT|4137	+	SE	chr17:44055806-44060544:44061296-44064406	Observed	1.0005	0.0358	56.25
APOPTOSIS	OV	MDM4|4194	+	A3	chr1:204501374-204506558:204501374-204506587	Observed	1.0005	0.0332	56.25
APOPTOSIS	OV	RPAIN|84268	+	MX	chr17:5326149-5329291:5329402-5335862:5326149-5329556:5329619-5335862	Observed	1.0005	-0.1584	62.5
APOPTOSIS	OV	SPHK2|56848	+	A5	chr19:49122946-49123659:49122800-49123659	Observed	1.0005	0.0486	56.25
APOPTOSIS	OV	VAV1|7409	+	SE	chr19:6822340-6822430:6822525-6825064	Observed	1.0005	-0.0281	56.25
APOPTOSIS	OV	TERF1|7013	+	SE	chr8:73939287-73942571:73942630-73944277	Observed	0.9149	-0.2829	68.75
APOPTOSIS	OV	IRF5|3663	+	RI	chr7:128587284:128587344-128587375:128587589	Observed	0.7993	0.0808	56.25
APOPTOSIS	OV	XIAP|331	+	SE	chrX:122994143-123019481:123020389-123022469	Observed	0.6441	-0.0018	56.25
APOPTOSIS	OV	IRF5|3663	+	A3	chr7:128586616-128587077:128586616-128587284	Observed	0.5946	-0.1886	56.25
APOPTOSIS	OV	MAPT|4137	+	MX	chr17:44039836-44049225:44049311-44064406:44039836-44055741:44055806-44064406	Observed	0.5395	0.1077	56.25
APOPTOSIS	OV	C2|717	+	MX	chr6:31901560-31901644:31901742-31905096:31901560-31903700:31903838-31905096	Observed	0.4779	0.1732	56.25
APOPTOSIS	OV	TCF7L2|6934	+	A3	chr10:114799885-114849156:114799885-114849159	Observed	0.4473	-6e-04	56.25
APOPTOSIS	OV	NUMB|8650	-	SE	chr14:73744001-73745989:73746132-73749067	Observed	0.3363	0.0903	56.25
APOPTOSIS	OV	MST1R|4486	-	SE	chr3:49933313-49933394:49933540-49933628	Observed	0.3221	0.1018	56.25
APOPTOSIS	OV	BCKDHB|594	+	RI	chr6:81053381:81053529-81055692:81055987	Observed	0.3067	-0.2259	62.5
APOPTOSIS	OV	GSN|2934	+	MX	chr9:124043840-124044717:124044828-124064241:124043840-124062334:124062404-124064241	Observed	0.0597	0.2607	68.75
APOPTOSIS	OV	DNM1L|10059	+	SE	chr12:32890095-32891198:32891230-32892998	Observed	0.0097	0.1062	62.5
APOPTOSIS	OV	PAK1|5058	-	SE	chr11:77091039-77103376:77103586-77122819	Observed	0.0066	0.0048	62.5
APOPTOSIS	OV	IL32|9235	+	A5	chr16:3115711-3115785:3115688-3115785	Observed	0.0018	0.2152	56.25
