# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
APOPTOSIS	LUAD	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088	Observed	7.3848	0.49	93.75
APOPTOSIS	LUAD	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		7.1017	-0.4584	100
APOPTOSIS	LUAD	IL32|9235	+	A5	chr16:3115711-3115785:3115688-3115785	Observed	6.5651	0.2853	56.25
APOPTOSIS	LUAD	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785	Observed	5.5132	0.3944	93.75
APOPTOSIS	LUAD	RPS24|6229	+	SE	chr10:79797062-79799962:79799983-79800373		4.879	-0.2142	62.5
APOPTOSIS	LUAD	FASLG|356	+	SE	chr1:172628689-172629235:172629280-172633474	Observed	4.3839	0.3277	50
APOPTOSIS	LUAD	KMO|8564	+	A3	chr1:241752132-241753314:241752132-241753353		4.2684	-0.3979	56.25
APOPTOSIS	LUAD	FMNL3|91010	-	SE	chr12:50050973-50052225:50052377-50055749		3.9319	-0.3896	75
APOPTOSIS	LUAD	GSDMB|55876	-	SE	chr17:38062524-38063214:38063240-38065211		3.9128	0.3224	75
APOPTOSIS	LUAD	SPIB|6689	+	RI	chr19:50931295:50931797-50931798:50932249		3.8241	-0.1727	68.75
APOPTOSIS	LUAD	C14orf80|283643	+	SE	chr14:105960270-105962217:105962423-105963694		3.7573	0.1397	31.25
APOPTOSIS	LUAD	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061		3.6953	-0.2253	75
APOPTOSIS	LUAD	FDPS|2224	+	A5	chr1:155278867-155279580:155278756-155279580		3.5785	-0.2545	25
APOPTOSIS	LUAD	ITGB7|3695	-	SE	chr12:53594230-53594856:53594978-53600986		3.3042	0.221	81.25
APOPTOSIS	LUAD	DENND1C|79958	-	A3	chr19:6475762-6475848:6475654-6475848		3.2816	-0.2874	37.5
APOPTOSIS	LUAD	IDO1|3620	+	A5	chr8:39781109-39782240:39781105-39782240		3.2664	-0.0991	75
APOPTOSIS	LUAD	CLEC10A|10462	-	A5	chr17:6979204-6979295:6979204-6979304		3.1644	0.1987	50
APOPTOSIS	LUAD	FMNL3|91010	-	SE	chr12:50039686-50040422:50040536-50040669		3.146	-0.3779	56.25
APOPTOSIS	LUAD	PPP3CC|5533	+	SE	chr8:22390531-22396982:22397011-22398128		3.1136	0.1695	68.75
APOPTOSIS	LUAD	SLC25A22|79751	-	A5	chr11:795169-796043:795169-796204		2.9051	0.3173	56.25
APOPTOSIS	LUAD	IL16|3603	+	A3	chr15:81589419-81591645:81589419-81591721		2.8993	0.3004	68.75
APOPTOSIS	LUAD	CD247|919	-	A3	chr1:167404671-167407807:167404668-167407807	Observed	2.7984	0.1245	81.25
APOPTOSIS	LUAD	PSTPIP1|9051	+	SE	chr15:77324735-77325203:77325293-77327849		2.7179	0.0926	81.25
APOPTOSIS	LUAD	CD101|9398	+	A3	chr1:117576756-117578778:117576756-117578821		2.6775	0.1335	56.25
APOPTOSIS	LUAD	LOC146880|146880	-	A5	chr17:62777157-62777513:62777157-62777552		2.6528	0.1868	25
APOPTOSIS	LUAD	TCL1A|8115	-	A5	chr14:96177218-96178086:96177218-96178091		2.6505	0.1557	6.25
APOPTOSIS	LUAD	SFRS16|11129	+	SE	chr19:45571316-45571678:45571738-45572324		2.5988	-0.3314	18.75
APOPTOSIS	LUAD	ZNF268|10795	+	SE	chr12:133768589-133770014:133770119-133778730		2.5944	0.2617	56.25
APOPTOSIS	LUAD	GSN|2934	+	MX	chr9:124043840-124044717:124044828-124064241:124043840-124062334:124062404-124064241	Observed	2.5643	0.1905	68.75
APOPTOSIS	LUAD	KLRK1|22914	-	SE	chr12:10531304-10532046:10532081-10532299		2.5064	0.1378	56.25
APOPTOSIS	LUAD	FYN|2534	-	SE	chr6:112017659-112020718:112020873-112024088	Observed	2.4923	0.223	68.75
APOPTOSIS	LUAD	IL9R|3581	+	A3	chrX:155233520-155234085:155233520-155234114		2.4824	0.108	43.75
APOPTOSIS	LUAD	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		2.48	0.3401	62.5
APOPTOSIS	LUAD	CLEC5A|23601	-	SE	chr7:141635750-141643696:141643764-141645141		2.4794	0.2417	50
APOPTOSIS	LUAD	CELF2|10659	+	A3	chr10:11356221-11363152:11356221-11363170		2.4489	-0.2738	81.25
APOPTOSIS	LUAD	XAGE1D|9503	+	A5	chrX:52239371-52240458:52239051-52240458		2.4331	0.1702	6.25
APOPTOSIS	LUAD	MDK|4192	+	RI	chr11:46403303:46403435-46403607:46403683		2.4322	-0.0787	50
APOPTOSIS	LUAD	SPIB|6689	+	A5	chr19:50927012-50931295:50927008-50931295		2.4172	0.1775	37.5
APOPTOSIS	LUAD	CAPS2|84698	-	SE	chr12:75715356-75716754:75716867-75716957		2.4135	-0.0828	50
APOPTOSIS	LUAD	ICOS|29851	+	SE	chr2:204821488-204822522:204822606-204824309		2.3814	0.1846	68.75
APOPTOSIS	LUAD	PDE6G|5148	-	SE	chr17:79618715-79620190:79620394-79623523		2.3749	0.2331	43.75
APOPTOSIS	LUAD	SLC7A6|9057	+	SE	chr16:68300624-68307721:68307807-68308594		2.3563	0.0793	25
APOPTOSIS	LUAD	BCL2L14|79370	+	A3	chr12:12243783-12247445:12243783-12247598		2.3403	0.1242	37.5
APOPTOSIS	LUAD	PPIL5|122769	+	SE	chr14:50069186-50074118:50074839-50080974		2.32	-0.1956	37.5
APOPTOSIS	LUAD	KIAA0748|9840	-	A3	chr12:55357026-55357526:55357022-55357526		2.3113	0.2654	43.75
APOPTOSIS	LUAD	FGL1|2267	-	A5	chr8:17743080-17752952:17743080-17752956		2.3031	0.2409	6.25
APOPTOSIS	LUAD	MYO5A|4644	-	SE	chr15:52628753-52630007:52630081-52632393		2.2852	0.2701	31.25
APOPTOSIS	LUAD	BTN3A1|11119	+	A3	chr6:26411809-26412640:26411809-26412933		2.2821	-0.1738	25
APOPTOSIS	LUAD	IL2RA|3559	-	SE	chr10:6061904-6063441:6063656-6066207	Observed	2.2805	-0.0551	75
APOPTOSIS	LUAD	CSF2RB|1439	+	A3	chr22:37326552-37326697:37326552-37326715		2.277	-0.203	43.75
APOPTOSIS	LUAD	NF2|4771	+	SE	chr22:30077590-30079009:30079053-30090741		2.2724	-0.2457	56.25
APOPTOSIS	LUAD	ESPN|83715	+	RI	chr1:6508701:6508862-6508953:6509151		2.2614	0.1512	37.5
APOPTOSIS	LUAD	TFPI|7035	-	SE	chr2:188368497-188378343:188378373-188418927		2.2579	0.3123	25
APOPTOSIS	LUAD	CTSE|1510	+	SE	chr1:206327596-206328719:206328860-206328962		2.2546	0.2077	37.5
APOPTOSIS	LUAD	CYBASC3|220002	-	A3	chr11:61117894-61118463:61117115-61118463		2.2484	0.2522	43.75
APOPTOSIS	LUAD	TBC1D10C|374403	+	SE	chr11:67174163-67174298:67174487-67176450		2.2364	0.0573	56.25
APOPTOSIS	LUAD	CLEC2D|29121	+	SE	chr12:9845527-9845630:9845711-9847356		2.2362	0.215	81.25
APOPTOSIS	LUAD	PHTF1|10745	-	A3	chr1:114301470-114301645:114301355-114301645		2.2267	-0.1651	43.75
APOPTOSIS	LUAD	SERPINA1|5265	-	A5	chr14:94855347-94856757:94855347-94856794		2.2197	0.0077	37.5
APOPTOSIS	LUAD	NF2|4771	+	SE	chr22:30077590-30078968:30079053-30090741		2.2155	-0.2242	43.75
APOPTOSIS	LUAD	APLP2|334	+	SE	chr11:129992408-129993507:129993674-129996595		2.2006	-0.1229	43.75
APOPTOSIS	LUAD	PDE2A|5138	-	SE	chr11:72319795-72342122:72342183-72353298		2.2001	-0.0149	18.75
APOPTOSIS	LUAD	MRPL52|122704	+	RI	chr14:23299092:23299149-23299259:23299319		2.1919	-0.2335	25
APOPTOSIS	LUAD	FAM195B|348262	-	RI	chr17:79780293:79780783-79781085:79781187		2.1875	-0.0146	18.75
APOPTOSIS	LUAD	MYL6|4637	+	SE	chr12:56554104-56554410:56554454-56555171		2.1847	-0.0823	68.75
APOPTOSIS	LUAD	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014	Observed	2.1797	0.2685	75
APOPTOSIS	LUAD	CLEC7A|64581	-	SE	chr12:10271189-10275844:10275962-10277896		2.1715	-0.0267	68.75
APOPTOSIS	LUAD	NFATC2|4773	-	SE	chr20:50007988-50015180:50015267-50048604		2.1714	-0.0133	31.25
APOPTOSIS	LUAD	TBC1D1|23216	+	SE	chr4:38051519-38054727:38054846-38055820		2.1463	-0.1852	43.75
APOPTOSIS	LUAD	CACNA2D4|93589	-	A5	chr12:1909604-1910209:1909604-1910215		2.1394	0.3428	68.75
APOPTOSIS	LUAD	LILRB2|10288	-	A3	chr19:54781454-54781743:54781451-54781743		2.1377	0.029	56.25
APOPTOSIS	LUAD	EIF3CL|728689	-	A5	chr16:28414969-28415104:28414969-28415108		2.1374	-0.0475	31.25
APOPTOSIS	LUAD	C8orf83|286144	-	MX	chr8:93929235-93933731:93933888-93978235:93929235-93966634:93966792-93978235		2.1349	0.0037	18.75
APOPTOSIS	LUAD	TOE1|114034	+	SE	chr1:45805976-45806745:45806887-45806975		2.1282	0.135	12.5
APOPTOSIS	LUAD	XRRA1|143570	-	A5	chr11:74562248-74563034:74562248-74563079		2.1245	0.0269	37.5
APOPTOSIS	LUAD	PPP3CB|5532	-	SE	chr10:75239275-75239608:75239726-75255563		2.1225	-0.1219	50
APOPTOSIS	LUAD	RPL22L1|200916	-	A3	chr3:170585990-170586087:170585923-170586087		2.1203	-0.0569	56.25
APOPTOSIS	LUAD	ECHDC2|55268	-	SE	chr1:53370762-53372191:53372283-53373540		2.1126	0.0757	6.25
APOPTOSIS	LUAD	IL15|3600	+	SE	chr4:142641719-142642212:142642330-142643077		2.1089	0.1224	50
APOPTOSIS	LUAD	CELF2|10659	+	RI	chr10:11370889:11371060-11372419:11373419		2.0942	0.2787	100
APOPTOSIS	LUAD	C16orf13|84326	-	SE	chr16:684797-685281:685340-685612		2.0883	0.0161	31.25
APOPTOSIS	LUAD	RABGEF1|27342	+	SE	chr7:66240380-66248662:66248828-66260498		2.0825	0.3131	62.5
APOPTOSIS	LUAD	C17orf87|388325	-	A5	chr17:5124645-5126628:5124645-5126649		2.0774	0.1195	62.5
APOPTOSIS	LUAD	TFEC|22797	-	SE	chr7:115596847-115614224:115614310-115624316		2.073	0.2133	56.25
APOPTOSIS	LUAD	PTPRH|5794	-	A3	chr19:55718344-55718534:55718323-55718534		2.0652	-0.1057	12.5
APOPTOSIS	LUAD	FAM135A|57579	+	A3	chr6:71185436-71186862:71185436-71186996		2.0566	-0.118	43.75
APOPTOSIS	LUAD	ABI1|10006	-	SE	chr10:27040712-27047991:27048164-27054147		2.0384	-0.3232	68.75
APOPTOSIS	LUAD	METTL8|79828	-	SE	chr2:172248707-172271113:172271236-172290393		2.0383	-0.0637	37.5
APOPTOSIS	LUAD	ICAM3|3385	-	A3	chr19:10449921-10450215:10449539-10450215		2.0301	0.306	43.75
APOPTOSIS	LUAD	TMX2|51075	+	SE	chr11:57505140-57505385:57505498-57505826		2.0293	-0.2321	50
APOPTOSIS	LUAD	SAA1|6288	+	SE	chr11:18287843-18287930:18287990-18288431		2.0209	-0.0773	12.5
APOPTOSIS	LUAD	CIT|11113	-	A3	chr12:120128259-120135464:120128256-120135464		2.0112	0.2554	12.5
APOPTOSIS	LUAD	LOC154761|154761	-	SE	chr7:143510872-143530340:143530976-143533733		2.0082	0.2339	37.5
APOPTOSIS	LUAD	IQSEC1|9922	-	SE	chr3:12943022-12944273:12944322-12949849		2.0037	-0.0731	50
APOPTOSIS	LUAD	ARSA|410	-	RI	chr22:51065984:51066220-51066374:51066607		2.0031	0.0194	37.5
APOPTOSIS	LUAD	SIGLEC10|89790	-	A3	chr19:51920204-51920336:51920030-51920336		2.003	-0.0222	43.75
APOPTOSIS	LUAD	AHI1|54806	-	SE	chr6:135813429-135818326:135818387-135818721		2.0029	0.022	68.75
APOPTOSIS	LUAD	CD44|960	+	MX	chr11:35211612-35219668:35219793-35229652:35211612-35227659:35227790-35229652	Observed	2.0028	0.1237	37.5
APOPTOSIS	LUAD	RNH1|6050	-	A3	chr11:502249-504824:502181-504824		2.0018	-0.0426	37.5
APOPTOSIS	LUAD	HDAC10|83933	-	A5	chr22:50689334-50689403:50689334-50689531		2.0009	-0.0171	18.75
APOPTOSIS	LUAD	DAP3|7818	+	MX	chr1:155679615-155686797:155686919-155695173:155679615-155691308:155691409-155695173	Observed	1.7728	0.0488	62.5
APOPTOSIS	LUAD	SYK|6850	+	SE	chr9:93627379-93629413:93629481-93636486	Observed	1.7641	0.1953	56.25
