# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
M_PHASE	COAD	CRAT|1384	-	SE	chr9:131870356-131871458:131871556-131872762		4.086	-0.494	50
M_PHASE	COAD	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061		3.483	-0.4818	62.5
M_PHASE	COAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		3.2146	-0.544	56.25
M_PHASE	COAD	ABI3BP|25890	-	SE	chr3:100513847-100515253:100515312-100523636		3.0424	-0.5326	68.75
M_PHASE	COAD	SLMAP|7871	+	SE	chr3:57908750-57911572:57911661-57913023		2.9038	-0.4856	62.5
M_PHASE	COAD	MYOF|26509	-	SE	chr10:95148911-95152674:95152712-95155899		2.8661	-0.4756	37.5
M_PHASE	COAD	SORBS1|10580	-	SE	chr10:97106209-97110973:97111133-97114639		2.8409	-0.4685	56.25
M_PHASE	COAD	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225		2.7815	-0.4929	68.75
M_PHASE	COAD	ENPP2|5168	-	A5	chr8:120592407-120594658:120592407-120594670		2.695	-0.4954	56.25
M_PHASE	COAD	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		2.6745	0.4991	68.75
M_PHASE	COAD	FHOD3|80206	+	SE	chr18:34335274-34340571:34340745-34349228		2.6659	-0.4207	56.25
M_PHASE	COAD	ZKSCAN5|23660	+	SE	chr7:99110214-99117450:99117532-99123436		2.6058	-0.46	56.25
M_PHASE	COAD	BNC2|54796	-	SE	chr9:16419647-16435032:16435097-16435553		2.5834	0.3891	56.25
M_PHASE	COAD	KIAA1614|57710	+	SE	chr1:180897709-180904251:180905806-180907691		2.5683	-0.5396	56.25
M_PHASE	COAD	KIAA1908|114796	+	RI	chr7:1624020:1625253-1627457:1629259		2.5598	-0.4024	50
M_PHASE	COAD	COL8A1|1295	+	SE	chr3:99357508-99394504:99394565-99463741		2.5255	-0.2275	56.25
M_PHASE	COAD	NUP62|23636	-	SE	chr19:50413141-50430951:50431072-50432583		2.5115	-0.3424	62.5
M_PHASE	COAD	FLJ35220|284131	+	SE	chr17:78389621-78395628:78395762-78396006		2.468	-0.5078	75
M_PHASE	COAD	KIF13A|63971	-	SE	chr6:17788106-17790103:17790141-17794480		2.4232	0.4005	50
M_PHASE	COAD	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		2.4057	-0.443	68.75
M_PHASE	COAD	CSF2RB|1439	+	A3	chr22:37326552-37326697:37326552-37326715		2.3912	0.4054	43.75
M_PHASE	COAD	NIN|51199	-	A5	chr14:51221350-51221460:51221350-51221463		2.2987	-0.4155	81.25
M_PHASE	COAD	ITGBL1|9358	+	MX	chr13:102105282-102106234:102106451-102227775:102105282-102220050:102220196-102227775		2.2978	0.3838	50
M_PHASE	COAD	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		2.2914	-0.5149	62.5
M_PHASE	COAD	FLNA|2316	-	SE	chrX:153583440-153585619:153585642-153585802		2.29	0.2204	43.75
M_PHASE	COAD	ST6GALNAC5|81849	+	SE	chr1:77334427-77509889:77510298-77515943		2.24	-0.3009	37.5
M_PHASE	COAD	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		2.2219	-0.4925	62.5
M_PHASE	COAD	MYH11|4629	-	SE	chr16:15797980-15802660:15802698-15808766		2.2163	-0.4215	56.25
M_PHASE	COAD	RPS24|6229	+	SE	chr10:79797062-79799962:79799983-79800373		2.2046	-0.3704	81.25
M_PHASE	COAD	ADAMTS10|81794	-	A3	chr19:8654469-8654773:8654458-8654773		2.2032	-0.3572	56.25
M_PHASE	COAD	HPS5|11234	-	SE	chr11:18333571-18339298:18339454-18343493		2.1995	-0.2412	37.5
M_PHASE	COAD	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		2.1983	-0.4799	68.75
M_PHASE	COAD	MKNK2|2872	-	A3	chr19:2039855-2040133:2037828-2040133		2.1693	-0.4181	75
M_PHASE	COAD	RARS2|57038	-	A5	chr6:88279308-88299419:88279308-88299640		2.1433	-0.3028	56.25
M_PHASE	COAD	KIAA1908|114796	+	A5	chr7:1610169-1614351:1609915-1614351		2.1288	0.4024	50
M_PHASE	COAD	DENND2C|163259	-	SE	chr1:115161103-115164516:115164686-115165608		2.1251	0.3491	37.5
M_PHASE	COAD	ABO|28	-	SE	chr9:136131743-136132796:136132929-136133487		2.1247	-0.1623	18.75
M_PHASE	COAD	HMMR|3161	+	SE	chr5:162891808-162894707:162894754-162896647		2.1079	0.15	56.25
M_PHASE	COAD	SORBS2|8470	-	SE	chr4:186570810-186572938:186572982-186573816		2.0733	-0.1206	50
M_PHASE	COAD	COL4A5|1287	+	RI	chrX:107920730:107920732-107920733:107920863		2.0654	0.3248	50
M_PHASE	COAD	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		2.0616	0.2956	37.5
