# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSLATION	PRAD	EIF4G3|8672	-	SE	chr1:21231464-21267984:21268823-21276496	Observed	2.9322	-0.6652	81.25
TRANSLATION	PRAD	FES|2242	+	SE	chr15:91428488-91428642:91428815-91430191	Observed	2.4798	-0.3426	68.75
TRANSLATION	PRAD	FGFR1|2260	-	A5	chr8:38272419-38273363:38272419-38273388	Observed	2.3868	0.536	62.5
TRANSLATION	PRAD	TP53|7157	-	SE	chr17:7573008-7573927:7574033-7576853	Observed	2.3103	-0.6585	62.5
TRANSLATION	PRAD	FLII|2314	-	A3	chr17:18155130-18155313:18155127-18155313	Observed	2.2131	-0.6398	75
TRANSLATION	PRAD	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543	Observed	2.1765	0.6527	87.5
TRANSLATION	PRAD	CEACAM1|634	-	SE	chr19:43015072-43015728:43015780-43016502	Observed	1.9731	-0.119	68.75
TRANSLATION	PRAD	TRAPPC2|6399	-	SE	chrX:13738101-13752169:13752304-13752644	Observed	1.8922	-0.0602	75
TRANSLATION	PRAD	POLDIP3|84271	-	SE	chr22:42995799-42997976:42998113-42998776	Observed	1.7885	-0.259	56.25
TRANSLATION	PRAD	FN1|2335	-	RI	chr2:216236632:216236738-216236832:216237098	Observed	1.7595	0.6201	81.25
TRANSLATION	PRAD	PKD2|5311	+	SE	chr4:88977419-88979135:88979255-88983058	Observed	1.7489	-0.6383	68.75
TRANSLATION	PRAD	NUP98|4928	-	A5	chr11:3722069-3723693:3722069-3724002	Observed	1.6978	-0.6452	56.25
TRANSLATION	PRAD	BMF|90427	-	SE	chr15:40384089-40396381:40396541-40397996	Observed	1.6824	-0.5595	62.5
TRANSLATION	PRAD	POMT1|10585	+	SE	chr9:134378460-134381501:134381607-134381790	Observed	1.6167	-0.4201	56.25
TRANSLATION	PRAD	NFASC|23114	+	SE	chr1:204913534-204919685:204919702-204921139	Observed	1.6154	-0.5519	56.25
TRANSLATION	PRAD	NOS3|4846	+	SE	chr7:150688388-150690841:150691049-150692291	Observed	1.5828	-0.4766	81.25
TRANSLATION	PRAD	DHX9|1660	+	RI	chr1:182852274:182852351-182852455:182852503	Observed	1.5721	-0.648	81.25
TRANSLATION	PRAD	AURKA|6790	-	SE	chr20:54963258-54965612:54965721-54967224	Observed	1.4514	-0.2161	56.25
TRANSLATION	PRAD	VARS2|57176	+	SE	chr6:30882121-30882582:30882814-30882933	Observed	1.4149	-0.4156	62.5
TRANSLATION	PRAD	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977	Observed	1.3103	0.3705	62.5
TRANSLATION	PRAD	POMT1|10585	+	MX	chr9:134381840-134382755:134382901-134385130:134381840-134384298:134384409-134385130	Observed	1.2993	-0.3584	68.75
TRANSLATION	PRAD	SHC1|6464	-	A5	chr1:154936407-154938019:154936407-154938115	Observed	1.2682	-0.6462	62.5
TRANSLATION	PRAD	NIPBL|25836	+	RI	chr5:37063892:37064121-37064629:37065920	Observed	1.2549	-0.624	68.75
TRANSLATION	PRAD	EIF2AK4|440275	+	SE	chr15:40303547-40308703:40308873-40309309	Observed	1.1849	-0.6532	56.25
TRANSLATION	PRAD	DYSF|8291	+	SE	chr2:71840540-71847677:71847739-71871095	Observed	1.1823	0.4939	62.5
TRANSLATION	PRAD	ACAD8|27034	+	MX	chr11:134123603-134126442:134126542-134128409:134123603-134126982:134127151-134128409	Observed	1.1596	-0.4066	56.25
TRANSLATION	PRAD	EPB41|2035	+	SE	chr1:29379824-29386934:29386996-29391494	Observed	1.1484	-0.1238	62.5
TRANSLATION	PRAD	PEG10|23089	+	A5	chr7:94285903-94292646:94285892-94292646	Observed	1.1266	0.1475	56.25
TRANSLATION	PRAD	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061	Observed	1.1138	-0.5986	87.5
TRANSLATION	PRAD	FGFR1|2260	-	RI	chr8:38275746:38275889-38275890:38275891	Observed	1.0894	0.4962	62.5
TRANSLATION	PRAD	ACACA|31	-	SE	chr17:35641871-35646320:35646430-35687113	Observed	1.0613	0.3945	56.25
TRANSLATION	PRAD	EIF4G3|8672	-	SE	chr1:21268823-21276496:21276604-21295967	Observed	1.0005	-0.6187	62.5
TRANSLATION	PRAD	ERG|2078	-	SE	chr21:39764366-39772496:39772567-39774479	Observed	1.0005	0.0321	56.25
TRANSLATION	PRAD	ERG|2078	-	SE	chr21:39795483-39817327:39817544-39947586	Observed	1.0005	-0.1935	56.25
TRANSLATION	PRAD	ILF3|3609	+	A3	chr19:10794646-10795092:10794646-10795535	Observed	1.0005	-0.616	81.25
TRANSLATION	PRAD	IRF7|3665	-	SE	chr11:614037-614174:614399-614476	Observed	1.0005	0.0575	56.25
TRANSLATION	PRAD	NFAT5|10725	+	SE	chr16:69660431-69680420:69680481-69680931	Observed	1.0005	0.1619	62.5
TRANSLATION	PRAD	NIPBL|25836	+	A5	chr5:37064121-37064629:37064080-37064629	Observed	1.0005	0.6437	81.25
TRANSLATION	PRAD	PML|5371	+	A3	chr15:74317268-74325497:74317268-74326819	Observed	1.0005	-0.1419	75
TRANSLATION	PRAD	SYNE1|23345	-	SE	chr6:152615262-152621776:152621916-152623004	Observed	1.0005	-0.2414	93.75
TRANSLATION	PRAD	ARHGEF15|22899	+	SE	chr17:8215958-8216240:8216572-8216819	Observed	0.9873	-0.5032	62.5
TRANSLATION	PRAD	DLG1|1739	-	SE	chr3:196869639-196876614:196876667-196921296	Observed	0.9777	-0.5489	68.75
TRANSLATION	PRAD	MAPT|4137	+	SE	chr17:44055806-44060544:44061296-44064406	Observed	0.8031	-0.3942	68.75
TRANSLATION	PRAD	MKNK2|2872	-	A3	chr19:2039855-2040133:2037828-2040133	Observed	0.6438	-0.4889	75
TRANSLATION	PRAD	ADARB1|104	+	SE	chr21:46603425-46604389:46604508-46604838	Observed	0.6367	-0.4219	56.25
TRANSLATION	PRAD	CARD8|22900	-	SE	chr19:48744320-48752780:48752890-48753008	Observed	0.6016	-0.1624	56.25
