# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
NFKB_PATHWAY	STAD	KMO|8564	+	A3	chr1:241752132-241753314:241752132-241753353		3.9453	-0.444	62.5
NFKB_PATHWAY	STAD	ITGAE|3682	-	SE	chr17:3623696-3626582:3626677-3626982		3.78	0.5535	12.5
NFKB_PATHWAY	STAD	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		3.675	-0.3999	93.75
NFKB_PATHWAY	STAD	RPL22L1|200916	-	A3	chr3:170585990-170586087:170585923-170586087		3.0313	-0.2691	68.75
NFKB_PATHWAY	STAD	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785		2.6603	0.2851	68.75
NFKB_PATHWAY	STAD	PPP3CB|5532	-	SE	chr10:75239275-75239608:75239726-75255563		2.4921	-0.3382	43.75
NFKB_PATHWAY	STAD	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		2.4488	0.4753	75
NFKB_PATHWAY	STAD	TFEC|22797	-	SE	chr7:115596847-115614224:115614310-115624316		2.4187	0.3323	68.75
NFKB_PATHWAY	STAD	APOBEC3D|140564	+	RI	chr22:39421075:39421354-39421562:39421676		2.41	-0.0786	18.75
NFKB_PATHWAY	STAD	OSBPL10|114884	-	SE	chr3:31789612-31871532:31871723-31917925		2.3385	0.3736	50
NFKB_PATHWAY	STAD	HSH2D|84941	+	A5	chr19:16264018-16265209:16264014-16265209		2.3278	-0.3214	62.5
NFKB_PATHWAY	STAD	IRF4|3662	+	A3	chr6:395935-397108:395935-397111		2.2386	0.2599	81.25
NFKB_PATHWAY	STAD	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		2.2338	0.4092	87.5
NFKB_PATHWAY	STAD	ARAP3|64411	-	RI	chr5:141041251:141041356-141041610:141041822		2.2076	-0.4518	37.5
NFKB_PATHWAY	STAD	ZNF559|84527	+	RI	chr19:9451778:9451860-9452371:9454519		2.1941	0.0437	6.25
NFKB_PATHWAY	STAD	RABGEF1|27342	+	RI	chr7:66273873:66274377-66274378:66276446		2.1731	-0.3642	56.25
NFKB_PATHWAY	STAD	KLHL6|89857	-	A5	chr3:183208399-183209156:183208399-183209356		2.1468	0.4198	25
NFKB_PATHWAY	STAD	FGD3|89846	+	A3	chr9:95795155-95796823:95795155-95796826		2.1311	-0.3592	81.25
NFKB_PATHWAY	STAD	ARRB2|409	+	SE	chr17:4614039-4618308:4618338-4619268		2.1254	-0.2835	50
NFKB_PATHWAY	STAD	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		2.114	-0.3595	93.75
NFKB_PATHWAY	STAD	SVIL|6840	-	SE	chr10:29813644-29815890:29815985-29818634		2.0928	0.1669	12.5
NFKB_PATHWAY	STAD	RASGRP1|10125	-	SE	chr15:38794622-38795473:38795577-38798041		2.0482	0.4713	50
NFKB_PATHWAY	STAD	FNBP1|23048	-	SE	chr9:132671278-132686123:132686305-132687239		2.0435	-0.4421	81.25
NFKB_PATHWAY	STAD	SREBF1|6720	-	A5	chr17:17720771-17720862:17720771-17721010		2.0307	-0.4205	43.75
NFKB_PATHWAY	STAD	IKZF1|10320	+	A5	chr7:50459561-50467616:50459531-50467616		2.0233	0.3068	68.75
NFKB_PATHWAY	STAD	CLEC2D|29121	+	SE	chr12:9845527-9845630:9845711-9847356		2.0179	0.2343	68.75
NFKB_PATHWAY	STAD	PPP1R12A|4659	-	MX	chr12:80192364-80199372:80199548-80201006:80192364-80199946:80200113-80201006		2.0081	-0.2888	6.25
NFKB_PATHWAY	STAD	SRCIN1|80725	-	SE	chr17:36700204-36703995:36704117-36704793		2.008	0.0199	37.5
NFKB_PATHWAY	STAD	AUTS2|26053	+	SE	chr7:70236630-70239014:70239085-70240343		2.0055	-0.2923	6.25
NFKB_PATHWAY	STAD	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061		1.9931	-0.0736	18.75
NFKB_PATHWAY	STAD	HLA-DOA|3111	-	SE	chr6:32974618-32974857:32974992-32975088		1.9892	-0.1045	18.75
NFKB_PATHWAY	STAD	REPS1|85021	-	SE	chr6:139242261-139247538:139247618-139251114		1.9852	-0.2008	43.75
NFKB_PATHWAY	STAD	EPB41|2035	+	SE	chr1:29379824-29386934:29386996-29391494		1.9613	-0.3814	50
NFKB_PATHWAY	STAD	CSNK1G3|1456	+	SE	chr5:122940524-122941033:122941056-122950036		1.9609	-0.3313	50
NFKB_PATHWAY	STAD	LRRC6|23639	-	SE	chr8:133584728-133590655:133590763-133595941		1.9579	-0.1686	31.25
